No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
2.0,Azeez Al-Shaair,26.0,LILB,17,17.0,228.0,6-2,Florida Atlantic,8/4/1997,4,8.0,
96.0,Denico Autry,33.0,LDE,17,14.0,285.0,6-5,"East Mississippi CC,Mississippi St.",7/15/1990,9,8.0,
23.0,Tre Avery,26.0,CB,15,2.0,185.0,5-11,"Toledo,Rutgers",2/26/1997,1,1.0,
90.0,Ross Blacklock,25.0,DT,3,0.0,290.0,6-3,TCU,7/9/1998,3,0.0,Houston Texans / 2nd / 40th pick / 2020
97.0,Quinton Bohanna,24.0,DL,3,1.0,355.0,6-4,Kentucky,3/16/1999,2,1.0,Dallas Cowboys / 6th / 192nd pick / 2021
55.0,Aaron Brewer,26.0,C,17,17.0,295.0,6-1,Texas St.,10/28/1997,3,6.0,
44.0,Mike Brown,24.0,S,9,1.0,218.0,6-1,Miami (OH),4/7/1999,1,1.0,
60.0,Daniel Brunskill,29.0,OL,14,14.0,300.0,6-5,San Diego St.,1/27/1994,4,5.0,
16.0,Treylon Burks,23.0,WR,11,9.0,225.0,6-2,Arkansas,3/23/2000,1,2.0,Tennessee Titans / 1st / 18th pick / 2022
31.0,Kevin Byard,30.0,SS,6,6.0,218.0,5-11,Middle Tenn. St.,8/17/1993,7,2.0,Tennessee Titans / 3rd / 64th pick / 2016
45.0,Chance Campbell,24.0,LB,4,0.0,232.0,6-2,"Maryland,Mississippi",10/8/1999,1,0.0,Tennessee Titans / 6th / 219th pick / 2022
28.0,Shyheim Carter,26.0,DB,3,0.0,194.0,5-10,Alabama,12/15/1997,1,0.0,
36.0,Julius Chestnut,23.0,RB,3,0.0,228.0,5-11,Sacred Heart,10/26/2000,1,0.0,
91.0,Keondre Coburn,23.0,DL,4,0.0,322.0,6-2,Texas,5/23/2000,Rook,0.0,Kansas City Chiefs / 6th / 194th pick / 2023
46.0,Morgan Cox,37.0,LS,17,0.0,233.0,6-4,Tennessee,4/26/1986,13,1.0,
53.0,Tae Crowder,26.0,LB,2,0.0,235.0,6-3,Georgia,3/12/1997,3,0.0,New York Giants / 7th / 255th pick / 2020
29.0,Dane Cruikshank,28.0,DB,2,0.0,209.0,6-1,Arizona,4/27/1995,5,0.0,Tennessee Titans / 5th / 152nd pick / 2018
92.0,Marlon Davidson,25.0,DL,5,3.0,278.0,6-3,Auburn,5/11/1998,3,2.0,Atlanta Falcons / 2nd / 47th pick / 2020
71.0,Andre Dillard,28.0,T,16,10.0,315.0,6-5,Washington St.,10/3/1995,4,5.0,Philadelphia Eagles / 1st / 22nd pick / 2019
47.0,JoJo Domann,26.0,LB,5,0.0,230.0,6-1,Nebraska,7/28/1997,1,0.0,
14.0,Colton Dowell,24.0,WR,10,1.0,212.0,6-3,UT Martin,4/19/1999,Rook,0.0,Tennessee Titans / 7th / 228th pick / 2023
79.0,Jaelyn Duncan,23.0,OL,10,5.0,306.0,6-6,Maryland,7/8/2000,Rook,2.0,Tennessee Titans / 6th / 186th pick / 2023
38.0,Terrell Edmunds,26.0,S,9,1.0,217.0,6-1,Virginia Tech,1/20/1997,5,1.0,Pittsburgh Steelers / 1st / 28th pick / 2018
6.0,Nick Folk,39.0,K,17,0.0,222.0,6-1,Arizona,11/5/1984,16,5.0,Dallas Cowboys / 6th / 178th pick / 2007
26.0,Kristian Fulton,25.0,CB,12,11.0,197.0,5-11,LSU,9/3/1998,3,4.0,Tennessee Titans / 2nd / 61st pick / 2020
33.0,Eric Garror,23.0,DB,12,4.0,174.0,5-8,Louisiana,3/31/2000,Rook,2.0,
50.0,Jack Gibbens,25.0,LB,14,13.0,242.0,6-3,"Abilene Christian,Minnesota",11/24/1998,1,6.0,
57.0,Luke Gifford,28.0,LB,11,1.0,243.0,6-3,Nebraska,8/28/1995,4,1.0,
51.0,Trevis Gipson,26.0,OLB,8,0.0,263.0,6-4,Tulsa,6/13/1997,3,1.0,Chicago Bears / 5th / 155th pick / 2020
30.0,Tay Gowan,25.0,CB,1,0.0,185.0,6-2,"Butler (KS),Central Florida",1/7/1998,2,0.0,Arizona Cardinals / 6th / 223rd pick / 2021
22.0,Derrick Henry,29.0,RB,17,17.0,252.0,6-2,Alabama,1/4/1994,7,9.0,Tennessee Titans / 2nd / 45th pick / 2016
37.0,Amani Hooker,25.0,DB,13,13.0,210.0,5-11,Iowa,6/14/1998,4,5.0,Tennessee Titans / 4th / 116th pick / 2019
10.0,DeAndre Hopkins,31.0,WR,17,16.0,210.0,6-1,Clemson,6/6/1992,10,10.0,Houston Texans / 1st / 27th pick / 2013
66.0,Chris Hubbard,32.0,OL,9,9.0,295.0,6-4,Ala-Birmingham,4/23/1991,9,3.0,
5.0,Kearis Jackson,24.0,WR,2,0.0,196.0,5-11,Georgia,12/9/1999,Rook,0.0,
39.0,Matthew Jackson,25.0,S,10,0.0,209.0,6-1,Eastern Kentucky,11/9/1998,Rook,1.0,
94.0,Jaleel Johnson,29.0,DT,12,4.0,316.0,6-3,Iowa,7/12/1994,6,3.0,Minnesota Vikings / 4th / 109th pick / 2017
52.0,Joseph Jones,29.0,LB,4,0.0,231.0,6-0,Northwestern,2/21/1994,6,0.0,
90.0,Naquan Jones,25.0,DT,8,1.0,313.0,6-3,Michigan St.,2/5/1998,2,1.0,
40.0,Anthony Kendall,24.0,CB,16,0.0,188.0,5-10,Baldwin Wallace,12/17/1999,Rook,1.0,
49.0,Arden Key,27.0,OLB,17,9.0,240.0,6-5,LSU,5/3/1996,5,5.0,Oakland Raiders / 3rd / 87th pick / 2018
12.0,Mason Kinsey,25.0,WR,6,0.0,200.0,5-11,Berry,8/29/1998,2,0.0,
58.0,Harold Landry,27.0,OLB,17,10.0,252.0,6-2,Boston Col.,6/5/1996,5,6.0,Tennessee Titans / 2nd / 41st pick / 2018
62.0,Corey Levin,29.0,OL,16,0.0,307.0,6-4,Chattanooga,8/12/1994,5,1.0,Tennessee Titans / 6th / 217th pick / 2017
8.0,Will Levis,24.0,QB,9,9.0,229.0,6-4,"Penn St.,Kentucky",6/27/1999,Rook,6.0,Tennessee Titans / 2nd / 33rd pick / 2023
21.0,Roger McCreary,23.0,CB,15,11.0,190.0,5-11,Auburn,2/10/2000,1,4.0,Tennessee Titans / 2nd / 35th pick / 2022
69.0,TK McLendon,23.0,DE,7,2.0,275.0,6-4,"Copiah-Lincoln CC,LSU,Eastern Kentucky",2/27/2000,Rook,2.0,
24.0,Elijah Molden,24.0,CB,15,8.0,192.0,5-10,Washington,1/30/1999,2,4.0,Tennessee Titans / 3rd / 100th pick / 2021
11.0,Chris Moore,30.0,WR,17,5.0,200.0,6-1,Cincinnati,6/16/1993,7,4.0,Baltimore Ravens / 4th / 107th pick / 2016
42.0,Caleb Murphy,24.0,OLB,3,0.0,254.0,6-3,"Grand Valley St.,Ferris St.",12/15/1999,Rook,0.0,
0.0,Sean Murphy-Bunting,26.0,LCB,14,14.0,195.0,6-0,Central Michigan,6/19/1997,4,6.0,Tampa Bay Buccaneers / 2nd / 39th pick / 2019
73.0,Justin Murray,30.0,T,4,0.0,315.0,6-5,Cincinnati,4/19/1993,5,0.0,
67.0,Xavier Newman-Johnson,24.0,G,3,1.0,297.0,6-2,Baylor,8/4/1999,1,0.0,
61.0,John Ojukwu,24.0,OL,3,3.0,309.0,6-5,Boise St.,1/9/1999,Rook,1.0,
85.0,Chigoziem Okonkwo,24.0,TE,17,11.0,238.0,6-3,Maryland,9/8/1999,1,5.0,Tennessee Titans / 4th / 143rd pick / 2022
92.0,Jayden Peevy,24.0,DT,1,0.0,308.0,6-5,Texas A&M,9/3/1999,1,0.0,
95.0,Kyle Peko,30.0,DT,13,10.0,305.0,6-1,Oregon St.,7/23/1993,7,5.0,
78.0,Nicholas Petit-Frere,24.0,OL,3,2.0,316.0,6-5,Ohio St.,9/15/1999,1,1.0,Tennessee Titans / 3rd / 69th pick / 2022
18.0,Kyle Philips,24.0,WR,9,0.0,189.0,5-11,UCLA,6/17/1999,1,2.0,Tennessee Titans / 5th / 163rd pick / 2022
86.0,Kevin Rader,28.0,TE,14,0.0,250.0,6-4,Youngstown St.,4/26/1995,3,0.0,
75.0,Dillon Radunz,25.0,OL,16,11.0,301.0,6-6,North Dakota St.,3/28/1998,2,4.0,Tennessee Titans / 2nd / 53rd pick / 2021
41.0,Otis Reese,25.0,LB,7,3.0,214.0,6-3,"Georgia,Mississippi",7/2/1998,Rook,2.0,
56.0,Monty Rice,24.0,LB,12,0.0,233.0,6-0,Georgia,1/8/1999,2,1.0,Tennessee Titans / 3rd / 92nd pick / 2021
76.0,Andrew Rupcich,24.0,OL,5,2.0,318.0,6-6,Culver-Stockton,4/1/1999,1,1.0,
36.0,Kendall Sheffield,27.0,DB,2,0.0,200.0,5-10,Ohio St.,5/30/1996,4,0.0,Atlanta Falcons / 4th / 111th pick / 2019
98.0,Jeffery Simmons,26.0,DT,12,12.0,305.0,6-4,Mississippi St.,7/28/1997,4,6.0,Tennessee Titans / 1st / 19th pick / 2019
77.0,Peter Skoronski,22.0,OL,14,14.0,313.0,6-4,Northwestern,7/31/2001,Rook,5.0,Tennessee Titans / 1st / 11th pick / 2023
32.0,Tyjae Spears,22.0,RB,17,1.0,195.0,5-11,Tulane,6/15/2001,Rook,6.0,Tennessee Titans / 3rd / 81st pick / 2023
97.0,Taylor Stallworth,28.0,DT,1,0.0,305.0,6-2,South Carolina,8/18/1995,5,0.0,
4.0,Ryan Stonehouse,24.0,P,12,0.0,200.0,5-10,Colorado St.,5/11/1999,1,3.0,
17.0,Ryan Tannehill,35.0,QB,10,8.0,217.0,6-4,Texas A&M,7/27/1988,11,5.0,Miami Dolphins / 1st / 8th pick / 2012
93.0,Teair Tart,26.0,LDT,11,9.0,315.0,6-2,Florida International,2/28/1997,3,4.0,
72.0,Calvin Throckmorton,27.0,OL,6,0.0,311.0,6-5,Oregon,8/16/1996,2,0.0,
20.0,Kindle Vildor,26.0,CB,2,0.0,189.0,5-11,Georgia Southern,12/11/1997,3,0.0,Chicago Bears / 5th / 163rd pick / 2020
35.0,K'Von Wallace,26.0,S,10,7.0,205.0,5-11,Clemson,7/25/1997,3,3.0,Philadelphia Eagles / 4th / 127th pick / 2020
54.0,Garret Wallow,24.0,LB,3,0.0,230.0,6-2,TCU,1/25/1999,2,0.0,Houston Texans / 5th / 170th pick / 2021
20.0,Jonathan Ward,26.0,RB,7,0.0,202.0,6-0,Central Michigan,9/30/1997,3,0.0,
99.0,Rashad Weaver,26.0,OLB,15,0.0,259.0,6-4,Pittsburgh,11/10/1997,2,1.0,Tennessee Titans / 4th / 135th pick / 2021
88.0,Trevon Wesco,28.0,TE,15,10.0,267.0,6-3,West Virginia,9/12/1995,4,0.0,New York Jets / 4th / 121st pick / 2019
15.0,Nick Westbrook-Ikhine,26.0,WR,14,9.0,211.0,6-2,Indiana,3/21/1997,3,3.0,
81.0,Josh Whyle,24.0,TE,11,3.0,248.0,6-6,Cincinnati,9/8/1999,Rook,1.0,Tennessee Titans / 5th / 147th pick / 2023
7.0,Malik Willis,24.0,QB,3,0.0,225.0,6-1,"Auburn,Liberty",5/25/1999,1,0.0,Tennessee Titans / 3rd / 86th pick / 2022
13.0,Ty Zentner,25.0,P,5,0.0,199.0,6-2,"Butler (KS),Kansas St.",6/7/1998,Rook,1.0,
,Team Total,26.2,,17,,246.7,6-2.0,,,3.0,,
