No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
28.0,De'Von Achane,22.0,RB,11,4.0,191.0,5-9,Texas A&M,10/13/2001,Rook,7.0,Miami Dolphins / 3rd / 84th pick / 2023
26.0,Salvon Ahmed,25.0,RB,8,0.0,197.0,5-11,Washington,12/30/1998,3,1.0,
33.0,Eli Apple,28.0,CB,10,4.0,203.0,6-1,Ohio St.,8/9/1995,7,2.0,New York Giants / 1st / 10th pick / 2016
72.0,Terron Armstead,32.0,T,10,10.0,305.0,6-5,Ark-Pine Bluff,7/23/1991,10,8.0,New Orleans Saints / 3rd / 75th pick / 2013
16.0,Jake Bailey,26.0,P,17,0.0,212.0,6-2,Stanford,6/18/1997,4,1.0,New England Patriots / 5th / 163rd pick / 2019
55.0,Jerome Baker,27.0,LILB,13,12.0,232.0,6-2,Ohio St.,12/25/1996,5,6.0,Miami Dolphins / 3rd / 73rd pick / 2018
0.0,Braxton Berrios,28.0,WR,16,1.0,185.0,5-9,Miami (FL),10/6/1995,4,2.0,New England Patriots / 6th / 210th pick / 2018
20.0,Justin Bethel,33.0,CB,17,1.0,200.0,6-0,Presbyterian,6/17/1990,11,1.0,Arizona Cardinals / 6th / 177th pick / 2012
38.0,Ethan Bonner,24.0,CB,2,0.0,190.0,6-1,Stanford,10/23/1999,Rook,0.0,
35.0,Chris Brooks,23.0,RB,9,0.0,219.0,6-1,"California,BYU",1/11/2000,Rook,1.0,
22.0,Elijah Campbell,28.0,DB,15,1.0,200.0,5-11,"Iowa Western,Northern Illinois,Northern Iowa",8/24/1995,3,1.0,
3.0,Robbie Chosen,30.0,WR,9,0.0,185.0,6-3,Temple,5/9/1993,7,1.0,
2.0,Bradley Chubb,27.0,LB,16,16.0,268.0,6-4,North Carolina St.,6/24/1996,5,8.0,Denver Broncos / 1st / 5th pick / 2018
83.0,Chase Claypool,25.0,WR,9,0.0,238.0,6-4,Notre Dame,7/7/1998,3,0.0,Pittsburgh Steelers / 2nd / 49th pick / 2020
80.0,Tanner Conner,25.0,TE,3,0.0,237.0,6-3,Idaho St.,3/20/1998,1,0.0,
66.0,Lester Cotton,27.0,G,17,8.0,330.0,6-4,Alabama,2/20/1996,4,5.0,
85.0,River Cracraft,29.0,WR,10,1.0,198.0,6-0,Washington St.,11/1/1994,5,1.0,
98.0,Raekwon Davis,26.0,DT,17,7.0,325.0,6-7,Alabama,8/21/1997,3,4.0,Miami Dolphins / 2nd / 56th pick / 2020
74.0,Liam Eichenberg,25.0,OL,16,12.0,300.0,6-6,Notre Dame,1/19/1998,2,7.0,Miami Dolphins / 2nd / 42nd pick / 2021
21.0,DeShon Elliott,26.0,S,15,15.0,210.0,6-0,Texas,4/21/1997,4,5.0,Baltimore Ravens / 6th / 190th pick / 2018
37.0,Darrynton Evans,25.0,RB,2,0.0,203.0,5-10,Appalachian St.,7/9/1998,3,0.0,Tennessee Titans / 3rd / 93rd pick / 2020
18.0,Erik Ezukanma,23.0,WR,2,0.0,210.0,6-2,Texas Tech,1/25/2000,1,0.0,Miami Dolphins / 4th / 125th pick / 2022
44.0,Blake Ferguson,26.0,LS,17,0.0,230.0,6-3,LSU,4/21/1997,3,1.0,Miami Dolphins / 6th / 185th pick / 2020
53.0,Cameron Goode,25.0,LB,17,0.0,245.0,6-3,California,4/15/1998,1,1.0,Miami Dolphins / 7th / 224th pick / 2022
93.0,Da'Shawn Hand,28.0,DT,16,0.0,302.0,6-3,Alabama,11/14/1995,5,1.0,Detroit Lions / 4th / 114th pick / 2018
60.0,Jonotthan Harrison,32.0,OL,2,0.0,300.0,6-4,Florida,8/25/1991,9,0.0,
89.0,Julian Hill,23.0,TE,15,4.0,251.0,6-4,Campbell,7/9/2000,Rook,0.0,
10.0,Tyreek Hill,29.0,WR,16,16.0,191.0,5-10,"Garden City (KS),Oklahoma St.,West Alabama",3/1/1994,7,18.0,Kansas City Chiefs / 5th / 165th pick / 2016
8.0,Jevon Holland,23.0,S,12,12.0,207.0,6-1,Oregon,3/3/2000,2,5.0,Miami Dolphins / 2nd / 36th pick / 2021
52.0,Justin Houston,34.0,LB,0,0.0,270.0,6-3,Georgia,1/21/1989,12,0.0,Kansas City Chiefs / 3rd / 70th pick / 2011
