No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
22.0,Ameer Abdullah,30.0,RB,17,0.0,203.0,5-9,Nebraska,6/13/1993,8,2.0,Detroit Lions / 2nd / 54th pick / 2015
17.0,Davante Adams,31.0,WR,17,17.0,215.0,6-1,Fresno St.,12/24/1992,9,10.0,Green Bay Packers / 2nd / 53rd pick / 2014
0.0,Jakorian Bennett,23.0,CB,14,4.0,200.0,5-10,"Hutchinson (KS),Maryland",8/23/2000,Rook,2.0,Las Vegas Raiders / 4th / 104th pick / 2023
50.0,Jacob Bobenmoyer,26.0,LS,17,0.0,235.0,6-0,Northern Colorado,5/28/1997,3,1.0,
34.0,Brandon Bolden,33.0,RB,17,0.0,220.0,5-11,Mississippi,1/26/1990,11,0.0,
36.0,Curtis Bolton,28.0,LB,13,0.0,228.0,6-0,Oklahoma,12/18/1995,2,1.0,
56.0,Amari Burney,23.0,LB,7,1.0,228.0,6-2,Florida,6/12/2000,Rook,1.0,Las Vegas Raiders / 6th / 203rd pick / 2023
69.0,Adam Butler,29.0,DT,17,0.0,301.0,6-4,Vanderbilt,4/12/1994,6,2.0,
94.0,Matthew Butler,24.0,DT,2,0.0,305.0,6-3,Tennessee,6/10/1999,1,0.0,Las Vegas Raiders / 5th / 175th pick / 2022
2.0,Daniel Carlson,28.0,K,17,0.0,215.0,6-5,Auburn,1/23/1995,5,3.0,Minnesota Vikings / 5th / 167th pick / 2018
3.0,DeAndre Carter,30.0,WR,17,1.0,190.0,5-8,Sacramento St.,4/10/1993,5,0.0,
6.0,AJ Cole III,28.0,P,17,0.0,220.0,6-4,North Carolina St.,11/27/1995,4,3.0,
98.0,Maxx Crosby,26.0,DE,17,17.0,255.0,6-5,Eastern Michigan,8/22/1997,4,15.0,Oakland Raiders / 4th / 106th pick / 2019
5.0,Divine Deablo,25.0,LB,15,15.0,223.0,6-3,Virginia Tech,8/17/1998,2,7.0,Las Vegas Raiders / 3rd / 80th pick / 2021
72.0,Jermaine Eluemunor,29.0,RT,17,14.0,338.0,6-4,"Lackawanna,Texas A&M",12/13/1994,6,5.0,Baltimore Ravens / 5th / 159th pick / 2017
1.0,Marcus Epps,27.0,S,17,17.0,195.0,6-0,Wyoming,1/27/1996,4,6.0,Minnesota Vikings / 6th / 191st pick / 2019
31.0,Brandon Facyson,29.0,CB,3,0.0,197.0,6-2,Virginia Tech,9/8/1994,5,0.0,
85.0,Cole Fotheringham,26.0,TE,2,0.0,245.0,6-4,Utah,10/11/1997,1,0.0,
10.0,Jimmy Garoppolo,32.0,QB,7,6.0,225.0,6-2,Eastern Illinois,11/2/1991,9,2.0,New England Patriots / 2nd / 62nd pick / 2014
88.0,Zach Gentry,27.0,TE,1,0.0,265.0,6-8,Michigan,9/10/1996,4,0.0,Pittsburgh Steelers / 5th / 141st pick / 2019
65.0,Hroniss Grasu,32.0,C,2,0.0,301.0,6-3,Oregon,8/12/1991,8,0.0,Chicago Bears / 3rd / 71st pick / 2015
37.0,Tyler Hall,25.0,CB,11,3.0,190.0,5-10,Wyoming,10/31/1998,3,1.0,
71.0,Justin Herron,28.0,T,6,1.0,305.0,6-5,Wake Forest,11/27/1995,3,1.0,New England Patriots / 6th / 195th pick / 2020
39.0,Nate Hobbs,24.0,CB,13,11.0,195.0,6-0,Illinois,6/24/1999,2,4.0,Las Vegas Raiders / 5th / 167th pick / 2021
81.0,Austin Hooper,29.0,TE,17,9.0,254.0,6-4,Stanford,10/29/1994,7,2.0,Atlanta Falcons / 3rd / 81st pick / 2016
80.0,Jesper Horsted,26.0,TE,13,0.0,237.0,6-3,Princeton,2/27/1997,4,0.0,
7.0,Brian Hoyer,38.0,QB,3,1.0,215.0,6-2,Michigan St.,10/13/1985,14,1.0,
8.0,Josh Jacobs,25.0,RB,13,13.0,223.0,5-10,Alabama,2/11/1998,4,6.0,Oakland Raiders / 1st / 24th pick / 2019
68.0,Andre James,26.0,C,16,16.0,300.0,6-4,UCLA,5/2/1997,4,6.0,
95.0,John Jenkins,34.0,DT,17,17.0,360.0,6-3,"Mississippi Gulf Coast CC,Georgia",7/11/1989,10,8.0,New Orleans Saints / 3rd / 82nd pick / 2013
45.0,Jakob Johnson,29.0,FB,13,5.0,255.0,6-3,Tennessee,12/15/1994,4,0.0,
18.0,Jack Jones,26.0,CB,7,3.0,175.0,5-11,"USC,Moorpark College,Arizona St.",12/20/1997,1,2.0,New England Patriots / 4th / 121st pick / 2022
51.0,Malcolm Koonce,25.0,DE,17,11.0,243.0,6-3,Buffalo,6/6/1998,2,6.0,Las Vegas Raiders / 3rd / 79th pick / 2021
23.0,David Long,25.0,DB,8,1.0,196.0,5-11,Michigan,2/6/1998,4,1.0,Los Angeles Rams / 3rd / 79th pick / 2019
59.0,Luke Masterson,25.0,LB,16,1.0,220.0,6-1,Wake Forest,1/7/1998,1,2.0,
43.0,Kana'i Mauga,23.0,LB,5,0.0,245.0,6-2,USC,1/8/2000,1,0.0,
87.0,Michael Mayer,22.0,TE,14,12.0,256.0,6-4,Notre Dame,7/6/2001,Rook,3.0,Las Vegas Raiders / 2nd / 35th pick / 2023
61.0,Jordan Meredith,25.0,G,17,1.0,301.0,6-2,Western Kentucky,1/4/1998,1,1.0,
16.0,Jakobi Meyers,27.0,WR,16,16.0,193.0,6-2,North Carolina St.,11/9/1996,4,7.0,
74.0,Kolton Miller,28.0,T,13,11.0,326.0,6-8,UCLA,9/2/1995,5,5.0,Oakland Raiders / 1st / 15th pick / 2018
25.0,Tre'von Moehrig,24.0,S,17,17.0,202.0,6-2,TCU,6/16/1999,2,6.0,Las Vegas Raiders / 2nd / 43rd pick / 2021
77.0,Thayer Munford,24.0,T,15,10.0,354.0,6-5,Ohio St.,9/18/1999,1,5.0,Las Vegas Raiders / 7th / 238th pick / 2022
54.0,Netane Muti,24.0,G,2,0.0,325.0,6-3,Fresno St.,3/27/1999,3,0.0,Denver Broncos / 6th / 181st pick / 2020
91.0,Bilal Nichols,27.0,LDT,17,17.0,300.0,6-3,Delaware,9/14/1996,5,8.0,Chicago Bears / 5th / 145th pick / 2018
4.0,Aidan O'Connell,25.0,QB,11,10.0,206.0,6-3,Purdue,9/1/1998,Rook,6.0,Las Vegas Raiders / 4th / 135th pick / 2023
