No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
16.0,Matt Ammendola,27.0,K,5,0.0,195.0,5-9,Oklahoma St.,12/11/1996,2,0.0,
0.0,Adrian Amos,30.0,S,5,0.0,214.0,6-0,Penn St.,4/29/1993,8,1.0,Chicago Bears / 5th / 142nd pick / 2015
51.0,Will Anderson,22.0,DE,15,13.0,243.0,6-4,Alabama,9/2/2001,Rook,10.0,Houston Texans / 1st / 3rd pick / 2023
25.0,Grayland Arnold,26.0,S,8,0.0,190.0,5-10,Baylor,9/4/1997,3,0.0,
27.0,Alex Austin,22.0,CB,3,0.0,191.0,6-1,Oregon St.,5/22/2001,Rook,0.0,Buffalo Bills / 7th / 252nd pick / 2023
95.0,Derek Barnett,27.0,DE,6,4.0,259.0,6-3,Tennessee,6/25/1996,6,2.0,Philadelphia Eagles / 1st / 14th pick / 2017
47.0,Andrew Beck,27.0,FB,15,12.0,255.0,6-3,Texas,5/15/1996,4,1.0,
22.0,Mike Boone,28.0,S,9,0.0,206.0,5-10,Cincinnati,6/30/1995,5,0.0,
17.0,Kris Boyd,27.0,CB,2,0.0,201.0,5-11,Texas,9/12/1996,4,0.0,Minnesota Vikings / 7th / 217th pick / 2019
64.0,Nick Broeker,23.0,G,3,0.0,305.0,6-5,Mississippi,10/7/2000,Rook,0.0,Buffalo Bills / 7th / 230th pick / 2023
85.0,Noah Brown,27.0,WR,10,7.0,225.0,6-2,Ohio St.,1/6/1996,6,5.0,Dallas Cowboys / 7th / 239th pick / 2017
53.0,Blake Cashman,27.0,MLB,14,13.0,235.0,6-1,Minnesota,5/10/1996,4,7.0,New York Jets / 5th / 157th pick / 2019
72.0,Geron Christian,27.0,T,1,0.0,302.0,6-5,Louisville,9/10/1996,5,0.0,Washington Redskins / 3rd / 74th pick / 2018
96.0,Maliek Collins,28.0,DT,16,16.0,310.0,6-2,Nebraska,4/8/1995,7,8.0,Dallas Cowboys / 3rd / 67th pick / 2016
12.0,Nico Collins,24.0,WR,15,10.0,222.0,6-4,Michigan,3/19/1999,2,11.0,Houston Texans / 3rd / 89th pick / 2021
94.0,Khalil Davis,27.0,DT,15,1.0,315.0,6-2,Nebraska,8/22/1996,3,2.0,Tampa Bay Buccaneers / 6th / 194th pick / 2020
76.0,Austin Deculus,24.0,T,7,1.0,321.0,6-5,LSU,3/12/1999,1,1.0,Houston Texans / 6th / 205th pick / 2022
63.0,Michael Deiter,27.0,OL,16,10.0,310.0,6-6,Wisconsin,9/3/1996,4,4.0,Miami Dolphins / 3rd / 78th pick / 2019
3.0,Tank Dell,24.0,WR,11,8.0,165.0,5-10,"Alabama A&M,Independence (KS),Houston",10/29/1999,Rook,6.0,Houston Texans / 3rd / 69th pick / 2023
97.0,Michael Dogbe,27.0,DE,1,0.0,295.0,6-3,Temple,5/5/1996,4,0.0,Arizona Cardinals / 7th / 249th pick / 2019
60.0,Dieter Eiselen,27.0,G,10,0.0,300.0,6-4,Yale,6/10/1996,3,1.0,
