No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
78.0,Ben Bartch,27.0,OL,1,1.0,315.0,6-6,Saint John's (MN),7/22/1998,5,,Jacksonville Jaguars / 4th / 116th pick / 2020
51.0,Robert Beal,26.0,DL,0,0.0,250.0,6-4,Georgia,8/18/1999,2,,San Francisco 49ers / 5th / 173rd pick / 2023
48.0,Tatum Bethune,24.0,LB,1,0.0,230.0,6-1,"Central Florida,Florida St.",2/19/2001,1,,San Francisco 49ers / 7th / 251st pick / 2024
97.0,Nick Bosa,28.0,DL,1,1.0,266.0,6-4,Ohio St.,10/23/1997,6,,San Francisco 49ers / 1st / 2nd pick / 2019
,Kendrick Bourne,30.0,WR,0,0.0,205.0,6-1,Eastern Washington,8/4/1995,8,,
64.0,Jake Brendel,33.0,OL,1,1.0,299.0,6-4,UCLA,9/10/1992,9,,
27.0,Ji'Ayir Brown,25.0,S,1,0.0,202.0,5-11,"Lackawanna,Penn St.",1/25/2000,2,,San Francisco 49ers / 3rd / 87th pick / 2023
74.0,Spencer Burford,25.0,OL,1,0.0,300.0,6-4,Texas-San Antonio,7/19/2000,3,,San Francisco 49ers / 4th / 134th pick / 2022
75.0,Connor Colby,22.0,OG,1,0.0,309.0,6-5,Iowa,1/16/2003,Rook,,San Francisco 49ers / 7th / 249th pick / 2025
95.0,Alfred Collins,24.0,DT,1,0.0,332.0,6-5,Texas,10/8/2001,Rook,,San Francisco 49ers / 2nd / 43rd pick / 2025
93.0,Kalia Davis,27.0,DL,1,1.0,310.0,6-2,Central Florida,10/2/1998,2,,San Francisco 49ers / 6th / 220th pick / 2022
92.0,Jordan Elliott,28.0,DL,1,1.0,303.0,6-4,"Texas,Missouri",11/23/1997,5,,Cleveland Browns / 3rd / 88th pick / 2020
89.0,Luke Farrell,28.0,TE,1,0.0,250.0,6-5,Ohio St.,10/14/1997,4,,Jacksonville Jaguars / 5th / 145th pick / 2021
,Russell Gage,29.0,WR,1,0.0,184.0,6-0,LSU,1/22/1996,7,,Atlanta Falcons / 6th / 194th pick / 2018
57.0,Luke Gifford,30.0,LB,1,1.0,243.0,6-3,Nebraska,8/28/1995,6,,
0.0,Renardo Green,25.0,CB,1,1.0,186.0,6-0,Florida St.,11/9/2000,1,,San Francisco 49ers / 2nd / 64th pick / 2024
94.0,Yetur Gross-Matos,27.0,DL,1,0.0,265.0,6-5,Penn St.,2/26/1998,5,,Carolina Panthers / 2nd / 38th pick / 2020
31.0,Isaac Guerendo,25.0,RB,1,0.0,221.0,6-0,"Wisconsin,Louisville",6/28/2000,1,,San Francisco 49ers / 4th / 129th pick / 2024
61.0,Matt Hennessy,28.0,OL,1,0.0,315.0,6-3,Temple,11/17/1997,5,,Atlanta Falcons / 3rd / 78th pick / 2020
47.0,Bryce Huff,27.0,DL,1,0.0,255.0,6-3,Memphis,4/17/1998,5,,
29.0,Jordan James,21.0,RB,0,0.0,208.0,5-9,Oregon,3/29/2004,Rook,,San Francisco 49ers / 5th / 147th pick / 2025
96.0,Jordan Jefferson,24.0,DT,0,0.0,316.0,6-2,"West Virginia,LSU",9/24/2001,1,,Jacksonville Jaguars / 4th / 116th pick / 2024
15.0,Jauan Jennings,28.0,WR,1,1.0,212.0,6-3,Tennessee,7/10/1997,4,,San Francisco 49ers / 7th / 217th pick / 2020
10.0,Mac Jones,27.0,QB,0,0.0,220.0,6-3,Alabama,9/5/1998,4,,New England Patriots / 1st / 15th pick / 2021
44.0,Kyle Juszczyk,34.0,FB,1,1.0,235.0,6-1,Harvard,4/23/1991,12,,Baltimore Ravens / 4th / 130th pick / 2013
85.0,George Kittle,32.0,TE,1,1.0,250.0,6-4,Iowa,10/9/1993,8,,San Francisco 49ers / 5th / 146th pick / 2017
2.0,Deommodore Lenoir,26.0,DB,1,1.0,200.0,5-10,Oregon,10/6/1999,4,,San Francisco 49ers / 5th / 172nd pick / 2021
26.0,Chase Lucas,28.0,CB,1,0.0,184.0,5-11,Arizona St.,3/4/1997,3,,Detroit Lions / 7th / 237th pick / 2022
28.0,Darrell Luter,25.0,CB,1,0.0,190.0,6-0,"Pearl River CC,South Alabama",4/24/2000,2,,San Francisco 49ers / 5th / 155th pick / 2023
45.0,Nick Martin,23.0,LB,0,0.0,221.0,5-11,Oklahoma St.,10/13/2002,Rook,,San Francisco 49ers / 3rd / 75th pick / 2025
23.0,Christian McCaffrey,29.0,RB,1,1.0,210.0,5-11,Stanford,6/7/1996,8,,Carolina Panthers / 1st / 8th pick / 2017
68.0,Colton McKivitz,29.0,OL,1,1.0,301.0,6-6,West Virginia,8/9/1996,5,,San Francisco 49ers / 5th / 153rd pick / 2020
4.0,Jake Moody,26.0,K,1,0.0,210.0,6-1,Michigan,11/23/1999,2,,San Francisco 49ers / 3rd / 99th pick / 2023
9.0,Skyy Moore,25.0,WR,1,0.0,195.0,5-10,Western Michigan,9/10/2000,3,,Kansas City Chiefs / 2nd / 54th pick / 2022
7.0,Thomas Morstead,39.0,P,1,0.0,225.0,6-4,SMU,3/8/1986,16,,New Orleans Saints / 5th / 164th pick / 2009
65.0,Drew Moss,22.0,OL,0,0.0,303.0,6-3,Colorado St.,5/21/2003,Rook,,
33.0,Siran Neal,31.0,CB,1,0.0,206.0,6-0,Jacksonville St.,8/4/1994,7,,Buffalo Bills / 5th / 154th pick / 2018
91.0,Sam Okuayinonu,27.0,DL,1,0.0,269.0,6-1,Maryland,5/1/1998,3,,
1.0,Ricky Pearsall,25.0,WR,1,1.0,189.0,6-1,"Arizona St.,Florida",9/9/2000,1,,San Francisco 49ers / 1st / 31st pick / 2024
25.0,Jason Pinnock,26.0,S,1,1.0,200.0,6-0,Pittsburgh,6/30/1999,4,,New York Jets / 5th / 175th pick / 2021
