No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
18.0,Elijah Arroyo,22.0,TE,1,0.0,254.0,6-5,Miami (FL),4/5/2003,Rook,,Seattle Seahawks / 2nd / 50th pick / 2025
88.0,AJ Barner,23.0,TE,1,1.0,251.0,6-6,"Indiana,Michigan",5/3/2002,1,,Seattle Seahawks / 4th / 121st pick / 2024
19.0,Jake Bobo,27.0,WR,0,0.0,207.0,6-4,"Duke,UCLA",8/4/1998,2,,
75.0,Anthony Bradford,24.0,G,1,1.0,335.0,6-4,LSU,4/28/2001,2,,Seattle Seahawks / 4th / 108th pick / 2023
8.0,Coby Bryant,26.0,FS,1,1.0,193.0,6-1,Cincinnati,3/29/1999,3,,Seattle Seahawks / 4th / 109th pick / 2022
77.0,Bryce Cabeldue,24.0,OG,0,0.0,306.0,6-4,Kansas,9/4/2001,Rook,,Seattle Seahawks / 6th / 192nd pick / 2025
26.0,Zach Charbonnet,24.0,RB,1,0.0,214.0,6-1,"Michigan,UCLA",1/8/2001,2,,Seattle Seahawks / 2nd / 52nd pick / 2023
67.0,Charles Cross,25.0,T,1,1.0,317.0,6-5,Mississippi St.,11/25/2000,3,,Seattle Seahawks / 1st / 9th pick / 2022
14.0,Sam Darnold,28.0,QB,1,1.0,225.0,6-3,USC,6/5/1997,7,,New York Jets / 1st / 3rd pick / 2018
4.0,Michael Dickson,29.0,P,1,0.0,208.0,6-2,Texas,1/4/1996,7,,Seattle Seahawks / 5th / 149th pick / 2018
3.0,Nick Emmanwori,21.0,S,1,0.0,220.0,6-3,South Carolina,2/7/2004,Rook,,Seattle Seahawks / 2nd / 35th pick / 2025
58.0,Derick Hall,24.0,OLB,1,0.0,254.0,6-3,Auburn,3/19/2001,2,,Seattle Seahawks / 2nd / 37th pick / 2023
36.0,George Holani,26.0,RB,1,0.0,210.0,5-11,Boise St.,12/16/1999,1,,
15.0,Tory Horton,23.0,WR,1,0.0,196.0,6-2,"Nevada,Colorado St.",11/29/2002,Rook,,Seattle Seahawks / 5th / 166th pick / 2025
51.0,Jared Ivey,24.0,LB,0,0.0,274.0,6-6,"Georgia Tech,Mississippi",12/5/2001,Rook,,
29.0,Josh Jobe,27.0,CB,1,0.0,190.0,5-11,Alabama,4/9/1998,3,,
13.0,Ernest Jones,26.0,LB,1,1.0,230.0,6-2,South Carolina,11/22/1999,4,,Los Angeles Rams / 3rd / 103rd pick / 2021
74.0,Josh Jones,28.0,OL,1,0.0,339.0,6-7,Houston,6/22/1997,5,,Arizona Cardinals / 3rd / 72nd pick / 2020
89.0,Nick Kallerup,24.0,TE,0,0.0,266.0,6-5,Minnesota,3/27/2001,Rook,,
1.0,Derion Kendrick,25.0,CB,1,0.0,199.0,6-0,"Clemson,Georgia",8/24/2000,3,,Los Angeles Rams / 6th / 212th pick / 2022
48.0,Tyrice Knight,25.0,LB,1,1.0,233.0,6-0,"Independence (KS),Texas-El Paso",12/20/2000,1,,Seattle Seahawks / 4th / 118th pick / 2024
10.0,Cooper Kupp,32.0,WR,1,1.0,205.0,6-1,Eastern Washington,6/15/1993,8,,Los Angeles Rams / 3rd / 69th pick / 2017
0.0,DeMarcus Lawrence,33.0,DE,1,1.0,254.0,6-3,"Butler (KS),Boise St.",4/28/1992,11,,Dallas Cowboys / 2nd / 34th pick / 2014
2.0,Drew Lock,29.0,QB,0,0.0,228.0,6-4,Missouri,11/10/1996,6,,Denver Broncos / 2nd / 42nd pick / 2019
20.0,Julian Love,27.0,FS,1,1.0,195.0,5-11,Notre Dame,3/19/1998,6,,New York Giants / 4th / 108th pick / 2019
72.0,Abraham Lucas,27.0,T,1,1.0,322.0,6-6,Washington St.,10/25/1998,3,,Seattle Seahawks / 3rd / 72nd pick / 2022
53.0,Boye Mafe,27.0,LB,1,1.0,261.0,6-4,Minnesota,11/30/1998,3,,Seattle Seahawks / 2nd / 40th pick / 2022
6.0,Jalen Milroe,23.0,QB,1,0.0,216.0,6-2,Alabama,12/13/2002,Rook,,Seattle Seahawks / 3rd / 92nd pick / 2025
94.0,Mike Morris,24.0,DE,1,0.0,295.0,6-6,Michigan,4/22/2001,2,,Seattle Seahawks / 5th / 151st pick / 2023
91.0,Byron Murphy,23.0,DT,1,1.0,306.0,6-0,Texas,9/8/2002,1,,Seattle Seahawks / 1st / 16th pick / 2024
5.0,Jason Myers,34.0,K,1,0.0,190.0,5-10,Marist,5/12/1991,10,,
7.0,Uchenna Nwosu,29.0,LB,0,0.0,265.0,6-2,USC,12/28/1996,7,,Los Angeles Chargers / 2nd / 48th pick / 2018
