No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
26.0,Saquon Barkley,28.0,RB,1,1.0,233.0,6-0,Penn St.,2/9/1997,7,,New York Giants / 1st / 2nd pick / 2018
53.0,Zack Baun,29.0,LB,1,1.0,225.0,6-3,Wisconsin,12/30/1996,5,,New Orleans Saints / 3rd / 74th pick / 2020
23.0,Jakorian Bennett,25.0,CB,1,0.0,200.0,5-10,"Hutchinson (KS),Maryland",8/23/2000,2,,Las Vegas Raiders / 4th / 104th pick / 2023
,Tank Bigsby,24.0,RB,0,0.0,215.0,5-11,Auburn,8/30/2001,2,,Jacksonville Jaguars / 3rd / 88th pick / 2023
32.0,Reed Blankenship,26.0,S,1,1.0,203.0,6-1,Middle Tenn. St.,3/2/1999,3,,
11.0,A.J. Brown,28.0,WR,1,1.0,226.0,6-1,Mississippi,6/30/1997,6,,Tennessee Titans / 2nd / 51st pick / 2019
21.0,Sydney Brown,25.0,S,1,0.0,211.0,5-10,Illinois,3/21/2000,2,,Philadelphia Eagles / 3rd / 66th pick / 2023
81.0,Grant Calcaterra,27.0,TE,1,0.0,240.0,6-4,"Oklahoma,SMU",12/4/1998,3,,Philadelphia Eagles / 6th / 198th pick / 2022
30.0,Jihaad Campbell,21.0,LB,1,1.0,235.0,6-3,Alabama,2/24/2004,Rook,,Philadelphia Eagles / 1st / 31st pick / 2025
98.0,Jalen Carter,24.0,DT,1,0.0,314.0,6-3,Georgia,4/4/2001,2,,Philadelphia Eagles / 1st / 9th pick / 2023
80.0,Darius Cooper,24.0,WR,1,0.0,210.0,5-11,Tarleton St.,11/22/2001,Rook,,
90.0,Jordan Davis,25.0,DT,1,1.0,336.0,6-6,Georgia,1/12/2000,3,,Philadelphia Eagles / 1st / 13th pick / 2022
33.0,Cooper DeJean,22.0,DB,1,1.0,198.0,6-0,Iowa,2/9/2003,1,,Philadelphia Eagles / 2nd / 40th pick / 2024
69.0,Landon Dickerson,27.0,G,1,1.0,332.0,6-6,"Florida St.,Alabama",9/30/1998,4,,Philadelphia Eagles / 2nd / 37th pick / 2021
29.0,AJ Dillon,27.0,RB,1,0.0,247.0,6-0,Boston Col.,5/2/1998,5,,Green Bay Packers / 2nd / 62nd pick / 2020
2.0,Jahan Dotson,25.0,WR,1,1.0,184.0,5-11,Penn St.,3/22/2000,3,,Washington Commanders / 1st / 16th pick / 2022
4.0,Jake Elliott,30.0,K,1,0.0,167.0,5-9,Memphis,1/21/1995,8,,Cincinnati Bengals / 5th / 153rd pick / 2017
88.0,Dallas Goedert,30.0,TE,1,1.0,256.0,6-5,South Dakota St.,1/3/1995,7,,Philadelphia Eagles / 2nd / 49th pick / 2018
83.0,Kylen Granson,27.0,TE,1,0.0,242.0,6-3,"Rice,SMU",3/27/1998,4,,Indianapolis Colts / 4th / 127th pick / 2021
14.0,Sam Howell,25.0,QB,0,0.0,225.0,6-1,North Carolina,9/16/2000,3,,Washington Commanders / 5th / 144th pick / 2022
47.0,Charley Hughlett,35.0,LS,1,0.0,251.0,6-4,Central Florida,5/16/1990,10,,
58.0,Jalyx Hunt,24.0,OLB,1,1.0,252.0,6-3,"Cornell,Houston Christian",3/13/2001,1,,Philadelphia Eagles / 3rd / 94th pick / 2024
1.0,Jalen Hurts,27.0,QB,1,1.0,223.0,6-1,"Alabama,Oklahoma",8/7/1998,5,,Philadelphia Eagles / 2nd / 53rd pick / 2020
8.0,Adoree' Jackson,30.0,CB,1,1.0,185.0,5-11,USC,9/18/1995,8,,Tennessee Titans / 1st / 18th pick / 2017
74.0,Fred Johnson,28.0,T,1,0.0,326.0,6-7,Florida,6/5/1997,6,,
65.0,Lane Johnson,35.0,T,1,1.0,325.0,6-6,"Kilgore College,Oklahoma",5/8/1990,12,,Philadelphia Eagles / 1st / 4th pick / 2013
48.0,Patrick Johnson,27.0,OLB,1,0.0,248.0,6-2,Tulane,1/10/1998,4,,Philadelphia Eagles / 7th / 234th pick / 2021
51.0,Cam Jurgens,26.0,OL,1,1.0,303.0,6-3,Nebraska,8/21/1999,3,,Philadelphia Eagles / 2nd / 51st pick / 2022
66.0,Drew Kendall,24.0,OL,0,0.0,308.0,6-4,Boston Col.,11/27/2001,Rook,,Philadelphia Eagles / 5th / 168th pick / 2025
68.0,Jordan Mailata,28.0,T,1,1.0,365.0,6-8,,3/31/1997,5,,Philadelphia Eagles / 7th / 233rd pick / 2018
10.0,Braden Mann,28.0,P,1,0.0,198.0,5-11,Texas A&M,11/24/1997,5,,New York Jets / 6th / 191st pick / 2020
16.0,Tanner McKee,25.0,QB,0,0.0,231.0,6-6,Stanford,4/27/2000,1,,Philadelphia Eagles / 6th / 188th pick / 2023
22.0,Mac McWilliams,24.0,CB,1,0.0,191.0,5-10,"Ala-Birmingham,Central Florida",11/29/2001,Rook,,Philadelphia Eagles / 5th / 145th pick / 2025
18.0,John Metchie,25.0,WR,1,0.0,195.0,6-0,Alabama,7/18/2000,2,,Houston Texans / 2nd / 44th pick / 2022
27.0,Quinyon Mitchell,24.0,CB,1,1.0,193.0,6-0,Toledo,7/18/2001,1,,Philadelphia Eagles / 1st / 22nd pick / 2024
42.0,Smael Mondon,22.0,LB,1,0.0,224.0,6-2,Georgia,2/13/2003,Rook,,Philadelphia Eagles / 5th / 161st pick / 2025
24.0,Andrew Mukuba,23.0,S,1,1.0,186.0,5-11,"Clemson,Texas",12/7/2002,Rook,,Philadelphia Eagles / 2nd / 64th pick / 2025
97.0,Moro Ojomo,24.0,DT,1,1.0,292.0,6-3,Texas,8/15/2001,2,,Philadelphia Eagles / 7th / 249th pick / 2023
13.0,Azeez Ojulari,25.0,OLB,0,0.0,240.0,6-3,Georgia,6/16/2000,4,,New York Giants / 2nd / 50th pick / 2021
45.0,Ogbonnia Okoronkwo,30.0,DE,0,0.0,253.0,6-2,Oklahoma,4/24/1995,6,,Los Angeles Rams / 5th / 160th pick / 2018
79.0,Matt Pryor,31.0,OL,1,0.0,332.0,6-7,TCU,12/16/1994,6,,Philadelphia Eagles / 6th / 206th pick / 2018
7.0,Kelee Ringo,23.0,CB,1,0.0,207.0,6-2,Georgia,6/27/2002,2,,Philadelphia Eagles / 4th / 105th pick / 2023
95.0,Ty Robinson,24.0,DT,0,0.0,288.0,6-5,Nebraska,5/3/2001,Rook,,Philadelphia Eagles / 4th / 111th pick / 2025
28.0,Will Shipley,23.0,RB,1,0.0,209.0,5-11,Clemson,8/29/2002,1,,Philadelphia Eagles / 4th / 127th pick / 2024
6.0,DeVonta Smith,27.0,WR,1,1.0,170.0,6-0,Alabama,11/14/1998,4,,Philadelphia Eagles / 1st / 10th pick / 2021
3.0,Nolan Smith,24.0,OLB,1,1.0,238.0,6-2,Georgia,1/18/2001,2,,Philadelphia Eagles / 1st / 30th pick / 2023
,Za'Darius Smith,33.0,DE,0,0.0,270.0,6-4,"East Mississippi CC,Kentucky",9/8/1992,10,,Baltimore Ravens / 4th / 122nd pick / 2015
56.0,Tyler Steen,25.0,OL,1,1.0,321.0,6-6,"Vanderbilt,Alabama",6/24/2000,2,,Philadelphia Eagles / 3rd / 65th pick / 2023
64.0,Brett Toth,29.0,OL,1,0.0,304.0,6-6,Army,9/1/1996,5,,
54.0,Jeremiah Trotter Jr.,23.0,LB,1,0.0,225.0,6-0,Clemson,12/24/2002,1,,Philadelphia Eagles / 5th / 155th pick / 2024
0.0,Joshua Uche,27.0,OLB,1,0.0,226.0,6-3,Michigan,9/18/1998,5,,New England Patriots / 2nd / 60th pick / 2020
73.0,Cameron Williams,22.0,OT,0,0.0,317.0,6-5,Texas,10/16/2003,Rook,,Philadelphia Eagles / 6th / 207th pick / 2025
94.0,Byron Young,25.0,DT,1,0.0,292.0,6-3,Alabama,11/10/2000,2,,Las Vegas Raiders / 3rd / 70th pick / 2023
17.0,Nakobe Dean (PUP),25.0,LB,0,0.0,231.0,5-11,Georgia,12/13/2000,3,,Philadelphia Eagles / 3rd / 83rd pick / 2022
78.0,Myles Hinton (IRD),23.0,OT,0,0.0,323.0,6-6,"Stanford,Michigan",1/9/2002,Rook,,Philadelphia Eagles / 6th / 191st pick / 2025
,Lewis Cine (IR),26.0,S,0,0.0,199.0,6-2,Georgia,10/5/1999,3,,Minnesota Vikings / 1st / 32nd pick / 2022
61.0,Willie Lampkin (IR),,OL,0,0.0,290.0,5-11,North Carolina,,Rook,,
43.0,Ben VanSumeren (IR),25.0,FB,1,0.0,231.0,6-2,"Michigan,Michigan St.",5/5/2000,2,,
89.0,Johnny Wilson (IR),24.0,WR,0,0.0,228.0,6-6,"Arizona St.,Florida St.",4/3/2001,1,,Philadelphia Eagles / 6th / 185th pick / 2024
,Team Total,26.3,,1,,243.9,6-2.0,,,3.6,,
