No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
93.0,Jonathan Allen,30.0,DL,1,1.0,300.0,6-3,Alabama,1/16/1995,8,,Washington Redskins / 1st / 17th pick / 2017
64.0,Blake Brandel,28.0,G,1,0.0,315.0,6-6,Oregon St.,1/23/1997,4,,Minnesota Vikings / 6th / 203rd pick / 2020
12.0,Max Brosmer,,QB,0,0.0,217.0,6-2,Minnesota,,Rook,,
51.0,Blake Cashman,29.0,LB,1,1.0,235.0,6-1,Minnesota,5/10/1996,6,,New York Jets / 5th / 157th pick / 2019
57.0,Chaz Chambliss,23.0,OLB,1,0.0,242.0,6-1,Georgia,10/25/2002,Rook,,
32.0,Ty Chandler,27.0,RB,1,0.0,204.0,5-11,"Tennessee,North Carolina",5/12/1998,3,,Minnesota Vikings / 5th / 169th pick / 2022
71.0,Christian Darrisaw,26.0,T,0,0.0,315.0,6-5,Virginia Tech,6/2/1999,4,,Minnesota Vikings / 1st / 23rd pick / 2021
42.0,Andrew DePaola,38.0,LS,1,0.0,229.0,6-1,Rutgers,7/28/1987,11,,
13.0,Tai Felton,22.0,WR,1,0.0,183.0,6-1,Maryland,3/15/2003,Rook,,Minnesota Vikings / 3rd / 102nd pick / 2025
76.0,Will Fries,27.0,G,1,1.0,305.0,6-6,Penn St.,4/4/1998,4,,Indianapolis Colts / 7th / 248th pick / 2021
58.0,Jonathan Greenard,28.0,OLB,1,1.0,259.0,6-3,"Louisville,Florida",5/25/1997,5,,Houston Texans / 3rd / 90th pick / 2020
97.0,Javon Hargrave,32.0,DL,1,1.0,305.0,6-2,South Carolina St.,2/7/1993,9,,Pittsburgh Steelers / 3rd / 89th pick / 2016
87.0,T.J. Hockenson,28.0,TE,1,1.0,248.0,6-5,Iowa,7/3/1997,6,,Detroit Lions / 1st / 8th pick / 2019
60.0,Joe Huber,23.0,OG,0,0.0,310.0,6-5,"Cincinnati,Wisconsin",5/2/2002,Rook,,
90.0,Tyrion Ingram-Dawkins,22.0,DL,1,0.0,276.0,6-5,Georgia,6/26/2003,Rook,,Minnesota Vikings / 5th / 139th pick / 2025
74.0,Donovan Jackson,23.0,OL,1,1.0,315.0,6-4,Ohio St.,12/4/2002,Rook,,Minnesota Vikings / 1st / 24th pick / 2025
26.0,Theo Jackson,27.0,S,1,1.0,198.0,6-1,Tennessee,10/2/1998,3,,Tennessee Titans / 6th / 204th pick / 2022
18.0,Justin Jefferson,26.0,WR,1,1.0,195.0,6-1,LSU,6/16/1999,5,,Minnesota Vikings / 1st / 22nd pick / 2020
33.0,Aaron Jones,31.0,RB,1,1.0,208.0,5-10,Texas-El Paso,12/2/1994,8,,Green Bay Packers / 5th / 182nd pick / 2017
14.0,Tim Jones,27.0,WR,1,0.0,200.0,6-1,Southern Miss,5/16/1998,3,,
65.0,Michael Jurgens,25.0,G,0,0.0,311.0,6-5,Wake Forest,1/1/2000,1,,Minnesota Vikings / 7th / 230th pick / 2024
78.0,Ryan Kelly,32.0,C,1,1.0,307.0,6-4,Alabama,5/30/1993,9,,Indianapolis Colts / 1st / 18th pick / 2016
56.0,Austin Keys,23.0,LB,1,0.0,247.0,6-2,"Mississippi,Auburn",4/3/2002,Rook,,
41.0,Kobe King,22.0,LB,1,0.0,236.0,6-1,Penn St.,1/28/2003,Rook,,Minnesota Vikings / 6th / 201st pick / 2025
27.0,Jordan Mason,26.0,RB,1,0.0,223.0,5-11,Georgia Tech,5/24/1999,3,,
9.0,J.J. McCarthy,22.0,QB,1,1.0,219.0,6-3,Michigan,1/20/2003,Rook,,Minnesota Vikings / 1st / 10th pick / 2024
29.0,Dwight McGlothern,23.0,CB,1,0.0,185.0,6-2,"LSU,Arkansas",2/6/2002,1,,
44.0,Josh Metellus,27.0,S,1,1.0,207.0,5-11,Michigan,1/21/1998,5,,Minnesota Vikings / 6th / 205th pick / 2020
7.0,Byron Murphy,27.0,CB,1,1.0,190.0,5-11,Washington,1/18/1998,6,,Arizona Cardinals / 2nd / 33rd pick / 2019
1.0,Jalen Nailor,26.0,WR,1,1.0,190.0,5-11,Michigan St.,3/2/1999,3,,Minnesota Vikings / 6th / 191st pick / 2022
75.0,Brian O'Neill,30.0,T,1,1.0,310.0,6-7,Pittsburgh,9/15/1995,7,,Minnesota Vikings / 2nd / 62nd pick / 2018
8.0,Jeff Okudah,26.0,CB,1,0.0,205.0,6-1,Ohio St.,2/2/1999,5,,Detroit Lions / 1st / 3rd pick / 2020
84.0,Josh Oliver,28.0,TE,1,1.0,259.0,6-5,San Jose St.,3/21/1997,6,,Jacksonville Jaguars / 3rd / 69th pick / 2019
0.0,Ivan Pace,25.0,LB,1,1.0,231.0,5-10,"Miami (OH),Cincinnati",12/16/2000,2,,
4.0,Myles Price,24.0,WR,1,0.0,183.0,5-9,"Texas Tech,Indiana",12/16/2001,Rook,,
61.0,Jalen Redmond,26.0,DL,1,1.0,291.0,6-3,Oklahoma,3/12/1999,1,,
16.0,Will Reichard,24.0,K,1,0.0,187.0,6-1,Alabama,1/9/2001,1,,Minnesota Vikings / 6th / 203rd pick / 2024
54.0,Bo Richter,25.0,OLB,1,0.0,248.0,6-1,Air Force,8/13/2000,1,,
2.0,Isaiah Rodgers,27.0,CB,1,1.0,176.0,5-10,Massachusetts,1/7/1998,5,,Indianapolis Colts / 6th / 211th pick / 2020
50.0,Levi Drake Rodriguez,25.0,DL,1,0.0,290.0,6-2,"Southwestern Assemblies of God,Texas A&M-Commerce",8/4/2000,1,,Minnesota Vikings / 7th / 232nd pick / 2024
73.0,Walter Rouse,24.0,T,1,0.0,313.0,6-6,"Stanford,Oklahoma",3/9/2001,1,,Minnesota Vikings / 6th / 177th pick / 2024
36.0,Zavier Scott,26.0,RB,0,0.0,219.0,6-1,Maine,7/17/1999,Rook,,
67.0,Justin Skule,29.0,T,1,1.0,315.0,6-6,Vanderbilt,11/23/1996,6,,San Francisco 49ers / 6th / 183rd pick / 2019
22.0,Harrison Smith,36.0,S,0,0.0,211.0,6-2,Notre Dame,2/2/1989,13,,Minnesota Vikings / 1st / 29th pick / 2012
