No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
17.0,Josh Allen,29.0,QB,1,1.0,237.0,6-5,"Reedley,Wyoming",5/21/1996,7,,Buffalo Bills / 1st / 7th pick / 2018
70.0,Alec Anderson,26.0,T,1,0.0,305.0,6-5,UCLA,10/3/1999,1,,
44.0,Joe Andreessen,25.0,LB,1,0.0,232.0,6-1,"Bryant,Buffalo",2/7/2000,1,,
47.0,Christian Benford,25.0,CB,1,1.0,205.0,6-1,Villanova,9/21/2000,3,,Buffalo Bills / 6th / 185th pick / 2022
8.0,Terrel Bernard,26.0,LB,1,1.0,224.0,6-1,Baylor,5/7/1999,3,,Buffalo Bills / 3rd / 89th pick / 2022
24.0,Cole Bishop,23.0,S,1,1.0,207.0,6-2,Utah,10/24/2002,1,,Buffalo Bills / 2nd / 60th pick / 2024
97.0,Joey Bosa,30.0,DE,1,1.0,280.0,6-5,Ohio St.,7/11/1995,9,,San Diego Chargers / 1st / 3rd pick / 2016
79.0,Spencer Brown,27.0,T,1,1.0,311.0,6-6,Northern Iowa,2/28/1998,4,,Buffalo Bills / 3rd / 93rd pick / 2021
29.0,Brandon Codrington,25.0,CB,1,0.0,185.0,5-9,North Carolina Central,11/17/2000,1,,
0.0,Keon Coleman,22.0,WR,1,1.0,215.0,6-4,"Michigan St.,Florida St.",5/17/2003,1,,Buffalo Bills / 2nd / 33rd pick / 2024
4.0,James Cook,26.0,RB,1,1.0,190.0,5-11,Georgia,9/25/1999,3,,Buffalo Bills / 2nd / 63rd pick / 2022
22.0,Ray Davis,26.0,RB,1,0.0,220.0,5-8,"Temple,Vanderbilt,Kentucky",11/11/1999,1,,Buffalo Bills / 4th / 128th pick / 2024
73.0,Dion Dawkins,31.0,T,1,1.0,320.0,6-5,Temple,4/26/1994,8,,Buffalo Bills / 2nd / 63rd pick / 2017
76.0,David Edwards,28.0,G,1,1.0,308.0,6-6,Wisconsin,3/20/1997,6,,Los Angeles Rams / 5th / 169th pick / 2019
57.0,A.J. Epenesa,27.0,DE,1,0.0,260.0,6-6,Iowa,9/15/1998,5,,Buffalo Bills / 2nd / 54th pick / 2020
69.0,Reid Ferguson,31.0,LS,1,0.0,235.0,6-2,LSU,3/24/1994,8,,
28.0,Sam Franklin,29.0,S,1,0.0,210.0,6-3,Temple,2/2/1996,5,,
41.0,Reggie Gilliam,28.0,FB,1,0.0,244.0,6-0,Toledo,8/20/1997,5,,
53.0,Kendrick Green,27.0,C,0,0.0,315.0,6-4,Illinois,12/22/1998,4,,Pittsburgh Steelers / 3rd / 87th pick / 2021
3.0,Damar Hamlin,27.0,S,1,0.0,200.0,6-0,Pittsburgh,3/24/1998,4,,Buffalo Bills / 6th / 212th pick / 2021
37.0,Jordan Hancock,22.0,DB,0,0.0,195.0,6-0,Ohio St.,8/12/2003,Rook,,Buffalo Bills / 5th / 170th pick / 2025
85.0,Jackson Hawes,25.0,TE,1,0.0,253.0,6-4,"Yale,Georgia Tech",12/6/2000,Rook,,Buffalo Bills / 5th / 173rd pick / 2025
46.0,Ja'Marcus Ingram,28.0,CB,1,0.0,190.0,6-2,"Utah St.,Texas Tech,Buffalo",9/2/1997,3,,
94.0,Landon Jackson,22.0,DE,0,0.0,264.0,6-6,"LSU,Arkansas",1/2/2003,Rook,,Buffalo Bills / 3rd / 72nd pick / 2025
7.0,Taron Johnson,29.0,CB,1,0.0,192.0,5-11,Weber St.,7/27/1996,7,,Buffalo Bills / 4th / 121st pick / 2018
26.0,Ty Johnson,28.0,RB,1,0.0,210.0,5-10,Maryland,9/17/1997,6,,Detroit Lions / 6th / 186th pick / 2019
92.0,DaQuan Jones,34.0,DT,1,1.0,320.0,6-4,Penn St.,12/17/1991,11,,Tennessee Titans / 4th / 112th pick / 2014
86.0,Dalton Kincaid,26.0,TE,1,1.0,240.0,6-4,"San Diego,Utah",10/18/1999,2,,Buffalo Bills / 1st / 25th pick / 2023
88.0,Dawson Knox,29.0,TE,1,1.0,254.0,6-4,Mississippi,11/14/1996,6,,Buffalo Bills / 3rd / 96th pick / 2019
39.0,Cameron Lewis,28.0,DB,1,0.0,183.0,5-9,Buffalo,4/13/1997,5,,
77.0,Chase Lundt,25.0,OT,0,0.0,304.0,6-7,Connecticut,6/16/2000,Rook,,Buffalo Bills / 6th / 206th pick / 2025
66.0,Connor McGovern,28.0,G,1,1.0,318.0,6-5,Penn St.,11/3/1997,5,,Dallas Cowboys / 3rd / 90th pick / 2019
58.0,Matt Milano,31.0,LB,1,1.0,223.0,6-0,Boston Col.,7/28/1994,8,,Buffalo Bills / 5th / 163rd pick / 2017
18.0,Elijah Moore,25.0,WR,1,0.0,178.0,5-10,Mississippi,3/27/2000,4,,New York Jets / 2nd / 34th pick / 2021
91.0,Ed Oliver,28.0,DT,1,1.0,287.0,6-1,Houston,12/12/1997,6,,Buffalo Bills / 1st / 9th pick / 2019
5.0,Josh Palmer,26.0,WR,1,1.0,210.0,6-1,Tennessee,9/22/1999,4,,Los Angeles Chargers / 3rd / 77th pick / 2021
15.0,Matt Prater,41.0,K,1,0.0,201.0,5-10,Central Florida,8/10/1984,18,,
9.0,Taylor Rapp,28.0,S,1,1.0,208.0,6-0,Washington,12/22/1997,6,,Los Angeles Rams / 2nd / 61st pick / 2019
40.0,Brad Robbins,27.0,P,1,0.0,203.0,6-1,Michigan,10/6/1998,2,,Cincinnati Bengals / 6th / 217th pick / 2023
50.0,Gregory Rousseau,25.0,DE,1,1.0,266.0,6-6,Miami (FL),4/5/2000,4,,Buffalo Bills / 1st / 30th pick / 2021
1.0,Curtis Samuel,29.0,WR,0,0.0,195.0,5-11,Ohio St.,8/11/1996,8,,Carolina Panthers / 2nd / 40th pick / 2017
98.0,T.J. Sanders,22.0,DT,1,0.0,297.0,6-4,South Carolina,7/30/2003,Rook,,Buffalo Bills / 2nd / 41st pick / 2025
10.0,Khalil Shakir,25.0,WR,1,0.0,190.0,6-0,Boise St.,2/3/2000,3,,Buffalo Bills / 5th / 148th pick / 2022
14.0,Tyrell Shavers,26.0,WR,1,0.0,211.0,6-4,"Alabama,Mississippi St.,San Diego St.",8/18/1999,1,,
56.0,Javon Solomon,24.0,DE,1,0.0,247.0,6-1,Troy,1/17/2001,1,,Buffalo Bills / 5th / 168th pick / 2024
43.0,Dorian Strong,23.0,CB,1,1.0,185.0,6-1,Virginia Tech,3/14/2002,Rook,,Buffalo Bills / 6th / 177th pick / 2025
45.0,Shaq Thompson,31.0,OLB,1,0.0,230.0,6-0,Washington,4/21/1994,10,,Carolina Panthers / 1st / 25th pick / 2015
64.0,O'Cyrus Torrence,25.0,G,1,1.0,347.0,6-5,"Louisiana,Florida",1/20/2000,2,,Buffalo Bills / 2nd / 59th pick / 2023
11.0,Mitchell Trubisky,31.0,QB,0,0.0,222.0,6-3,North Carolina,8/20/1994,8,,Chicago Bears / 1st / 2nd pick / 2017
74.0,Ryan Van Demark,27.0,T,1,0.0,307.0,6-6,Connecticut,3/22/1998,2,,
62.0,Sedrick Van Pran-Granger,24.0,OL,0,0.0,310.0,6-4,Georgia,10/23/2001,1,,Buffalo Bills / 5th / 141st pick / 2024
96.0,Deone Walker,21.0,DT,1,0.0,331.0,6-7,Kentucky,3/11/2004,Rook,,Buffalo Bills / 4th / 109th pick / 2025
27.0,Tre'Davious White,30.0,CB,0,0.0,192.0,5-11,LSU,1/16/1995,8,,Buffalo Bills / 1st / 27th pick / 2017
42.0,Dorian Williams,24.0,LB,1,1.0,230.0,6-2,Tulane,6/8/2001,2,,Buffalo Bills / 3rd / 91st pick / 2023
55.0,Michael Hoecht (SUS),28.0,DE,0,0.0,310.0,6-4,Brown,10/5/1997,4,,
99.0,Larry Ogunjobi (SUS),31.0,DT,0,0.0,305.0,6-2,Charlotte,6/3/1994,8,,Cleveland Browns / 3rd / 65th pick / 2017
,Gabriel Davis (PRA_),26.0,WR,0,0.0,225.0,6-2,Central Florida,4/1/1999,5,,Buffalo Bills / 4th / 128th pick / 2020
2.0,Tyler Bass (IR),28.0,K,0,0.0,183.0,5-10,Georgia Southern,2/14/1997,5,,Buffalo Bills / 6th / 188th pick / 2020
90.0,DeWayne Carter (IR),25.0,DT,0,0.0,305.0,6-3,Duke,12/10/2000,1,,Buffalo Bills / 3rd / 95th pick / 2024
33.0,Te'Cory Couch (IR),26.0,DB,0,0.0,175.0,5-10,Miami (FL),9/6/1999,Rook,,
68.0,Tylan Grable (IR),26.0,OT,0,0.0,309.0,6-5,"Jacksonville St.,Central Florida",10/4/1999,1,,Buffalo Bills / 6th / 204th pick / 2024
31.0,Maxwell Hairston (IR),22.0,CB,0,0.0,183.0,5-11,Kentucky,8/6/2003,Rook,,Buffalo Bills / 1st / 30th pick / 2025
,Team Total,27.1,,1,,241.3,6-2.1,,,4.2,,
