No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
39.0,Zayne Anderson,28.0,S,0,0.0,206.0,6-2,BYU,1/3/1997,4,,
65.0,Aaron Banks,28.0,G,1,1.0,325.0,6-5,Notre Dame,9/3/1997,4,,San Francisco 49ers / 2nd / 48th pick / 2021
71.0,Anthony Belton,24.0,OT,1,0.0,336.0,6-6,"Georgia Military,North Carolina St.",2/23/2001,Rook,,Green Bay Packers / 2nd / 54th pick / 2025
91.0,Warren Brinson,23.0,DL,0,0.0,315.0,6-5,Georgia,2/4/2002,Rook,,Green Bay Packers / 6th / 198th pick / 2025
30.0,Chris Brooks,25.0,RB,1,0.0,219.0,6-1,"California,BYU",1/11/2000,2,,
94.0,Karl Brooks,25.0,DL,1,0.0,296.0,6-3,Bowling Green,5/8/2000,2,,Green Bay Packers / 6th / 179th pick / 2023
20.0,Javon Bullard,23.0,S,1,1.0,198.0,5-10,Georgia,9/5/2002,1,,Green Bay Packers / 2nd / 58th pick / 2024
56.0,Edgerrin Cooper,24.0,LB,1,1.0,229.0,6-2,Texas A&M,11/17/2001,1,,Green Bay Packers / 2nd / 45th pick / 2024
57.0,Brenton Cox,25.0,DL,1,0.0,250.0,6-4,"Georgia,Florida",1/30/2000,2,,
87.0,Romeo Doubs,25.0,WR,1,1.0,204.0,6-2,Nevada,4/13/2000,3,,Green Bay Packers / 4th / 132nd pick / 2022
55.0,Kingsley Enagbare,25.0,DL,1,0.0,258.0,6-4,South Carolina,1/18/2000,3,,Green Bay Packers / 5th / 179th pick / 2022
86.0,John FitzPatrick,25.0,TE,1,0.0,262.0,6-7,Georgia,3/9/2000,2,,Atlanta Falcons / 6th / 213th pick / 2022
52.0,Rashan Gary,28.0,DL,1,1.0,277.0,6-5,Michigan,12/3/1997,6,,Green Bay Packers / 1st / 12th pick / 2019
0.0,Matthew Golden,22.0,WR,1,1.0,191.0,5-11,"Houston,Texas",8/1/2003,Rook,,Green Bay Packers / 1st / 23rd pick / 2025
36.0,Kamal Hadden,24.0,CB,1,0.0,192.0,6-1,"Independence (KS),Tennessee",1/17/2001,1,,Kansas City Chiefs / 6th / 211th pick / 2024
18.0,Malik Heath,25.0,WR,1,0.0,213.0,6-2,"Copiah-Lincoln CC,Mississippi St.,Mississippi",3/31/2000,2,,
21.0,Nate Hobbs,26.0,CB,0,0.0,195.0,6-0,Illinois,6/24/1999,4,,Las Vegas Raiders / 5th / 167th pick / 2021
59.0,Ty'Ron Hopper,24.0,LB,1,0.0,228.0,6-2,"Florida,Missouri",4/26/2001,1,,Green Bay Packers / 3rd / 91st pick / 2024
8.0,Josh Jacobs,27.0,RB,1,1.0,223.0,5-10,Alabama,2/11/1998,6,,Oakland Raiders / 1st / 24th pick / 2019
74.0,Elgton Jenkins,30.0,OL,1,1.0,311.0,6-5,Mississippi St.,12/26/1995,6,,Green Bay Packers / 2nd / 44th pick / 2019
67.0,Donovan Jennings,26.0,OL,0,0.0,323.0,6-4,South Florida,11/24/1999,Rook,,
70.0,Darian Kinnard,26.0,OL,1,0.0,322.0,6-5,Kentucky,12/29/1999,3,,Kansas City Chiefs / 5th / 145th pick / 2022
