Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Jordan Addison,22.0,WR,15,15.0,175.0,71,"Pittsburgh,USC",1/27/2002,1,8.0,Minnesota Vikings,Minnesota Vikings,1.0,23.0,2023.0
Cam Akers,25.0,RB,12,0.0,217.0,70,Florida St.,6/22/1999,4,2.0,Minnesota Vikings,Los Angeles Rams,2.0,52.0,2020.0
Brian Asamoah,24.0,LB,17,0.0,226.0,72,Oklahoma,3/29/2000,2,1.0,Minnesota Vikings,Minnesota Vikings,3.0,66.0,2022.0
Garrett Bradbury,29.0,C,17,17.0,300.0,75,North Carolina St.,6/20/1995,5,7.0,Minnesota Vikings,Minnesota Vikings,1.0,18.0,2019.0
Blake Brandel,27.0,LG,17,17.0,315.0,79,Oregon St.,1/23/1997,3,7.0,Minnesota Vikings,Minnesota Vikings,6.0,203.0,2020.0
Jonathan Bullard,31.0,RDE,17,17.0,290.0,75,Florida,10/22/1993,8,8.0,Minnesota Vikings,Chicago Bears,3.0,72.0,2016.0
Camryn Bynum,26.0,FS,17,17.0,200.0,72,California,7/19/1998,3,7.0,Minnesota Vikings,Minnesota Vikings,4.0,125.0,2021.0
Blake Cashman,28.0,RILB,14,14.0,235.0,73,Minnesota,5/10/1996,5,7.0,Minnesota Vikings,New York Jets,5.0,157.0,2019.0
Ty Chandler,26.0,RB,17,0.0,204.0,71,"Tennessee,North Carolina",5/12/1998,2,2.0,Minnesota Vikings,Minnesota Vikings,5.0,169.0,2022.0
Sam Darnold,27.0,QB,17,17.0,225.0,75,USC,6/5/1997,6,14.0,Minnesota Vikings,New York Jets,1.0,3.0,2018.0
Christian Darrisaw,25.0,T,7,7.0,315.0,77,Virginia Tech,6/2/1999,3,4.0,Minnesota Vikings,Minnesota Vikings,1.0,23.0,2021.0
Jamin Davis,26.0,LB,4,0.0,234.0,75,Kentucky,12/12/1998,3,0.0,Minnesota Vikings,Washington Football Team,1.0,19.0,2021.0
Andrew DePaola,37.0,LS,13,0.0,229.0,73,Rutgers,7/28/1987,10,2.0,Minnesota Vikings,,,,
Akayleb Evans,25.0,CB,7,0.0,198.0,74,"Tulsa,Missouri",6/22/1999,2,0.0,Minnesota Vikings,Minnesota Vikings,4.0,118.0,2022.0
Dan Feeney,30.0,C,8,0.0,305.0,76,Indiana,5/29/1994,7,1.0,Minnesota Vikings,Los Angeles Chargers,3.0,71.0,2017.0
Myles Gaskin,27.0,RB,5,0.0,199.0,70,Washington,2/15/1997,5,0.0,Minnesota Vikings,Miami Dolphins,7.0,234.0,2019.0
