Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Davante Adams,32.0,WR,11,11.0,215.0,73,Fresno St.,12/24/1992,10,8.0,New York Jets,Green Bay Packers,2.0,53.0,2014.0
Tony Adams,25.0,FS,15,11.0,203.0,71,Illinois,1/24/1999,2,4.0,New York Jets,,,,
Braelon Allen,20.0,RB,17,2.0,235.0,73,Wisconsin,1/20/2004,0,3.0,New York Jets,New York Jets,4.0,134.0,2024.0
Zack Bailey,29.0,OL,1,0.0,299.0,77,South Carolina,11/8/1995,2,0.0,New York Jets,,,,
Brenden Bates,25.0,TE,5,0.0,255.0,77,Kentucky,10/17/1999,0,0.0,New York Jets,,,,
Jarrick Bernard-Converse,24.0,CB,7,0.0,205.0,73,"Oklahoma St.,LSU",4/29/2000,1,0.0,New York Jets,New York Jets,6.0,204.0,2023.0
Anders Carlson,26.0,K,5,0.0,219.0,77,Auburn,6/16/1998,1,1.0,New York Jets,Green Bay Packers,6.0,207.0,2023.0
Michael Carter II,25.0,CB,13,1.0,184.0,70,Duke,3/8/1999,3,1.0,New York Jets,New York Jets,5.0,154.0,2021.0
Irvin Charles,27.0,WR,13,0.0,219.0,76,"Penn St.,Indiana (PA)",4/13/1997,1,0.0,New York Jets,,,,
Chuck Clark,29.0,SS,12,12.0,209.0,72,Virginia Tech,4/19/1995,7,4.0,New York Jets,Baltimore Ravens,6.0,186.0,2017.0
Micheal Clemons,27.0,LOLB,17,17.0,263.0,77,"Cisco (TX),Texas A&M",8/21/1997,2,7.0,New York Jets,New York Jets,4.0,117.0,2022.0
Tyler Conklin,29.0,TE,16,15.0,248.0,75,Central Michigan,7/30/1995,6,4.0,New York Jets,Minnesota Vikings,5.0,157.0,2018.0
Malachi Corley,22.0,WR,9,1.0,215.0,71,Western Kentucky,3/21/2002,0,0.0,New York Jets,New York Jets,3.0,65.0,2024.0
Ashtyn Davis,28.0,S,15,1.0,202.0,73,California,10/10/1996,4,2.0,New York Jets,New York Jets,3.0,68.0,2020.0
Isaiah Davis,22.0,RB,17,0.0,220.0,73,South Dakota St.,2/21/2002,0,2.0,New York Jets,New York Jets,5.0,173.0,2024.0
Brandin Echols,27.0,CB,16,4.0,179.0,70,"Northwest Mississippi CC,Kentucky",10/16/1997,3,3.0,New York Jets,New York Jets,6.0,200.0,2021.0
Samuel Eguavoen,31.0,LB,17,1.0,236.0,73,Texas Tech,2/22/1993,5,2.0,New York Jets,,,,
Olumuyiwa Fashanu,22.0,OL,15,7.0,312.0,78,Penn St.,12/9/2002,0,4.0,New York Jets,New York Jets,1.0,11.0,2024.0
Anthony Firkser,29.0,TE,4,0.0,241.0,74,Harvard,2/19/1995,6,0.0,New York Jets,,,,
Leki Fotu,26.0,DT,2,1.0,335.0,77,Utah,8/23/1998,4,0.0,New York Jets,Arizona Cardinals,4.0,114.0,2020.0
Sauce Gardner,24.0,LCB,15,15.0,190.0,75,Cincinnati,8/31/2000,2,5.0,New York Jets,New York Jets,1.0,4.0,2022.0
Xavier Gipson,23.0,WR,17,0.0,189.0,69,S.F. Austin,3/8/2001,1,0.0,New York Jets,,,,
Breece Hall,23.0,RB,16,16.0,217.0,71,Iowa St.,5/31/2001,2,9.0,New York Jets,New York Jets,2.0,36.0,2022.0
Jake Hanson,27.0,OL,12,2.0,303.0,76,Oregon,4/29/1997,3,2.0,New York Jets,Green Bay Packers,6.0,208.0,2020.0
Bruce Hector,30.0,DL,6,0.0,296.0,74,South Florida,10/7/1994,6,0.0,New York Jets,,,,
Thomas Hennessy,30.0,LS,17,0.0,246.0,74,Duke,6/11/1994,7,1.0,New York Jets,,,,
Jalyn Holmes,28.0,DL,5,0.0,283.0,77,Ohio St.,1/25/1996,6,0.0,New York Jets,Minnesota Vikings,4.0,102.0,2018.0
Jermaine Johnson II,25.0,LB,2,2.0,254.0,77,"Independence (KS),Georgia,Florida St.",1/7/1999,2,1.0,New York Jets,New York Jets,1.0,26.0,2022.0
Greg Joseph,30.0,K,1,0.0,206.0,72,Florida Atlantic,8/4/1994,6,0.0,New York Jets,,,,
Javon Kinlaw,27.0,RDT,17,17.0,319.0,77,South Carolina,10/3/1997,4,8.0,New York Jets,San Francisco 49ers,1.0,14.0,2020.0
Zack Kuntz,25.0,TE,1,0.0,251.0,80,"Penn St.,Old Dominion",6/6/1999,1,0.0,New York Jets,New York Jets,7.0,220.0,2023.0
Allen Lazard,29.0,WR,12,10.0,227.0,77,Iowa St.,12/11/1995,6,5.0,New York Jets,,,,
Alec Lindstrom,26.0,C,1,0.0,300.0,75,Boston Col.,7/7/1998,1,0.0,New York Jets,,,,
Marcelino McCrary-Ball,25.0,LB,12,0.0,214.0,72,Indiana,3/23/1999,1,1.0,New York Jets,,,,
Will McDonald,25.0,LDE,17,15.0,236.0,76,Iowa St.,6/4/1999,1,7.0,New York Jets,New York Jets,1.0,15.0,2023.0
Connor McGovern,31.0,C,1,0.0,306.0,76,Missouri,4/27/1993,7,0.0,New York Jets,Denver Broncos,5.0,144.0,2016.0
Braiden McGregor,23.0,DE,7,0.0,267.0,78,Michigan,7/12/2001,0,0.0,New York Jets,,,,
Takkarist McKinley,29.0,DL,7,0.0,250.0,74,UCLA,11/2/1995,7,1.0,New York Jets,Atlanta Falcons,1.0,26.0,2017.0
Jalen Mills,30.0,S,9,8.0,200.0,72,LSU,4/6/1994,8,3.0,New York Jets,Philadelphia Eagles,7.0,233.0,2016.0
Max Mitchell,25.0,OL,10,2.0,307.0,78,Louisiana,10/12/1999,2,1.0,New York Jets,New York Jets,4.0,111.0,2022.0
Jarius Monroe,24.0,S,5,0.0,205.0,74,"Nicholls St.,Tulane",10/6/2000,0,0.0,New York Jets,,,,
Thomas Morstead,38.0,P,17,0.0,225.0,76,SMU,3/8/1986,15,3.0,New York Jets,New Orleans Saints,5.0,164.0,2009.0
Morgan Moses,33.0,RT,14,14.0,318.0,78,Virginia,3/3/1991,10,6.0,New York Jets,Washington Redskins,3.0,66.0,2014.0
C.J. Mosley,32.0,LB,4,3.0,231.0,74,Alabama,6/19/1992,10,1.0,New York Jets,Baltimore Ravens,1.0,17.0,2014.0
Xavier Newman-Johnson,25.0,OL,9,0.0,297.0,74,Baylor,8/4/1999,2,1.0,New York Jets,,,,
Kene Nwangwu,26.0,RB,2,0.0,210.0,73,Iowa St.,2/9/1998,3,1.0,New York Jets,Minnesota Vikings,4.0,119.0,2021.0
Isaiah Oliver,28.0,CB,17,7.0,202.0,72,Colorado,9/30/1996,6,3.0,New York Jets,Atlanta Falcons,2.0,58.0,2018.0
Riley Patterson,25.0,K,1,0.0,190.0,72,Memphis,9/7/1999,3,0.0,New York Jets,,,,
Haason Reddick,30.0,LB,10,2.0,240.0,73,Temple,9/22/1994,7,1.0,New York Jets,Arizona Cardinals,1.0,13.0,2017.0
D.J. Reed,28.0,RCB,14,14.0,188.0,69,Kansas St.,11/11/1996,6,5.0,New York Jets,San Francisco 49ers,5.0,142.0,2018.0
Aaron Rodgers,41.0,QB,17,17.0,223.0,74,"Butte JC (CA),California",12/2/1983,19,12.0,New York Jets,Green Bay Packers,1.0,24.0,2005.0
Jeremy Ruckert,24.0,TE,17,9.0,250.0,77,Ohio St.,8/11/2000,2,1.0,New York Jets,New York Jets,3.0,101.0,2022.0
Wes Schweitzer,31.0,OL,4,0.0,300.0,76,San Jose St.,9/11/1993,7,0.0,New York Jets,Atlanta Falcons,6.0,195.0,2016.0
Kendall Sheffield,28.0,CB,6,0.0,212.0,70,Ohio St.,5/30/1996,5,0.0,New York Jets,Atlanta Falcons,4.0,111.0,2019.0
Jamien Sherwood,24.0,RILB,17,16.0,216.0,74,Auburn,1/12/2000,3,7.0,New York Jets,New York Jets,5.0,146.0,2021.0
Spencer Shrader,25.0,K,1,0.0,201.0,74,"South Florida,Notre Dame",5/19/1999,0,0.0,New York Jets,,,,
John Simpson,27.0,LG,17,17.0,330.0,76,Clemson,8/19/1997,4,7.0,New York Jets,Las Vegas Raiders,4.0,109.0,2020.0
Brandon Smith,26.0,WR,1,0.0,220.0,74,Iowa,12/10/1998,1,0.0,New York Jets,,,,
Tyron Smith,34.0,LT,10,10.0,320.0,77,USC,12/12/1990,13,4.0,New York Jets,Dallas Cowboys,1.0,9.0,2011.0
Qwan'tez Stiggers,22.0,CB,14,1.0,197.0,72,,1/8/2002,1,1.0,New York Jets,New York Jets,5.0,176.0,2024.0
Chazz Surratt,27.0,ROLB,17,5.0,233.0,74,North Carolina,2/16/1997,3,3.0,New York Jets,Minnesota Vikings,3.0,78.0,2021.0
Tre Swilling,25.0,DB,1,0.0,196.0,72,Georgia Tech,3/26/1999,1,0.0,New York Jets,,,,
Leonard Taylor,25.0,DL,14,0.0,305.0,75,Miami (FL),8/26/1999,0,1.0,New York Jets,,,,
Tyrod Taylor,35.0,QB,2,0.0,217.0,73,Virginia Tech,8/3/1989,13,0.0,New York Jets,Baltimore Ravens,6.0,180.0,2011.0
Solomon Thomas,29.0,DL,16,1.0,295.0,75,Stanford,12/20/1995,7,2.0,New York Jets,San Francisco 49ers,1.0,3.0,2017.0
Joe Tippmann,23.0,C,17,17.0,313.0,78,Wisconsin,3/24/2001,1,7.0,New York Jets,New York Jets,2.0,43.0,2023.0
Alijah Vera-Tucker,25.0,RG,15,15.0,308.0,77,USC,6/17/1999,3,7.0,New York Jets,New York Jets,1.0,14.0,2021.0
Carter Warren,25.0,T,6,1.0,311.0,77,Pittsburgh,1/19/1999,1,1.0,New York Jets,New York Jets,4.0,120.0,2023.0
Eric Watts,24.0,DL,14,0.0,277.0,77,Connecticut,10/1/2000,0,1.0,New York Jets,,,,
Mike Williams,30.0,WR,9,3.0,218.0,76,Clemson,10/4/1994,7,1.0,New York Jets,Los Angeles Chargers,1.0,7.0,2017.0
Quincy Williams,28.0,LILB,17,17.0,230.0,71,Murray St.,8/28/1996,5,8.0,New York Jets,Jacksonville Jaguars,3.0,98.0,2019.0
