Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Adetomiwa Adebawore,23.0,DT,16,0.0,282.0,74,Northwestern,3/4/2001,1,1.0,Indianapolis Colts,Indianapolis Colts,4.0,110.0,2023.0
Mo Alie-Cox,31.0,TE,17,13.0,267.0,77,Virginia Commonwealth,9/19/1993,6,1.0,Indianapolis Colts,,,,
Liam Anderson,24.0,LB,3,0.0,226.0,75,Holy Cross,4/30/2000,1,0.0,Indianapolis Colts,,,,
Genard Avery,29.0,DE,1,0.0,250.0,72,Memphis,4/26/1995,6,0.0,Indianapolis Colts,Cleveland Browns,5.0,150.0,2018.0
Julian Blackmon,26.0,FS,16,16.0,202.0,72,Utah,8/24/1998,4,6.0,Indianapolis Colts,Indianapolis Colts,3.0,85.0,2020.0
Tanor Bortolini,22.0,G,12,5.0,303.0,76,Wisconsin,6/18/2002,0,2.0,Indianapolis Colts,Indianapolis Colts,4.0,117.0,2024.0
Julius Brents,24.0,CB,2,1.0,198.0,75,"Iowa,Kansas St.",1/18/2000,1,0.0,Indianapolis Colts,Indianapolis Colts,2.0,44.0,2023.0
Taven Bryan,28.0,DT,17,6.0,291.0,76,Florida,3/11/1996,6,4.0,Indianapolis Colts,Jacksonville Jaguars,1.0,29.0,2018.0
DeForest Buckner,30.0,DT,12,11.0,295.0,79,Oregon,3/17/1994,8,5.0,Indianapolis Colts,San Francisco 49ers,1.0,7.0,2016.0
Jaylon Carlies,23.0,LB,10,6.0,227.0,75,Missouri,9/13/2001,0,3.0,Indianapolis Colts,Indianapolis Colts,5.0,151.0,2024.0
Nick Cross,23.0,SS,17,17.0,212.0,72,Maryland,9/10/2001,2,6.0,Indianapolis Colts,Indianapolis Colts,3.0,96.0,2022.0
Raekwon Davis,27.0,DT,17,0.0,325.0,79,Alabama,8/21/1997,4,1.0,Indianapolis Colts,Miami Dolphins,2.0,56.0,2020.0
Trevor Denbow,26.0,S,8,0.0,208.0,70,"Navarro,SMU",8/26/1998,2,0.0,Indianapolis Colts,,,,
Josh Downs,23.0,WR,14,8.0,171.0,69,North Carolina,8/12/2001,1,7.0,Indianapolis Colts,Indianapolis Colts,3.0,79.0,2023.0
Ashton Dulin,27.0,WR,15,2.0,215.0,74,Malone,5/15/1997,5,1.0,Indianapolis Colts,,,,
Joe Flacco,39.0,QB,8,6.0,230.0,78,"Pittsburgh,Delaware",1/16/1985,16,5.0,Indianapolis Colts,Baltimore Ravens,1.0,18.0,2008.0
Dallis Flowers,27.0,CB,4,0.0,196.0,73,"Grand View,Pittsburg St.",6/4/1997,2,0.0,Indianapolis Colts,,,,
