Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Ameer Abdullah,31.0,RB,16,3.0,203.0,69,Nebraska,6/13/1993,9,4.0,Las Vegas Raiders,Detroit Lions,2.0,54.0,2015.0
Davante Adams,32.0,WR,3,3.0,215.0,73,Fresno St.,12/24/1992,10,2.0,Las Vegas Raiders,Green Bay Packers,2.0,53.0,2014.0
Alex Bachman,28.0,WR,6,1.0,190.0,72,Wake Forest,5/29/1996,4,0.0,Las Vegas Raiders,,,,
Jakorian Bennett,24.0,CB,10,7.0,195.0,71,"Hutchinson (KS),Maryland",8/23/2000,1,3.0,Las Vegas Raiders,Las Vegas Raiders,4.0,104.0,2023.0
Jacob Bobenmoyer,27.0,LS,17,0.0,235.0,74,Northern Colorado,5/28/1997,4,1.0,Las Vegas Raiders,,,,
Brock Bowers,22.0,TE,17,16.0,230.0,76,Georgia,12/13/2002,0,9.0,Las Vegas Raiders,Las Vegas Raiders,1.0,13.0,2024.0
Harrison Bryant,26.0,TE,13,3.0,230.0,77,Florida Atlantic,4/23/1998,4,1.0,Las Vegas Raiders,Cleveland Browns,4.0,115.0,2020.0
Amari Burney,24.0,LB,17,0.0,228.0,74,Florida,6/12/2000,1,1.0,Las Vegas Raiders,Las Vegas Raiders,6.0,203.0,2023.0
Adam Butler,30.0,RDT,17,16.0,300.0,77,Vanderbilt,4/12/1994,7,7.0,Las Vegas Raiders,,,,
Matthew Butler,25.0,DT,7,1.0,290.0,75,Tennessee,6/10/1999,2,1.0,Las Vegas Raiders,Las Vegas Raiders,5.0,175.0,2022.0
Daniel Carlson,29.0,K,17,0.0,215.0,77,Auburn,1/23/1995,6,3.0,Las Vegas Raiders,Minnesota Vikings,5.0,167.0,2018.0
Andre Carter II,24.0,DE,3,0.0,256.0,78,Army,6/2/2000,1,0.0,Las Vegas Raiders,,,,
Zachary Carter,25.0,DT,8,0.0,290.0,76,Florida,4/7/1999,2,1.0,Las Vegas Raiders,Cincinnati Bengals,3.0,95.0,2022.0
K'Lavon Chaisson,25.0,DE,15,4.0,254.0,75,LSU,7/25/1999,4,3.0,Las Vegas Raiders,Jacksonville Jaguars,1.0,20.0,2020.0
AJ Cole III,29.0,P,17,0.0,220.0,76,North Carolina St.,11/27/1995,5,4.0,Las Vegas Raiders,,,,
Chris Collier,24.0,RB,3,0.0,210.0,71,"Nassau CC,Wagner,Lock Haven",3/24/2000,0,0.0,Las Vegas Raiders,,,,
Maxx Crosby,27.0,RDE,12,12.0,255.0,77,Eastern Michigan,8/22/1997,5,9.0,Las Vegas Raiders,Oakland Raiders,4.0,106.0,2019.0
Divine Deablo,26.0,LLB,14,14.0,223.0,75,Virginia Tech,8/17/1998,3,6.0,Las Vegas Raiders,Las Vegas Raiders,3.0,80.0,2021.0
Tommy Eichenberg,23.0,LB,14,1.0,239.0,74,Ohio St.,1/11/2001,0,1.0,Las Vegas Raiders,Las Vegas Raiders,5.0,148.0,2024.0
Marcus Epps,28.0,S,3,3.0,191.0,72,Wyoming,1/27/1996,5,1.0,Las Vegas Raiders,Minnesota Vikings,6.0,191.0,2019.0
