Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Amare Barno,25.0,OLB,5,0.0,245.0,78,"Butler (KS),Virginia Tech",4/26/1999,2,0.0,Carolina Panthers,Carolina Panthers,6.0,189.0,2022.0
Shemar Bartholomew,24.0,CB,5,0.0,200.0,73,"Northwestern St. (LA),Georgia Southern",6/6/2000,0,0.0,Carolina Panthers,,,,
Raheem Blackshear,25.0,RB,16,1.0,190.0,69,"Rutgers,Virginia Tech",6/5/1999,2,1.0,Carolina Panthers,,,,
Mike Boone,29.0,RB,6,0.0,206.0,70,Cincinnati,6/30/1995,6,0.0,Carolina Panthers,,,,
Jonathon Brooks,21.0,RB,3,1.0,207.0,72,Texas,7/21/2003,0,0.0,Carolina Panthers,Carolina Panthers,2.0,46.0,2024.0
Derrick Brown,26.0,DE,1,1.0,320.0,77,Auburn,4/15/1998,4,0.0,Carolina Panthers,Carolina Panthers,1.0,7.0,2020.0
Tariq Castro-Fields,25.0,CB,2,0.0,197.0,73,Penn St.,1/14/1999,2,0.0,Carolina Panthers,San Francisco 49ers,6.0,221.0,2022.0
Claudin Cherelus,26.0,LB,13,2.0,230.0,74,"Massachusetts,Alcorn St.",12/29/1998,1,1.0,Carolina Panthers,,,,
Dan Chisena,27.0,WR,6,0.0,203.0,75,Penn St.,2/25/1997,4,0.0,Carolina Panthers,,,,
Brady Christensen,28.0,G,17,6.0,300.0,78,BYU,9/27/1996,3,3.0,Carolina Panthers,Carolina Panthers,3.0,70.0,2021.0
Jadeveon Clowney,31.0,ROLB,14,14.0,266.0,77,South Carolina,2/14/1993,10,5.0,Carolina Panthers,Houston Texans,1.0,1.0,2014.0
Jalen Coker,23.0,WR,11,4.0,213.0,75,Holy Cross,10/30/2001,0,4.0,Carolina Panthers,,,,
Austin Corbett,29.0,C,5,5.0,305.0,76,Nevada,9/5/1995,6,2.0,Carolina Panthers,Cleveland Browns,2.0,33.0,2018.0
Jaden Crumedy,24.0,DT,5,0.0,309.0,76,Mississippi St.,7/30/2000,0,0.0,Carolina Panthers,Carolina Panthers,6.0,200.0,2024.0
Andy Dalton,37.0,QB,6,5.0,220.0,74,TCU,10/29/1987,13,1.0,Carolina Panthers,Cincinnati Bengals,2.0,35.0,2011.0
Kenny Dyson,23.0,OLB,2,0.0,235.0,75,Bryant,6/27/2001,0,0.0,Carolina Panthers,,,,
Ikem Ekwonu,24.0,LT,15,15.0,320.0,76,North Carolina St.,10/31/2000,2,7.0,Carolina Panthers,Carolina Panthers,1.0,6.0,2022.0
Akayleb Evans,25.0,CB,2,1.0,198.0,74,"Tulsa,Missouri",6/22/1999,2,0.0,Carolina Panthers,Minnesota Vikings,4.0,118.0,2022.0
Caleb Farley,26.0,CB,9,1.0,197.0,74,Virginia Tech,11/2/1998,3,1.0,Carolina Panthers,Tennessee Titans,1.0,22.0,2021.0
Sam Franklin,28.0,S,10,0.0,210.0,75,Temple,2/2/1996,4,0.0,Carolina Panthers,,,,
Feleipe Franks,27.0,TE,16,0.0,228.0,78,"Florida,Arkansas",12/22/1997,3,0.0,Carolina Panthers,,,,
Jordan Fuller,26.0,SS,9,9.0,203.0,74,Ohio St.,3/4/1998,4,2.0,Carolina Panthers,Los Angeles Rams,6.0,199.0,2020.0
Cam Gill,27.0,OLB,10,0.0,240.0,75,Wagner,12/14/1997,4,1.0,Carolina Panthers,,,,
Charles Harris,29.0,OLB,9,6.0,250.0,75,Missouri,3/6/1995,7,2.0,Carolina Panthers,Miami Dolphins,1.0,22.0,2017.0
Jonathan Harris,28.0,DE,7,0.0,295.0,77,Lindenwood,8/4/1996,5,1.0,Carolina Panthers,,,,
Marquis Haynes,31.0,OLB,2,1.0,235.0,74,Mississippi,12/16/1993,6,0.0,Carolina Panthers,Carolina Panthers,4.0,136.0,2018.0
Johnny Hekker,34.0,P,17,0.0,225.0,77,Oregon St.,2/8/1990,12,3.0,Carolina Panthers,,,,
Troy Hill,33.0,CB,6,2.0,182.0,70,Oregon,8/29/1991,9,1.0,Carolina Panthers,,,,
Jaycee Horn,25.0,LCB,15,15.0,200.0,73,South Carolina,11/26/1999,3,6.0,Carolina Panthers,Carolina Panthers,1.0,8.0,2021.0
Chuba Hubbard,25.0,RB,15,15.0,210.0,73,Oklahoma St.,6/11/1999,3,9.0,Carolina Panthers,Carolina Panthers,4.0,126.0,2021.0
Robert Hunt,28.0,RG,16,16.0,323.0,78,Louisiana,8/25/1996,4,8.0,Carolina Panthers,Miami Dolphins,2.0,39.0,2020.0
Thomas Incoom,25.0,OLB,8,0.0,265.0,74,"Valdosta St.,Central Michigan",2/19/1999,1,0.0,Carolina Panthers,,,,
Dane Jackson,28.0,CB,9,3.0,180.0,71,Pittsburgh,11/29/1996,4,1.0,Carolina Panthers,Buffalo Bills,7.0,239.0,2020.0
Michael Jackson,27.0,RCB,17,17.0,210.0,73,Miami (FL),1/10/1997,5,5.0,Carolina Panthers,Dallas Cowboys,5.0,158.0,2019.0
Tarron Jackson,26.0,OLB,3,0.0,254.0,74,Coastal Carolina,6/22/1998,3,0.0,Carolina Panthers,Philadelphia Eagles,6.0,191.0,2021.0
J.J. Jansen,38.0,LS,17,0.0,235.0,74,Notre Dame,1/20/1986,15,1.0,Carolina Panthers,,,,
Josey Jewell,30.0,RILB,12,12.0,236.0,73,Iowa,12/25/1994,6,5.0,Carolina Panthers,Denver Broncos,4.0,106.0,2018.0
Diontae Johnson,28.0,WR,7,7.0,183.0,70,Toledo,7/5/1996,5,3.0,Carolina Panthers,Pittsburgh Steelers,3.0,66.0,2019.0
DJ Johnson,26.0,OLB,14,2.0,260.0,76,"Miami (FL),Oregon",10/21/1998,1,1.0,Carolina Panthers,Carolina Panthers,3.0,80.0,2023.0
Lonnie Johnson Jr.,29.0,S,15,1.0,213.0,74,"Garden City (KS),Kentucky",11/4/1995,5,1.0,Carolina Panthers,Houston Texans,2.0,54.0,2019.0
Velus Jones Jr.,27.0,WR,2,0.0,200.0,72,"USC,Tennessee",5/11/1997,2,0.0,Carolina Panthers,Chicago Bears,3.0,71.0,2022.0
Jarrett Kingston,25.0,OG,7,0.0,305.0,76,"Washington St.,USC",12/2/1999,0,0.0,Carolina Panthers,San Francisco 49ers,6.0,215.0,2024.0
Shaq Lawson,30.0,OLB,1,0.0,265.0,75,Clemson,6/17/1994,8,0.0,Carolina Panthers,Buffalo Bills,1.0,19.0,2016.0
Xavier Legette,23.0,WR,16,13.0,227.0,75,South Carolina,1/29/2001,0,5.0,Carolina Panthers,Carolina Panthers,1.0,32.0,2024.0
Eku Leota,25.0,OLB,2,1.0,252.0,75,"Northwestern,Auburn",5/11/1999,1,0.0,Carolina Panthers,,,,
Damien Lewis,27.0,LG,16,16.0,327.0,74,LSU,3/21/1997,4,6.0,Carolina Panthers,Seattle Seahawks,3.0,69.0,2020.0
Jordan Matthews,32.0,TE,4,1.0,212.0,75,Vanderbilt,7/16/1992,10,0.0,Carolina Panthers,Philadelphia Eagles,2.0,42.0,2014.0
Cade Mays,25.0,C,11,8.0,325.0,78,"Georgia,Tennessee",4/26/1999,2,3.0,Carolina Panthers,Carolina Panthers,6.0,199.0,2022.0
Jonathan Mingo,23.0,WR,9,5.0,220.0,74,Mississippi,4/20/2001,1,1.0,Carolina Panthers,Carolina Panthers,2.0,39.0,2023.0
David Moore,29.0,WR,17,5.0,220.0,72,East Central (OK),1/15/1995,7,3.0,Carolina Panthers,Seattle Seahawks,7.0,226.0,2017.0
Taylor Moton,30.0,RT,14,14.0,325.0,77,Western Michigan,8/18/1994,7,7.0,Carolina Panthers,Carolina Panthers,2.0,64.0,2017.0
Yosh Nijman,28.0,T,16,3.0,314.0,79,Virginia Tech,1/2/1996,4,2.0,Carolina Panthers,,,,
Jayden Peevy,25.0,DT,4,0.0,308.0,77,Texas A&M,9/3/1999,2,0.0,Carolina Panthers,,,,
Eddy Piñeiro,29.0,K,17,0.0,190.0,71,"ASA College (FL),Florida",9/13/1995,5,3.0,Carolina Panthers,,,,
Shaquille Quarterman,27.0,LB,1,0.0,234.0,72,Miami (FL),10/28/1997,4,0.0,Carolina Panthers,Jacksonville Jaguars,4.0,140.0,2020.0
LaBryan Ray,27.0,LDE,16,9.0,290.0,76,Alabama,12/5/1997,1,3.0,Carolina Panthers,,,,
Andrew Raym,23.0,C,1,0.0,327.0,76,Oklahoma,5/2/2001,0,0.0,Carolina Panthers,,,,
Jon Rhattigan,25.0,LB,16,0.0,236.0,72,Army,2/2/1999,3,1.0,Carolina Panthers,,,,
Demani Richardson,24.0,S,14,5.0,215.0,73,Texas A&M,10/7/2000,0,2.0,Carolina Panthers,,,,
Sam Roberts,26.0,DT,3,0.0,300.0,77,NW Missouri St.,4/14/1998,2,0.0,Carolina Panthers,New England Patriots,6.0,200.0,2022.0
A'Shawn Robinson,29.0,RDE,16,16.0,320.0,75,Alabama,3/21/1995,8,5.0,Carolina Panthers,Detroit Lions,2.0,46.0,2016.0
Jammie Robinson,23.0,S,6,0.0,190.0,71,"South Carolina,Florida St.",1/24/2001,1,0.0,Carolina Panthers,Carolina Panthers,5.0,145.0,2023.0
Ja'Tavion Sanders,21.0,TE,16,8.0,252.0,76,Texas,3/27/2003,0,3.0,Carolina Panthers,Carolina Panthers,4.0,101.0,2024.0
Miles Sanders,27.0,RB,11,2.0,210.0,71,Penn St.,5/1/1997,5,3.0,Carolina Panthers,Philadelphia Eagles,2.0,53.0,2019.0
Nick Scott,29.0,S,10,4.0,200.0,71,Penn St.,5/17/1995,5,1.0,Carolina Panthers,Los Angeles Rams,7.0,243.0,2019.0
Jamie Sheriff,24.0,DE,1,0.0,265.0,74,"Mississippi Gulf Coast CC,South Alabama",8/18/2000,0,0.0,Carolina Panthers,,,,
T.J. Smith,27.0,DT,3,0.0,300.0,75,Arkansas,4/19/1997,3,0.0,Carolina Panthers,,,,
Chau Smith-Wade,22.0,CB,14,4.0,176.0,71,Washington St.,9/17/2002,0,2.0,Carolina Panthers,Carolina Panthers,5.0,157.0,2024.0
Stephen Sullivan,28.0,TE,1,0.0,245.0,77,LSU,11/28/1996,4,0.0,Carolina Panthers,Seattle Seahawks,7.0,251.0,2020.0
Adam Thielen,34.0,WR,10,10.0,195.0,74,Minnesota St.,8/22/1990,10,6.0,Carolina Panthers,,,,
Ian Thomas,28.0,TE,5,2.0,260.0,76,Indiana,6/6/1996,6,0.0,Carolina Panthers,Carolina Panthers,4.0,101.0,2018.0
Deven Thompkins,25.0,WR,7,0.0,155.0,68,Utah St.,12/23/1999,2,0.0,Carolina Panthers,,,,
Shaq Thompson,30.0,LB,4,4.0,230.0,72,Washington,4/21/1994,9,1.0,Carolina Panthers,Carolina Panthers,1.0,25.0,2015.0
Nick Thurman,29.0,DT,9,4.0,305.0,76,Houston,6/12/1995,4,2.0,Carolina Panthers,,,,
Tommy Tremble,24.0,TE,12,11.0,250.0,76,Notre Dame,6/2/2000,3,2.0,Carolina Panthers,Carolina Panthers,3.0,83.0,2021.0
Shy Tuttle,29.0,NT,15,15.0,300.0,75,Tennessee,10/20/1995,5,5.0,Carolina Panthers,,,,
Trevin Wallace,21.0,LILB,13,8.0,244.0,73,Kentucky,2/22/2003,0,3.0,Carolina Panthers,Carolina Panthers,3.0,72.0,2024.0
Brandon Walton,26.0,OT,1,0.0,300.0,77,Florida Atlantic,3/18/1998,2,0.0,Carolina Panthers,,,,
DeShawn Williams,32.0,DT,12,1.0,295.0,73,Clemson,12/29/1992,8,1.0,Carolina Panthers,,,,
Jacoby Windmon,23.0,LB,8,2.0,250.0,74,"UNLV,Michigan St.",8/20/2001,0,1.0,Carolina Panthers,,,,
D.J. Wonnum,27.0,LOLB,8,8.0,258.0,77,South Carolina,10/31/1997,4,3.0,Carolina Panthers,Minnesota Vikings,4.0,117.0,2020.0
Xavier Woods,29.0,FS,17,17.0,200.0,71,Louisiana Tech,7/26/1995,7,5.0,Carolina Panthers,Dallas Cowboys,6.0,191.0,2017.0
Chandler Wooten,25.0,LB,5,2.0,230.0,75,Auburn,4/25/1999,2,1.0,Carolina Panthers,,,,
Russ Yeast,25.0,S,2,0.0,191.0,70,"Louisville,Kansas St.",5/8/1999,2,0.0,Carolina Panthers,Los Angeles Rams,7.0,253.0,2022.0
Bryce Young,23.0,QB,14,12.0,204.0,70,Alabama,7/25/2001,1,8.0,Carolina Panthers,Carolina Panthers,1.0,1.0,2023.0
Chandler Zavala,25.0,G,17,2.0,322.0,75,"Fairmont St.,North Carolina St.",4/2/1999,1,2.0,Carolina Panthers,Carolina Panthers,4.0,114.0,2023.0
