Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Jamal Adams,29.0,SS,3,1.0,213.0,73,LSU,10/17/1995,7,0.0,Tennessee Titans,New York Jets,1.0,6.0,2017.0
Abdullah Anderson,28.0,DL,4,0.0,295.0,76,Bucknell,1/24/1996,5,0.0,Tennessee Titans,,,,
Tre Avery,27.0,CB,9,0.0,185.0,71,"Toledo,Rutgers",2/26/1997,2,1.0,Tennessee Titans,,,,
Chidobe Awuzie,29.0,CB,8,7.0,202.0,72,Colorado,5/24/1995,7,3.0,Tennessee Titans,Dallas Cowboys,2.0,60.0,2017.0
Darrell Baker,26.0,RCB,17,9.0,190.0,73,Georgia Southern,3/27/1998,2,4.0,Tennessee Titans,,,,
Jerome Baker,28.0,LB,5,3.0,232.0,74,Ohio St.,12/25/1996,6,1.0,Tennessee Titans,Miami Dolphins,3.0,73.0,2018.0
Tyler Boyd,30.0,WR,16,8.0,203.0,74,Pittsburgh,11/15/1994,8,3.0,Tennessee Titans,Cincinnati Bengals,2.0,55.0,2016.0
Chandler Brewer,27.0,OT,1,0.0,320.0,78,Middle Tenn. St.,6/12/1997,5,0.0,Tennessee Titans,,,,
Kendell Brooks,24.0,S,5,0.0,206.0,72,"North Greenville,Michigan St.",3/3/2000,1,0.0,Tennessee Titans,,,,
Mike Brown,25.0,S,17,4.0,218.0,73,Miami (OH),4/7/1999,2,2.0,Tennessee Titans,,,,
Jarvis Brownlee,23.0,LCB,17,14.0,194.0,70,"Florida St.,Louisville",7/13/2001,0,5.0,Tennessee Titans,Tennessee Titans,5.0,146.0,2024.0
Daniel Brunskill,30.0,C,17,10.0,300.0,77,San Diego St.,1/27/1994,5,4.0,Tennessee Titans,,,,
Logan Bruss,26.0,OG,3,0.0,317.0,77,Wisconsin,10/6/1998,1,0.0,Tennessee Titans,Los Angeles Rams,3.0,104.0,2022.0
Treylon Burks,24.0,WR,5,2.0,225.0,74,Arkansas,3/23/2000,2,0.0,Tennessee Titans,Tennessee Titans,1.0,18.0,2022.0
Julius Chestnut,24.0,RB,17,0.0,228.0,71,Sacred Heart,10/26/2000,2,1.0,Tennessee Titans,,,,
Keondre Coburn,24.0,DL,15,1.0,332.0,74,Texas,5/23/2000,1,1.0,Tennessee Titans,Kansas City Chiefs,6.0,194.0,2023.0
Morgan Cox,38.0,LS,17,0.0,233.0,76,Tennessee,4/26/1986,14,1.0,Tennessee Titans,,,,
Lloyd Cushenberry III,27.0,C,8,8.0,315.0,76,LSU,11/22/1997,4,3.0,Tennessee Titans,Denver Broncos,3.0,83.0,2020.0
Quandre Diggs,31.0,SS,8,8.0,197.0,69,Texas,1/22/1993,9,3.0,Tennessee Titans,Detroit Lions,6.0,200.0,2015.0
Khalid Duke,23.0,OLB,2,0.0,246.0,75,Kansas St.,2/27/2001,0,0.0,Tennessee Titans,,,,
Jaelyn Duncan,24.0,OT,5,3.0,306.0,78,Maryland,7/8/2000,1,1.0,Tennessee Titans,Tennessee Titans,6.0,186.0,2023.0
Nick Folk,40.0,K,14,0.0,225.0,73,Arizona,11/5/1984,17,5.0,Tennessee Titans,Dallas Cowboys,6.0,178.0,2007.0
Ali Gaye,26.0,OLB,15,0.0,265.0,78,"Arizona Western,Garden City (KS),LSU",11/29/1998,1,1.0,Tennessee Titans,,,,
