Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Unnamed: 16_level_0,Player_URL
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards,
1.0,Saquon Barkley,27.0,PHI,RB,16.0,16.0,345.0,2005.0,82.0,1328.0,3.8,677.0,2.0,19.0,18.2,"PB,AP-1,AP MVP-3,AP OPoY-1,AP CPoY-14",
2.0,Derrick Henry,30.0,BAL,RB,17.0,17.0,325.0,1921.0,94.0,1012.0,3.1,909.0,2.8,42.0,7.7,"PB,AP-2,AP OPoY-4",
3.0,Kyren Williams,24.0,LAR,RB,16.0,16.0,316.0,1299.0,85.0,693.0,2.2,606.0,1.9,27.0,11.7,AP OPoY-11,
4.0,Bijan Robinson,22.0,ATL,RB,17.0,17.0,304.0,1456.0,82.0,728.0,2.4,728.0,2.4,23.0,13.2,PB,
5.0,Jonathan Taylor,25.0,IND,RB,14.0,13.0,303.0,1431.0,71.0,859.0,2.8,572.0,1.9,15.0,20.2,"PB,AP CPoY-19",
6.0,Josh Jacobs,26.0,GNB,RB,17.0,17.0,301.0,1329.0,73.0,592.0,2.0,737.0,2.4,35.0,8.6,"PB,AP OPoY-11",
7.0,Najee Harris,26.0,PIT,RB,17.0,17.0,263.0,1043.0,50.0,502.0,1.9,541.0,2.1,22.0,12.0,,
8.0,Tony Pollard,27.0,TEN,RB,16.0,16.0,260.0,1079.0,53.0,521.0,2.0,558.0,2.1,22.0,11.8,,
9.0,Aaron Jones,30.0,MIN,RB,17.0,17.0,255.0,1138.0,49.0,614.0,2.4,524.0,2.1,11.0,23.2,,
10.0,D'Andre Swift,25.0,CHI,RB,17.0,17.0,253.0,959.0,43.0,511.0,2.0,448.0,1.8,7.0,36.1,,
11.0,Jahmyr Gibbs,22.0,DET,RB,17.0,4.0,250.0,1412.0,70.0,813.0,3.3,599.0,2.4,21.0,11.9,"PB,AP OPoY-8",
12.0,Chuba Hubbard,25.0,CAR,RB,15.0,15.0,250.0,1195.0,62.0,656.0,2.6,539.0,2.2,14.0,17.9,,
13.0,Joe Mixon,28.0,HOU,RB,14.0,14.0,245.0,1016.0,52.0,549.0,2.2,467.0,1.9,19.0,12.9,PB,
14.0,James Conner,29.0,ARI,RB,16.0,16.0,236.0,1094.0,67.0,528.0,2.2,566.0,2.4,24.0,9.8,,
15.0,Rico Dowdle,26.0,DAL,RB,16.0,15.0,235.0,1079.0,53.0,570.0,2.4,509.0,2.2,11.0,21.4,,
16.0,Chase Brown,24.0,CIN,RB,16.0,10.0,229.0,990.0,49.0,599.0,2.6,391.0,1.7,23.0,10.0,,
17.0,Alvin Kamara,29.0,NOR,RB,14.0,14.0,228.0,950.0,52.0,548.0,2.4,402.0,1.8,13.0,17.5,,
18.0,Breece Hall,23.0,NYJ,RB,16.0,16.0,209.0,876.0,40.0,432.0,2.1,444.0,2.1,7.0,29.9,,
19.0,James Cook,25.0,BUF,RB,16.0,16.0,207.0,1009.0,48.0,530.0,2.6,479.0,2.3,14.0,14.8,PB,
