Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Mario Addison,35.0,DE,12,1.0,260.0,75,Troy,9/6/1987,11,1.0,Houston Texans,,,,
Jordan Akins,30.0,TE,15,3.0,245.0,76,Central Florida,4/19/1992,4,4.0,Houston Texans,Houston Texans,3.0,98.0,2018.0
Kyle Allen,26.0,QB,2,2.0,210.0,75,"Texas A&M,Houston",3/8/1996,4,1.0,Houston Texans,,,,
Grayland Arnold,25.0,CB,8,0.0,190.0,70,Baylor,9/4/1997,2,0.0,Houston Texans,,,,
Eno Benjamin,23.0,RB,2,0.0,207.0,69,Arizona St.,4/13/1999,1,0.0,Houston Texans,Arizona Cardinals,7.0,222.0,2020.0
Thomas Booker,23.0,DE,10,1.0,301.0,75,Stanford,11/11/1999,0,1.0,Houston Texans,Houston Texans,5.0,150.0,2022.0
Justin Britt,31.0,C,1,1.0,315.0,78,Missouri,5/29/1991,8,0.0,Houston Texans,Seattle Seahawks,2.0,64.0,2014.0
Pharaoh Brown,28.0,TE,3,3.0,260.0,77,Oregon,5/4/1994,5,1.0,Houston Texans,,,,
Rex Burkhead,32.0,RB,16,0.0,215.0,70,Nebraska,7/2/1990,9,2.0,Houston Texans,Cincinnati Bengals,6.0,190.0,2013.0
Jalen Camp,24.0,WR,2,0.0,220.0,74,Georgia Tech,7/10/1998,1,0.0,Houston Texans,Jacksonville Jaguars,6.0,209.0,2021.0
A.J. Cann,31.0,RG,16,16.0,315.0,75,South Carolina,10/3/1991,7,5.0,Houston Texans,Jacksonville Jaguars,3.0,67.0,2015.0
Blake Cashman,26.0,LB,16,1.0,235.0,73,Minnesota,5/10/1996,3,2.0,Houston Texans,New York Jets,5.0,157.0,2019.0
Maliek Collins,27.0,RDT,15,15.0,310.0,74,Nebraska,4/8/1995,6,7.0,Houston Texans,Dallas Cowboys,3.0,67.0,2016.0
Nico Collins,23.0,WR,10,7.0,222.0,76,Michigan,3/19/1999,1,4.0,Houston Texans,Houston Texans,3.0,89.0,2021.0
Chris Conley,30.0,WR,2,0.0,205.0,75,Georgia,10/25/1992,7,0.0,Houston Texans,Kansas City Chiefs,3.0,76.0,2015.0
Brandin Cooks,29.0,WR,13,13.0,193.0,70,Oregon St.,9/25/1993,8,5.0,Houston Texans,New Orleans Saints,1.0,20.0,2014.0
Austin Deculus,23.0,T,5,0.0,321.0,77,LSU,3/12/1999,0,0.0,Houston Texans,Houston Texans,6.0,205.0,2022.0
Phillip Dorsett,29.0,WR,15,4.0,185.0,70,Miami (FL),1/5/1993,7,2.0,Houston Texans,Indianapolis Colts,1.0,29.0,2015.0
Jeff Driskel,29.0,QB,7,2.0,231.0,76,"Florida,Louisiana Tech",4/23/1993,4,1.0,Houston Texans,San Francisco 49ers,6.0,207.0,2016.0
Michael Dwumfour,24.0,DT,7,0.0,296.0,73,"Michigan,Rutgers",1/1/1998,1,1.0,Houston Texans,,,,
Ka'imi Fairbairn,28.0,K,17,0.0,183.0,72,UCLA,1/29/1994,5,5.0,Houston Texans,,,,
Jacobi Francis,24.0,DB,5,0.0,193.0,71,Memphis,9/6/1998,0,0.0,Houston Texans,,,,
Royce Freeman,26.0,RB,4,1.0,238.0,72,Oregon,2/24/1996,4,1.0,Houston Texans,Denver Broncos,3.0,71.0,2018.0
Kenyon Green,21.0,LG,15,14.0,323.0,76,Texas A&M,3/15/2001,0,5.0,Houston Texans,Houston Texans,1.0,15.0,2022.0
Rasheem Green,25.0,RDE,16,5.0,279.0,76,USC,5/15/1997,4,3.0,Houston Texans,Seattle Seahawks,3.0,79.0,2018.0
