Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Nick Allegretti,26,G,17,3.0,320.0,76,Illinois,4/21/1996,3,3.0,Kansas City Chiefs,Kansas City Chiefs,7.0,216.0,2019.0
Ugo Amadi,25,DB,1,0.0,201.0,69,Oregon,5/16/1997,3,0.0,Kansas City Chiefs,Seattle Seahawks,4.0,132.0,2019.0
Matt Ammendola,26,K,2,0.0,195.0,69,Oklahoma St.,12/11/1996,1,0.0,Kansas City Chiefs,,,,
Zayne Anderson,25,LB,3,0.0,206.0,74,BYU,1/3/1997,1,0.0,Kansas City Chiefs,,,,
Blake Bell,31,TE,3,1.0,252.0,78,Oklahoma,8/7/1991,7,0.0,Kansas City Chiefs,San Francisco 49ers,4.0,117.0,2015.0
Nick Bolton,22,LLB,17,17.0,237.0,71,Missouri,3/10/2000,1,7.0,Kansas City Chiefs,Kansas City Chiefs,2.0,58.0,2021.0
Dicaprio Bootle,25,DB,4,0.0,195.0,70,Nebraska,9/17/1997,1,0.0,Kansas City Chiefs,,,,
Orlando Brown Jr.,26,LT,17,17.0,350.0,80,Oklahoma,5/2/1996,4,13.0,Kansas City Chiefs,Baltimore Ravens,3.0,83.0,2018.0
Michael Burton,30,RB,17,0.0,247.0,72,Rutgers,2/1/1992,7,0.0,Kansas City Chiefs,Detroit Lions,5.0,168.0,2015.0
Deon Bush,29,DB,16,0.0,200.0,72,Miami (FL),8/14/1993,6,1.0,Kansas City Chiefs,Chicago Bears,4.0,124.0,2016.0
Harrison Butker,27,K,13,0.0,205.0,76,Georgia Tech,7/14/1995,5,1.0,Kansas City Chiefs,Carolina Panthers,7.0,233.0,2017.0
Leo Chenal,22,RLB,17,8.0,250.0,75,Wisconsin,10/26/2000,0,4.0,Kansas City Chiefs,Kansas City Chiefs,3.0,103.0,2022.0
Geron Christian,26,T,10,0.0,302.0,77,Louisville,9/10/1996,4,1.0,Kansas City Chiefs,Washington Redskins,3.0,74.0,2018.0
Cole Christiansen,25,LB,1,0.0,230.0,73,Army,7/30/1997,2,0.0,Kansas City Chiefs,,,,
Frank Clark,29,RDE,15,15.0,272.0,75,Michigan,6/14/1993,7,6.0,Kansas City Chiefs,Seattle Seahawks,2.0,63.0,2015.0
Jack Cochrane,23,LB,15,0.0,236.0,75,South Dakota,2/9/1999,0,1.0,Kansas City Chiefs,,,,
Bryan Cook,23,S,16,1.0,206.0,73,"Howard,Cincinnati",9/7/1999,0,1.0,Kansas City Chiefs,Kansas City Chiefs,2.0,62.0,2022.0
Michael Danna,25,DE,13,0.0,257.0,74,"Central Michigan,Michigan",12/1/1997,2,1.0,Kansas City Chiefs,Kansas City Chiefs,5.0,177.0,2020.0
Carlos Dunlap,33,DE,17,2.0,285.0,78,Florida,2/28/1989,12,2.0,Kansas City Chiefs,Cincinnati Bengals,2.0,54.0,2010.0
Clyde Edwards-Helaire,23,RB,10,6.0,207.0,67,LSU,4/11/1999,2,3.0,Kansas City Chiefs,Kansas City Chiefs,1.0,32.0,2020.0
Rashad Fenton,25,CB,5,5.0,193.0,71,South Carolina,2/17/1997,3,1.0,Kansas City Chiefs,Kansas City Chiefs,6.0,201.0,2019.0
Jody Fortson,27,TE,13,1.0,235.0,76,Valdosta St.,12/7/1995,1,1.0,Kansas City Chiefs,,,,
Willie Gay Jr.,24,MLB,13,13.0,246.0,73,Mississippi St.,2/15/1998,2,6.0,Kansas City Chiefs,Kansas City Chiefs,2.0,63.0,2020.0
Noah Gray,23,TE,17,8.0,240.0,75,Duke,4/30/1999,1,3.0,Kansas City Chiefs,Kansas City Chiefs,5.0,162.0,2021.0
Mecole Hardman,24,WR,8,5.0,187.0,70,Georgia,3/12/1998,3,3.0,Kansas City Chiefs,Kansas City Chiefs,2.0,56.0,2019.0
Darius Harris,26,LB,17,4.0,238.0,74,Middle Tenn. St.,1/17/1996,2,3.0,Kansas City Chiefs,,,,
Chad Henne,37,QB,3,0.0,215.0,75,Michigan,7/2/1985,14,0.0,Kansas City Chiefs,Miami Dolphins,2.0,57.0,2008.0
Malik Herring,25,DE,7,0.0,275.0,75,Georgia,11/9/1997,1,1.0,Kansas City Chiefs,,,,
Creed Humphrey,23,C,17,17.0,302.0,76,Oklahoma,6/28/1999,1,13.0,Kansas City Chiefs,Kansas City Chiefs,2.0,63.0,2021.0
Nazeeh Johnson,24,S,11,0.0,199.0,70,Marshall,7/17/1998,0,1.0,Kansas City Chiefs,Kansas City Chiefs,7.0,259.0,2022.0
Chris Jones,28,RDT,17,17.0,310.0,78,Mississippi St.,7/3/1994,6,16.0,Kansas City Chiefs,Kansas City Chiefs,2.0,37.0,2016.0
Ronald Jones II,25,RB,6,0.0,208.0,71,USC,8/3/1997,4,1.0,Kansas City Chiefs,Tampa Bay Buccaneers,2.0,38.0,2018.0
George Karlaftis III,21,LDE,17,17.0,263.0,76,Purdue,4/3/2001,0,7.0,Kansas City Chiefs,Kansas City Chiefs,1.0,30.0,2022.0
Travis Kelce,33,TE,17,17.0,250.0,77,Cincinnati,10/5/1989,9,12.0,Kansas City Chiefs,Kansas City Chiefs,3.0,63.0,2013.0
Marcus Kemp,27,WR,3,0.0,208.0,76,Hawaii,8/14/1995,5,0.0,Kansas City Chiefs,,,,
Darian Kinnard,23,T,1,0.0,322.0,77,Kentucky,12/29/1999,0,0.0,Kansas City Chiefs,Kansas City Chiefs,5.0,145.0,2022.0
Chris Lammons,26,CB,16,0.0,190.0,70,South Carolina,1/31/1996,3,1.0,Kansas City Chiefs,,,,
Elijah Lee,26,LB,5,0.0,230.0,75,Kansas St.,2/8/1996,5,1.0,Kansas City Chiefs,Minnesota Vikings,7.0,232.0,2017.0
Patrick Mahomes,27,QB,17,17.0,225.0,74,Texas Tech,9/17/1995,5,19.0,Kansas City Chiefs,Kansas City Chiefs,1.0,10.0,2017.0
Trent McDuffie,22,RCB,11,11.0,193.0,71,Washington,9/13/2000,0,3.0,Kansas City Chiefs,Kansas City Chiefs,1.0,21.0,2022.0
Jerick McKinnon,30,RB,17,0.0,209.0,69,Georgia Southern,5/3/1992,8,7.0,Kansas City Chiefs,Minnesota Vikings,3.0,96.0,2014.0
Skyy Moore,22,WR,16,3.0,195.0,70,Western Michigan,9/10/2000,0,2.0,Kansas City Chiefs,Kansas City Chiefs,2.0,54.0,2022.0
Lucas Niang,24,T,7,0.0,315.0,78,TCU,8/19/1998,1,1.0,Kansas City Chiefs,Kansas City Chiefs,3.0,96.0,2020.0
Derrick Nnadi,26,LDT,17,17.0,317.0,73,Florida St.,5/9/1996,4,6.0,Kansas City Chiefs,Kansas City Chiefs,3.0,75.0,2018.0
Isiah Pacheco,23,RB,17,11.0,216.0,70,Rutgers,3/2/1999,0,7.0,Kansas City Chiefs,Kansas City Chiefs,7.0,251.0,2022.0
Cornell Powell,25,WR,3,0.0,204.0,72,Clemson,10/30/1997,1,0.0,Kansas City Chiefs,Kansas City Chiefs,5.0,181.0,2021.0
Justin Reid,25,FS,17,17.0,207.0,73,Stanford,2/15/1997,4,5.0,Kansas City Chiefs,Houston Texans,3.0,68.0,2018.0
Khalen Saunders,26,DT,16,0.0,324.0,72,Western Illinois,8/9/1996,3,1.0,Kansas City Chiefs,Kansas City Chiefs,3.0,84.0,2019.0
Danny Shelton,29,NT,1,0.0,345.0,74,Washington,8/20/1993,7,0.0,Kansas City Chiefs,Cleveland Browns,1.0,12.0,2015.0
Trey Smith,23,RG,16,16.0,321.0,78,Tennessee,6/16/1999,1,8.0,Kansas City Chiefs,Kansas City Chiefs,6.0,226.0,2021.0
Ihmir Smith-Marsette,23,WR,2,0.0,185.0,73,Iowa,8/29/1999,1,0.0,Kansas City Chiefs,Minnesota Vikings,5.0,157.0,2021.0
JuJu Smith-Schuster,26,WR,16,14.0,215.0,73,USC,11/22/1996,5,9.0,Kansas City Chiefs,Pittsburgh Steelers,2.0,62.0,2017.0
L'Jarius Sneed,25,LCB,17,17.0,192.0,73,Louisiana Tech,1/21/1997,2,6.0,Kansas City Chiefs,Kansas City Chiefs,4.0,138.0,2020.0
Taylor Stallworth,27,DT,6,0.0,305.0,74,South Carolina,8/18/1995,4,0.0,Kansas City Chiefs,,,,
Juan Thornhill,27,SS,16,16.0,205.0,72,Virginia,10/19/1995,3,5.0,Kansas City Chiefs,Kansas City Chiefs,2.0,63.0,2019.0
Joe Thuney,30,LG,15,15.0,301.0,76,North Carolina St.,11/18/1992,6,11.0,Kansas City Chiefs,New England Patriots,3.0,78.0,2016.0
Kadarius Toney,23,WR,7,3.0,193.0,72,Florida,1/27/1999,1,2.0,Kansas City Chiefs,New York Giants,1.0,20.0,2021.0
Tommy Townsend,26,P,17,0.0,191.0,73,Florida,11/12/1996,2,3.0,Kansas City Chiefs,,,,
