Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Tucker Addington,25.0,LS,3,0.0,230.0,74,Sam Houston St.,7/16/1997,1,0.0,New England Patriots,,,,
Nelson Agholor,29.0,WR,16,7.0,200.0,72,USC,5/24/1993,7,3.0,New England Patriots,Philadelphia Eagles,1.0,20.0,2015.0
David Andrews,30.0,C,14,14.0,300.0,74,Georgia,7/10/1992,7,6.0,New England Patriots,,,,
Jake Bailey,25.0,P,9,0.0,212.0,74,Stanford,6/18/1997,3,1.0,New England Patriots,New England Patriots,5.0,163.0,2019.0
Christian Barmore,23.0,DT,10,3.0,315.0,77,Alabama,7/28/1999,1,2.0,New England Patriots,New England Patriots,2.0,38.0,2021.0
Ja'Whaun Bentley,26.0,LILB,17,17.0,250.0,74,Purdue,8/24/1996,4,9.0,New England Patriots,New England Patriots,5.0,143.0,2018.0
Joshuah Bledsoe,24.0,S,3,0.0,207.0,71,Missouri,12/30/1998,1,0.0,New England Patriots,New England Patriots,6.0,188.0,2021.0
Kendrick Bourne,27.0,WR,16,2.0,205.0,73,Eastern Washington,8/4/1995,5,4.0,New England Patriots,,,,
Lynn Bowden Jr.,25.0,WR,1,0.0,204.0,73,Kentucky,10/14/1997,2,0.0,New England Patriots,Las Vegas Raiders,3.0,80.0,2020.0
Trent Brown,29.0,LT,17,16.0,380.0,80,"Georgia Military,Florida",4/13/1993,7,7.0,New England Patriots,San Francisco 49ers,7.0,244.0,2015.0
Myles Bryant,24.0,CB,17,6.0,192.0,69,Washington,1/2/1998,2,3.0,New England Patriots,,,,
Yodny Cajuste,26.0,T,10,3.0,310.0,77,West Virginia,2/21/1996,1,2.0,New England Patriots,New England Patriots,3.0,101.0,2019.0
Marcus Cannon,34.0,T,5,4.0,335.0,78,TCU,5/6/1988,11,2.0,New England Patriots,New England Patriots,5.0,138.0,2011.0
Joe Cardona,30.0,LS,14,0.0,241.0,74,Navy,4/16/1992,7,1.0,New England Patriots,New England Patriots,5.0,166.0,2015.0
Jamie Collins,33.0,LB,3,1.0,255.0,75,Southern Miss,10/20/1989,9,1.0,New England Patriots,New England Patriots,2.0,52.0,2013.0
Carl Davis,30.0,DT,16,2.0,320.0,77,Iowa,3/2/1992,7,3.0,New England Patriots,Baltimore Ravens,3.0,90.0,2015.0
Cody Davis,33.0,DB,6,0.0,205.0,74,Texas Tech,6/6/1989,9,0.0,New England Patriots,,,,
Kyle Dugger,26.0,SS,15,15.0,216.0,73,Lenoir-Rhyne,3/22/1996,2,6.0,New England Patriots,New England Patriots,2.0,37.0,2020.0
Daniel Ekuale,28.0,DT,15,0.0,300.0,75,Washington St.,1/13/1994,3,1.0,New England Patriots,,,,
James Ferentz,33.0,C,12,3.0,290.0,74,Iowa,6/5/1989,7,2.0,New England Patriots,,,,
Nick Folk,38.0,K,17,0.0,222.0,73,Arizona,11/5/1984,15,3.0,New England Patriots,Dallas Cowboys,6.0,178.0,2007.0
Davon Godchaux,28.0,NT,17,17.0,330.0,75,LSU,11/11/1994,5,9.0,New England Patriots,Miami Dolphins,5.0,178.0,2017.0
Lawrence Guy,32.0,LDE,14,14.0,315.0,76,Arizona St.,3/17/1990,10,7.0,New England Patriots,Green Bay Packers,7.0,233.0,2011.0
Damien Harris,25.0,RB,11,9.0,213.0,71,Alabama,2/11/1997,3,3.0,New England Patriots,New England Patriots,3.0,87.0,2019.0
Kevin Harris,22.0,RB,5,1.0,225.0,70,South Carolina,11/17/2000,0,0.0,New England Patriots,New England Patriots,6.0,183.0,2022.0
Tae Hayes,25.0,DB,2,0.0,188.0,69,Appalachian St.,8/19/1997,3,0.0,New England Patriots,,,,
Hunter Henry,28.0,TE,17,14.0,249.0,77,Arkansas,12/7/1994,6,4.0,New England Patriots,San Diego Chargers,2.0,35.0,2016.0
Brian Hoyer,37.0,QB,1,1.0,215.0,74,Michigan St.,10/13/1985,13,0.0,New England Patriots,,,,
Lil'Jordan Humphrey,24.0,WR,6,2.0,225.0,76,Texas,4/19/1998,3,0.0,New England Patriots,,,,
Anfernee Jennings,25.0,LB,16,3.0,255.0,74,Alabama,9/1/1997,2,3.0,New England Patriots,New England Patriots,3.0,87.0,2020.0
Jack Jones,25.0,S,13,2.0,175.0,71,"USC,Moorpark College,Arizona St.",12/20/1997,0,2.0,New England Patriots,New England Patriots,4.0,121.0,2022.0
Jonathan Jones,29.0,LCB,16,16.0,190.0,70,Auburn,9/20/1993,6,6.0,New England Patriots,,,,
Mac Jones,24.0,QB,14,14.0,220.0,75,Alabama,9/5/1998,1,8.0,New England Patriots,New England Patriots,1.0,15.0,2021.0
Marcus Jones,24.0,DB,15,4.0,188.0,68,"Troy,Houston",10/22/1998,0,10.0,New England Patriots,New England Patriots,3.0,85.0,2022.0
Matt Judon,30.0,LOLB,17,15.0,275.0,75,Grand Valley St.,8/15/1992,6,12.0,New England Patriots,Baltimore Ravens,5.0,146.0,2016.0
Harvey Langi,30.0,LB,2,0.0,250.0,74,BYU,9/24/1992,5,0.0,New England Patriots,,,,
Devin McCourty,35.0,FS,17,17.0,195.0,70,Rutgers,8/13/1987,12,6.0,New England Patriots,New England Patriots,1.0,27.0,2010.0
Conor McDermott,30.0,RT,6,6.0,305.0,80,UCLA,10/19/1992,5,3.0,New England Patriots,New England Patriots,6.0,211.0,2017.0
Raekwon McMillan,27.0,LB,16,1.0,250.0,74,Ohio St.,11/17/1995,4,3.0,New England Patriots,Miami Dolphins,2.0,54.0,2017.0
Jakobi Meyers,26.0,WR,14,13.0,193.0,74,North Carolina St.,11/9/1996,3,6.0,New England Patriots,,,,
Jalen Mills,28.0,RCB,10,10.0,191.0,72,LSU,4/6/1994,6,3.0,New England Patriots,Philadelphia Eagles,7.0,233.0,2016.0
DaMarcus Mitchell,24.0,DE,16,0.0,260.0,75,"Southwest Mississippi CC,Purdue",12/13/1998,0,1.0,New England Patriots,,,,
Ty Montgomery,29.0,WR,1,0.0,220.0,72,Stanford,1/22/1993,7,0.0,New England Patriots,Green Bay Packers,3.0,94.0,2015.0
Quandre Mosely,23.0,DB,1,0.0,185.0,74,"Eastern Arizona,Kentucky",5/18/1999,0,0.0,New England Patriots,,,,
Calvin Munson,28.0,LB,1,0.0,240.0,73,San Diego St.,12/27/1994,5,0.0,New England Patriots,,,,
Bill Murray,25.0,G,1,0.0,321.0,75,William & Mary,7/3/1997,1,0.0,New England Patriots,,,,
Michael Onwenu,25.0,RG,17,17.0,350.0,75,Michigan,12/10/1997,2,7.0,New England Patriots,New England Patriots,6.0,182.0,2020.0
Michael Palardy,30.0,P,8,0.0,200.0,71,Tennessee,7/6/1992,6,0.0,New England Patriots,,,,
DeVante Parker,29.0,WR,13,11.0,215.0,75,Louisville,1/20/1993,7,4.0,New England Patriots,Miami Dolphins,1.0,14.0,2015.0
Jabrill Peppers,27.0,DB,17,5.0,217.0,71,Michigan,10/4/1995,5,2.0,New England Patriots,Cleveland Browns,1.0,25.0,2017.0
Adrian Phillips,30.0,ROLB,17,8.0,208.0,71,Texas,3/28/1992,8,3.0,New England Patriots,,,,
Sam Roberts,24.0,DT,5,0.0,295.0,77,NW Missouri St.,4/14/1998,0,0.0,New England Patriots,New England Patriots,6.0,200.0,2022.0
Brenden Schooler,25.0,DB,16,0.0,210.0,74,"Oregon,Texas",5/30/1997,0,1.0,New England Patriots,,,,
Matthew Slater,37.0,WR,17,0.0,205.0,72,UCLA,9/9/1985,14,0.0,New England Patriots,New England Patriots,5.0,153.0,2008.0
Jonnu Smith,27.0,TE,14,8.0,248.0,75,Florida International,8/22/1995,5,2.0,New England Patriots,Tennessee Titans,3.0,100.0,2017.0
Matt Sokol,27.0,TE,3,0.0,249.0,77,Michigan St.,11/9/1995,2,0.0,New England Patriots,,,,
Rhamondre Stevenson,24.0,RB,17,7.0,227.0,72,"Cerritos (CA),Oklahoma",2/23/1998,1,9.0,New England Patriots,New England Patriots,4.0,120.0,2021.0
Cole Strange,24.0,LG,17,17.0,310.0,77,Chattanooga,7/31/1998,0,7.0,New England Patriots,New England Patriots,1.0,29.0,2022.0
Pierre Strong,24.0,RB,15,0.0,215.0,71,South Dakota St.,12/10/1998,0,1.0,New England Patriots,New England Patriots,4.0,127.0,2022.0
Jahlani Tavai,26.0,RILB,17,12.0,255.0,74,Hawaii,9/28/1996,3,7.0,New England Patriots,Detroit Lions,2.0,43.0,2019.0
J.J. Taylor,24.0,RB,1,0.0,185.0,66,Arizona,1/4/1998,2,0.0,New England Patriots,,,,
Tyquan Thornton,22.0,WR,13,9.0,185.0,74,Baylor,9/7/2000,0,2.0,New England Patriots,New England Patriots,2.0,50.0,2022.0
Joshua Uche,24.0,LB,15,0.0,226.0,75,Michigan,9/18/1998,2,2.0,New England Patriots,New England Patriots,2.0,60.0,2020.0
Tristan Vizcaino,26.0,K,2,0.0,205.0,74,Washington,7/31/1996,2,0.0,New England Patriots,,,,
Shaun Wade,24.0,CB,3,0.0,196.0,73,Ohio St.,9/15/1998,1,0.0,New England Patriots,Baltimore Ravens,5.0,160.0,2021.0
Scotty Washington,25.0,WR,1,0.0,242.0,77,Wake Forest,7/26/1997,1,0.0,New England Patriots,,,,
Raleigh Webb,25.0,WR,10,0.0,204.0,74,The Citadel,12/28/1997,0,0.0,New England Patriots,,,,
Mack Wilson,24.0,LB,17,3.0,240.0,73,Alabama,2/14/1998,3,3.0,New England Patriots,Cleveland Browns,5.0,155.0,2019.0
Deatrich Wise Jr.,28.0,RDE,17,16.0,271.0,77,Arkansas,7/26/1994,5,9.0,New England Patriots,New England Patriots,4.0,131.0,2017.0
Isaiah Wynn,27.0,RT,9,7.0,305.0,74,Georgia,12/9/1995,3,3.0,New England Patriots,New England Patriots,1.0,23.0,2018.0
Bailey Zappe,23.0,QB,4,2.0,215.0,73,"Houston Christian,Western Kentucky",4/26/1999,0,2.0,New England Patriots,New England Patriots,4.0,137.0,2022.0
