Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Josh Allen,26.0,QB,16,16.0,237.0,77,"Reedley,Wyoming",5/21/1996,4,20.0,Buffalo Bills,Buffalo Bills,1.0,7.0,2018.0
Eli Ankou,28.0,DT,0,0.0,325.0,75,UCLA,6/8/1994,5,0.0,Buffalo Bills,,,,
Boogie Basham,25.0,DE,15,0.0,274.0,75,Wake Forest,12/16/1997,1,2.0,Buffalo Bills,Buffalo Bills,2.0,61.0,2021.0
Tyler Bass,25.0,K,16,0.0,183.0,70,Georgia Southern,2/14/1997,2,3.0,Buffalo Bills,Buffalo Bills,6.0,188.0,2020.0
Ryan Bates,25.0,RG,15,15.0,306.0,76,Penn St.,2/14/1997,3,8.0,Buffalo Bills,,,,
Cole Beasley,33.0,WR,2,1.0,174.0,68,SMU,4/26/1989,10,0.0,Buffalo Bills,,,,
Christian Benford,22.0,LCB,9,5.0,205.0,73,Villanova,9/21/2000,0,2.0,Buffalo Bills,Buffalo Bills,6.0,185.0,2022.0
Terrel Bernard,23.0,LB,16,1.0,224.0,73,Baylor,5/7/1999,0,2.0,Buffalo Bills,Buffalo Bills,3.0,89.0,2022.0
Ike Boettger,28.0,G,1,0.0,313.0,78,Iowa,10/5/1994,4,0.0,Buffalo Bills,,,,
C.J. Brewer,25.0,DT,2,0.0,290.0,74,Coastal Carolina,11/22/1997,0,0.0,Buffalo Bills,,,,
John Brown,32.0,WR,3,0.0,178.0,71,Pittsburg St.,4/3/1990,8,0.0,Buffalo Bills,Arizona Cardinals,3.0,91.0,2014.0
Spencer Brown,24.0,RT,14,14.0,311.0,78,Northern Iowa,2/28/1998,1,9.0,Buffalo Bills,Buffalo Bills,3.0,93.0,2021.0
Brandin Bryant,29.0,DT,4,0.0,294.0,75,Florida Atlantic,9/16/1993,3,0.0,Buffalo Bills,,,,
James Cook,23.0,RB,16,0.0,190.0,71,Georgia,9/25/1999,0,5.0,Buffalo Bills,Buffalo Bills,2.0,63.0,2022.0
Jamison Crowder,29.0,WR,4,0.0,177.0,69,Duke,6/17/1993,7,1.0,Buffalo Bills,Washington Redskins,4.0,105.0,2015.0
Gabriel Davis,23.0,WR,15,15.0,225.0,74,Central Florida,4/1/1999,2,9.0,Buffalo Bills,Buffalo Bills,4.0,128.0,2020.0
Dion Dawkins,28.0,LT,15,15.0,320.0,77,Temple,4/26/1994,5,12.0,Buffalo Bills,Buffalo Bills,2.0,63.0,2017.0
Stefon Diggs,29.0,WR,16,16.0,191.0,72,Maryland,11/29/1993,7,15.0,Buffalo Bills,Minnesota Vikings,5.0,146.0,2015.0
Tyrel Dodson,24.0,LB,16,3.0,237.0,72,Texas A&M,6/25/1998,2,3.0,Buffalo Bills,,,,
Tommy Doyle,24.0,T,1,0.0,320.0,80,Miami (OH),5/6/1998,1,0.0,Buffalo Bills,Buffalo Bills,5.0,161.0,2021.0
Tremaine Edmunds,24.0,MLB,13,13.0,251.0,76,Virginia Tech,5/2/1998,4,7.0,Buffalo Bills,Buffalo Bills,1.0,16.0,2018.0
Kaiir Elam,21.0,LCB,13,6.0,191.0,73,Florida,5/5/2001,0,3.0,Buffalo Bills,Buffalo Bills,1.0,23.0,2022.0
Prince Emili,24.0,DT,2,0.0,300.0,74,Pennsylvania,9/18/1998,0,0.0,Buffalo Bills,,,,
A.J. Epenesa,24.0,DE,15,2.0,260.0,78,Iowa,9/15/1998,2,3.0,Buffalo Bills,Buffalo Bills,2.0,54.0,2020.0
Reid Ferguson,28.0,LS,16,0.0,235.0,74,LSU,3/24/1994,5,1.0,Buffalo Bills,,,,
Tanner Gentry,28.0,WR,3,0.0,193.0,73,Wyoming,12/18/1994,5,0.0,Buffalo Bills,,,,
Joe Giles-Harris,25.0,LB,1,0.0,234.0,74,Duke,4/1/1997,3,0.0,Buffalo Bills,,,,
Reggie Gilliam,25.0,FB,15,4.0,244.0,72,Toledo,8/20/1997,2,1.0,Buffalo Bills,,,,
Damar Hamlin,24.0,FS,15,13.0,200.0,72,Pittsburgh,3/24/1998,1,5.0,Buffalo Bills,Buffalo Bills,6.0,212.0,2021.0
Bobby Hart,28.0,T,15,0.0,334.0,76,Florida St.,8/21/1994,7,1.0,Buffalo Bills,New York Giants,7.0,226.0,2015.0
Nyheim Hines,26.0,RB,9,1.0,198.0,68,North Carolina St.,11/12/1996,4,3.0,Buffalo Bills,Indianapolis Colts,4.0,104.0,2018.0
Isaiah Hodgins,24.0,WR,2,0.0,200.0,75,Oregon St.,10/21/1998,1,0.0,Buffalo Bills,Buffalo Bills,6.0,207.0,2020.0
Micah Hyde,32.0,S,2,2.0,197.0,72,Iowa,12/31/1990,9,1.0,Buffalo Bills,Green Bay Packers,5.0,159.0,2013.0
Ja'Marcus Ingram,25.0,CB,2,0.0,190.0,74,"Utah St.,Texas Tech,Buffalo",9/2/1997,0,0.0,Buffalo Bills,,,,
Dane Jackson,26.0,RCB,15,14.0,180.0,71,Pittsburgh,11/29/1996,2,6.0,Buffalo Bills,Buffalo Bills,7.0,239.0,2020.0
Duke Johnson,29.0,RB,1,0.0,210.0,69,Miami (FL),9/23/1993,7,0.0,Buffalo Bills,Cleveland Browns,3.0,77.0,2015.0
Jaquan Johnson,27.0,S,16,3.0,191.0,70,Miami (FL),11/13/1995,3,2.0,Buffalo Bills,Buffalo Bills,6.0,181.0,2019.0
Taron Johnson,26.0,RLB,16,15.0,192.0,71,Weber St.,7/27/1996,4,6.0,Buffalo Bills,Buffalo Bills,4.0,121.0,2018.0
Kingsley Jonathan,24.0,DE,1,0.0,260.0,76,Syracuse,4/28/1998,0,0.0,Buffalo Bills,,,,
DaQuan Jones,31.0,RDT,16,16.0,320.0,76,Penn St.,12/17/1991,8,9.0,Buffalo Bills,Tennessee Titans,4.0,112.0,2014.0
Taiwan Jones,34.0,RB,16,0.0,195.0,72,Eastern Washington,7/26/1988,11,0.0,Buffalo Bills,Oakland Raiders,4.0,125.0,2011.0
Case Keenum,34.0,QB,2,0.0,220.0,73,Houston,2/17/1988,9,0.0,Buffalo Bills,,,,
A.J. Klein,31.0,LB,6,1.0,240.0,73,Iowa St.,7/30/1991,9,1.0,Buffalo Bills,Carolina Panthers,5.0,148.0,2013.0
Dawson Knox,26.0,TE,15,15.0,254.0,76,Mississippi,11/14/1996,3,5.0,Buffalo Bills,Buffalo Bills,3.0,96.0,2019.0
Jake Kumerow,30.0,WR,6,1.0,209.0,76,Wisconsin–Whitewater,2/17/1992,4,1.0,Buffalo Bills,,,,
Shaq Lawson,28.0,LDE,15,6.0,265.0,75,Clemson,6/17/1994,6,4.0,Buffalo Bills,Buffalo Bills,1.0,19.0,2016.0
Cameron Lewis,25.0,CB,13,1.0,183.0,69,Buffalo,4/13/1997,2,1.0,Buffalo Bills,,,,
Mike Love,28.0,DE,1,0.0,255.0,75,South Florida,1/22/1994,4,0.0,Buffalo Bills,,,,
Greg Mancz,30.0,C,1,0.0,302.0,76,Toledo,4/23/1992,7,0.0,Buffalo Bills,,,,
Dean Marlowe,30.0,S,4,1.0,205.0,73,James Madison,7/25/1992,7,1.0,Buffalo Bills,,,,
Sam Martin,32.0,P,16,0.0,205.0,73,Appalachian St.,2/27/1990,9,2.0,Buffalo Bills,Detroit Lions,5.0,165.0,2013.0
Tyler Matakevich,30.0,LB,16,0.0,235.0,73,Temple,12/22/1992,6,1.0,Buffalo Bills,Pittsburgh Steelers,7.0,246.0,2016.0
Isaiah McKenzie,27.0,WR,15,8.0,173.0,67,Georgia,4/9/1995,5,5.0,Buffalo Bills,Denver Broncos,5.0,172.0,2017.0
Matt Milano,28.0,LLB,15,15.0,223.0,72,Boston Col.,7/28/1994,5,19.0,Buffalo Bills,Buffalo Bills,5.0,163.0,2017.0
Von Miller,33.0,RDE,11,11.0,245.0,75,Texas A&M,3/26/1989,11,6.0,Buffalo Bills,Denver Broncos,1.0,2.0,2011.0
Quintin Morris,23.0,TE,14,1.0,243.0,74,Bowling Green,1/21/1999,1,1.0,Buffalo Bills,,,,
Mitch Morse,30.0,C,13,13.0,305.0,78,Missouri,4/21/1992,7,9.0,Buffalo Bills,Kansas City Chiefs,2.0,49.0,2015.0
Zack Moss,25.0,RB,5,0.0,215.0,70,Utah,12/15/1997,2,1.0,Buffalo Bills,Buffalo Bills,3.0,86.0,2020.0
Justin Murray,29.0,T,5,0.0,315.0,77,Cincinnati,4/19/1993,4,0.0,Buffalo Bills,,,,
Siran Neal,28.0,CB,16,0.0,206.0,72,Jacksonville St.,8/4/1994,4,1.0,Buffalo Bills,Buffalo Bills,5.0,154.0,2018.0
Ed Oliver,25.0,LDT,13,13.0,287.0,73,Houston,12/12/1997,3,7.0,Buffalo Bills,Buffalo Bills,1.0,9.0,2019.0
Jordan Phillips,30.0,DT,12,1.0,330.0,78,Oklahoma,9/21/1992,7,2.0,Buffalo Bills,Miami Dolphins,2.0,52.0,2015.0
Jordan Poyer,31.0,SS,12,12.0,191.0,72,Oregon St.,4/25/1991,9,8.0,Buffalo Bills,Philadelphia Eagles,7.0,218.0,2013.0
David Quessenberry,32.0,T,16,3.0,306.0,77,San Jose St.,8/24/1990,5,3.0,Buffalo Bills,Houston Texans,6.0,176.0,2013.0
Xavier Rhodes,32.0,CB,2,1.0,218.0,73,Florida St.,6/19/1990,9,0.0,Buffalo Bills,Minnesota Vikings,1.0,25.0,2013.0
Gregory Rousseau,22.0,LDE,13,13.0,266.0,78,Miami (FL),4/5/2000,1,7.0,Buffalo Bills,Buffalo Bills,1.0,30.0,2021.0
Rodger Saffold,34.0,LG,16,16.0,325.0,77,Indiana,6/6/1988,12,11.0,Buffalo Bills,St. Louis Rams,2.0,33.0,2010.0
Tim Settle,25.0,DT,15,2.0,313.0,75,Virginia Tech,7/11/1997,4,3.0,Buffalo Bills,Washington Redskins,5.0,163.0,2018.0
Khalil Shakir,22.0,WR,14,2.0,190.0,72,Boise St.,2/3/2000,0,2.0,Buffalo Bills,Buffalo Bills,5.0,148.0,2022.0
Devin Singletary,25.0,RB,16,16.0,203.0,67,Florida Atlantic,9/3/1997,3,9.0,Buffalo Bills,Buffalo Bills,3.0,74.0,2019.0
Baylon Spector,24.0,LB,6,0.0,233.0,72,Clemson,10/20/1998,0,1.0,Buffalo Bills,Buffalo Bills,7.0,231.0,2022.0
Tommy Sweeney,27.0,TE,5,0.0,255.0,77,Boston Col.,7/1/1995,3,0.0,Buffalo Bills,Buffalo Bills,7.0,228.0,2019.0
Greg Van Roten,32.0,G,16,4.0,295.0,76,Pennsylvania,2/26/1990,10,3.0,Buffalo Bills,,,,
Tre'Davious White,27.0,RCB,6,6.0,192.0,71,LSU,1/16/1995,5,2.0,Buffalo Bills,Buffalo Bills,1.0,27.0,2017.0
