Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Genard Avery,27.0,LB,9,0.0,250.0,72,Memphis,4/26/1995,4,1.0,Tampa Bay Buccaneers,Cleveland Browns,5.0,150.0,2018.0
Shaquil Barrett,30.0,ROLB,8,8.0,250.0,74,"Nebraska-Omaha,Colorado St.",11/17/1992,7,4.0,Tampa Bay Buccaneers,,,,
Cole Beasley,33.0,WR,2,0.0,174.0,68,SMU,4/26/1989,10,0.0,Tampa Bay Buccaneers,,,,
Giovani Bernard,31.0,RB,8,0.0,205.0,69,North Carolina,11/22/1991,9,0.0,Tampa Bay Buccaneers,Cincinnati Bengals,2.0,37.0,2013.0
Tom Brady,45.0,QB,17,17.0,225.0,76,Michigan,8/3/1977,22,10.0,Tampa Bay Buccaneers,New England Patriots,6.0,199.0,2000.0
Cameron Brate,31.0,TE,11,1.0,245.0,77,Harvard,7/3/1991,8,1.0,Tampa Bay Buccaneers,,,,
K.J. Britt,23.0,LB,12,0.0,240.0,72,Auburn,6/4/1999,1,1.0,Tampa Bay Buccaneers,Tampa Bay Buccaneers,5.0,176.0,2021.0
Jake Camarda,23.0,P,17,0.0,193.0,73,Georgia,4/20/1999,0,4.0,Tampa Bay Buccaneers,Tampa Bay Buccaneers,4.0,133.0,2022.0
Anthony Chesley,27.0,CB,7,0.0,190.0,72,Coastal Carolina,5/31/1995,2,0.0,Tampa Bay Buccaneers,,,,
Jaelon Darden,23.0,WR,12,0.0,175.0,68,North Texas,1/14/1999,1,0.0,Tampa Bay Buccaneers,Tampa Bay Buccaneers,4.0,129.0,2021.0
Lavonte David,32.0,RILB,17,17.0,233.0,73,"Fort Scott (KS),Nebraska",1/23/1990,10,9.0,Tampa Bay Buccaneers,Tampa Bay Buccaneers,2.0,58.0,2012.0
Carlton Davis,26.0,LCB,13,13.0,206.0,73,Auburn,12/31/1996,4,5.0,Tampa Bay Buccaneers,Tampa Bay Buccaneers,2.0,63.0,2018.0
