Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Maurice Alexander,25.0,WR,4,0.0,173.0,70,Florida International,1/10/1997,1,0.0,Detroit Lions,,,,
Alex Anzalone,28.0,MLB,17,17.0,234.0,75,Florida,9/22/1994,5,7.0,Detroit Lions,New Orleans Saints,3.0,76.0,2017.0
Kayode Awosika,24.0,G,10,2.0,322.0,75,Buffalo,10/27/1998,1,2.0,Detroit Lions,,,,
Michael Badgley,27.0,K,12,0.0,188.0,70,Miami (FL),7/28/1995,4,2.0,Detroit Lions,,,,
Derrick Barnes,23.0,LB,15,4.0,240.0,72,Purdue,5/29/1999,1,2.0,Detroit Lions,Detroit Lions,4.0,113.0,2021.0
Trinity Benson,25.0,WR,1,0.0,180.0,72,East Central (OK),1/16/1997,1,0.0,Detroit Lions,,,,
Stanley Berryhill,24.0,WR,4,0.0,182.0,69,Arizona,6/9/1998,0,0.0,Detroit Lions,,,,
Chris Board,27.0,LB,17,1.0,229.0,74,North Dakota St.,7/23/1995,4,1.0,Detroit Lions,,,,
Brady Breeze,25.0,DB,2,0.0,200.0,72,Oregon,10/9/1997,1,0.0,Detroit Lions,Tennessee Titans,6.0,215.0,2021.0
Michael Brockers,32.0,LDT,6,5.0,297.0,77,LSU,12/21/1990,10,2.0,Detroit Lions,St. Louis Rams,1.0,14.0,2012.0
Evan Brown,26.0,RG,14,12.0,320.0,75,SMU,9/16/1996,3,6.0,Detroit Lions,,,,
Austin Bryant,26.0,DE,9,0.0,250.0,77,Clemson,11/12/1996,3,1.0,Detroit Lions,Detroit Lions,4.0,117.0,2019.0
Isaiah Buggs,26.0,LDT,17,13.0,335.0,75,"Mississippi Gulf Coast CC,Alabama",8/24/1996,3,5.0,Detroit Lions,Pittsburgh Steelers,6.0,192.0,2019.0
Jason Cabinda,26.0,LB,8,2.0,235.0,73,Penn St.,3/17/1996,4,0.0,Detroit Lions,,,,
Quintez Cephus,24.0,WR,4,1.0,208.0,73,Wisconsin,4/1/1998,2,0.0,Detroit Lions,Detroit Lions,5.0,166.0,2020.0
DJ Chark,26.0,WR,11,10.0,198.0,75,LSU,9/23/1996,4,5.0,Detroit Lions,Jacksonville Jaguars,2.0,61.0,2018.0
John Cominsky,27.0,RDE,14,8.0,285.0,77,Charleston (WV),11/22/1995,3,4.0,Detroit Lions,Atlanta Falcons,4.0,135.0,2019.0
