Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1.0,Los Angeles Chargers,17.0,7.0,24.0,,,,,,31.0,,2.0,,29.0,29.0,28.0,37.0,1.0,301.0,17.7
2.0,Philadelphia Eagles,17.0,9.0,22.0,,,1.0,,1.0,33.0,4.0,8.0,,22.0,25.0,25.0,32.0,,303.0,17.8
3.0,Denver Broncos,17.0,10.0,22.0,,,,,,32.0,3.0,5.0,,26.0,26.0,29.0,33.0,,311.0,18.3
4.0,Kansas City Chiefs,17.0,13.0,24.0,,,,,,37.0,1.0,2.0,,30.0,35.0,24.0,31.0,,326.0,19.2
5.0,Minnesota Vikings,17.0,12.0,24.0,,,1.0,,,37.0,4.0,6.0,,31.0,31.0,23.0,30.0,1.0,332.0,19.5
6.0,Green Bay Packers,17.0,13.0,23.0,1.0,,,2.0,,39.0,1.0,5.0,,33.0,34.0,23.0,27.0,,338.0,19.9
7.0,Detroit Lions,17.0,18.0,18.0,,,1.0,,,37.0,1.0,4.0,,32.0,33.0,28.0,35.0,1.0,342.0,20.1
8.0,Pittsburgh Steelers,17.0,14.0,23.0,,,,2.0,,39.0,2.0,7.0,,31.0,32.0,26.0,33.0,,347.0,20.4
9.0,Baltimore Ravens,17.0,12.0,27.0,,,,,,39.0,2.0,7.0,,32.0,32.0,29.0,33.0,2.0,361.0,21.2
10.0,Miami Dolphins,17.0,12.0,22.0,,,1.0,1.0,,36.0,3.0,5.0,,30.0,31.0,36.0,42.0,2.0,364.0,21.4
11.0,Buffalo Bills,17.0,13.0,28.0,,1.0,1.0,,1.0,44.0,2.0,3.0,,40.0,41.0,20.0,25.0,,368.0,21.6
12.0,Seattle Seahawks,17.0,11.0,26.0,,1.0,,1.0,1.0,40.0,2.0,5.0,,33.0,34.0,29.0,34.0,2.0,368.0,21.6
13.0,Chicago Bears,17.0,20.0,17.0,,,,,,37.0,,4.0,,32.0,32.0,38.0,43.0,1.0,370.0,21.8
14.0,Houston Texans,17.0,11.0,31.0,,,,,,42.0,2.0,5.0,,36.0,37.0,26.0,28.0,1.0,372.0,21.9
15.0,Arizona Cardinals,17.0,18.0,20.0,,,,1.0,1.0,40.0,1.0,1.0,,35.0,38.0,34.0,38.0,,379.0,22.3
16.0,Tampa Bay Buccaneers,17.0,13.0,27.0,1.0,,,,,41.0,,1.0,,38.0,38.0,33.0,44.0,,385.0,22.6
17.0,Los Angeles Rams,17.0,13.0,29.0,,,1.0,,,43.0,1.0,2.0,,36.0,40.0,30.0,33.0,,386.0,22.7
18.0,Washington Commanders,17.0,18.0,25.0,,2.0,,,,45.0,1.0,8.0,,35.0,37.0,28.0,35.0,,391.0,23.0
19.0,New Orleans Saints,17.0,20.0,19.0,,,3.0,1.0,,43.0,3.0,6.0,,35.0,37.0,33.0,42.0,,398.0,23.4
20.0,New York Jets,17.0,22.0,18.0,,,,2.0,,42.0,2.0,5.0,,32.0,36.0,38.0,42.0,1.0,404.0,23.8
21.0,New York Giants,17.0,18.0,23.0,1.0,,1.0,4.0,,47.0,1.0,2.0,,44.0,45.0,29.0,37.0,,415.0,24.4
22.0,New England Patriots,17.0,16.0,27.0,1.0,,2.0,1.0,,47.0,2.0,4.0,,41.0,43.0,30.0,35.0,,417.0,24.5
23.0,Atlanta Falcons,17.0,11.0,34.0,,,1.0,1.0,,47.0,3.0,3.0,,40.0,42.0,31.0,32.0,1.0,423.0,24.9
24.0,Indianapolis Colts,17.0,18.0,27.0,,1.0,1.0,1.0,,48.0,3.0,5.0,,43.0,43.0,30.0,38.0,,427.0,25.1
25.0,Cincinnati Bengals,17.0,20.0,30.0,,,2.0,1.0,,53.0,2.0,3.0,,46.0,49.0,22.0,26.0,,434.0,25.5
26.0,Las Vegas Raiders,17.0,14.0,29.0,,,2.0,1.0,,46.0,1.0,4.0,,40.0,42.0,38.0,43.0,1.0,434.0,25.5
27.0,Cleveland Browns,17.0,22.0,26.0,1.0,1.0,,3.0,,53.0,,1.0,,51.0,52.0,22.0,31.0,,435.0,25.6
28.0,Jacksonville Jaguars,17.0,19.0,29.0,,,,,,48.0,1.0,6.0,,41.0,42.0,34.0,40.0,1.0,435.0,25.6
29.0,San Francisco 49ers,17.0,24.0,25.0,,1.0,,,,50.0,2.0,6.0,,42.0,44.0,30.0,32.0,,436.0,25.6
30.0,Tennessee Titans,17.0,21.0,27.0,1.0,,1.0,4.0,1.0,55.0,1.0,2.0,,50.0,53.0,26.0,31.0,,460.0,27.1
31.0,Dallas Cowboys,17.0,25.0,28.0,,,1.0,1.0,,55.0,1.0,3.0,,49.0,52.0,29.0,31.0,,468.0,27.5
32.0,Carolina Panthers,17.0,24.0,35.0,,,,1.0,1.0,61.0,3.0,5.0,,54.0,56.0,36.0,42.0,,534.0,31.4
,Avg Team,,16.0,25.3,0.2,0.2,0.6,0.9,0.2,43.3,1.7,4.2,0.1,37.2,38.8,29.3,34.8,0.5,389.6,22.9
,League Total,,511.0,809.0,6.0,7.0,20.0,28.0,6.0,1387.0,55.0,135.0,2.0,1189.0,1241.0,937.0,1115.0,15.0,12466.0,22.9
,Avg Tm/G,,0.94,1.49,0.01,0.01,0.04,0.05,0.01,2.55,0.1,0.25,0.0,2.19,2.28,1.72,2.05,0.03,22.9,
