Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Russell Wilson,DEN,0,0,14.0,2023,205
Javonte Williams,DEN,0,0,14.0,2023,205
Jaleel McLaughlin,DEN,0,0,14.0,2023,205
Samaje Perine,DEN,0,0,14.0,2023,205
Michael Burton,DEN,0,0,14.0,2023,205
Courtland Sutton,DEN,0,0,14.0,2023,205
Lucas Krull,DEN,0,0,14.0,2023,205
Adam Trautman,DEN,0,0,14.0,2023,205
Jerry Jeudy,DEN,0,0,14.0,2023,205
Lil'Jordan Humphrey,DEN,0,0,14.0,2023,205
Marvin Mims,DEN,0,0,14.0,2023,205
Easton Stick,LAC,2,1,14.0,2023,205
Justin Herbert,LAC,0,0,14.0,2023,205
Keenan Allen,LAC,0,0,14.0,2023,205
Austin Ekeler,LAC,0,0,14.0,2023,205
Isaiah Spiller,LAC,0,0,14.0,2023,205
Joshua Kelley,LAC,0,0,14.0,2023,205
Quentin Johnston,LAC,0,0,14.0,2023,205
Gerald Everett,LAC,0,0,14.0,2023,205
Donald Parham,LAC,0,0,14.0,2023,205
Alex Erickson,LAC,0,0,14.0,2023,205
Jalen Guyton,LAC,0,0,14.0,2023,205
