Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Andre Baccellia,26.0,WR,5,0.0,180.0,70,Washington,1/7/1997,1,0.0,Arizona Cardinals,,,,
Budda Baker,27.0,S,12,12.0,195.0,70,Washington,1/10/1996,6,5.0,Arizona Cardinals,Arizona Cardinals,2.0,36.0,2017.0
Eric Banks,25.0,DE,2,0.0,274.0,77,Texas-San Antonio,1/30/1998,2,0.0,Arizona Cardinals,,,,
Krys Barnes,25.0,LB,16,6.0,229.0,74,UCLA,4/2/1998,3,3.0,Arizona Cardinals,,,,
Jackson Barton,28.0,OL,1,0.0,302.0,79,Utah,8/8/1995,2,0.0,Arizona Cardinals,Indianapolis Colts,7.0,240.0,2019.0
Kelvin Beachum,34.0,OL,11,2.0,308.0,75,SMU,6/8/1989,11,2.0,Arizona Cardinals,Pittsburgh Steelers,7.0,248.0,2012.0
Joey Blount,25.0,S,11,0.0,195.0,73,Virginia,11/16/1998,1,1.0,Arizona Cardinals,,,,
Kris Boyd,27.0,CB,4,0.0,201.0,71,Texas,9/12/1996,4,0.0,Arizona Cardinals,Minnesota Vikings,7.0,217.0,2019.0
Aaron Brewer,33.0,LS,17,0.0,232.0,77,San Diego St.,7/5/1990,11,1.0,Arizona Cardinals,,,,
Marquise Brown,26.0,WR,14,14.0,180.0,69,"College of the Canyons (CA),Oklahoma",6/4/1997,4,6.0,Arizona Cardinals,Baltimore Ravens,1.0,25.0,2019.0
Michael Carter,24.0,RB,6,0.0,201.0,68,North Carolina,5/7/1999,2,1.0,Arizona Cardinals,New York Jets,4.0,107.0,2021.0
Andre Chachere,27.0,CB,17,5.0,197.0,72,San Jose St.,2/10/1996,2,2.0,Arizona Cardinals,,,,
Dan Chisena,26.0,WR,4,0.0,203.0,75,Penn St.,2/25/1997,3,0.0,Arizona Cardinals,,,,
Kei'Trel Clark,22.0,CB,14,7.0,181.0,70,"Liberty,Louisville",3/19/2001,0,2.0,Arizona Cardinals,Arizona Cardinals,6.0,180.0,2023.0
Corey Clement,29.0,RB,3,0.0,220.0,70,Wisconsin,11/2/1994,6,0.0,Arizona Cardinals,,,,
L.J. Collier,28.0,DL,1,1.0,300.0,74,TCU,9/12/1995,4,0.0,Arizona Cardinals,Seattle Seahawks,1.0,29.0,2019.0
Zaven Collins,24.0,LB,17,17.0,270.0,76,Tulsa,5/19/1999,2,6.0,Arizona Cardinals,Arizona Cardinals,1.0,16.0,2021.0
Trystan Colon,25.0,OL,14,4.0,317.0,75,Missouri,3/23/1998,3,3.0,Arizona Cardinals,,,,
James Conner,28.0,RB,13,13.0,233.0,73,Pittsburgh,5/5/1995,6,9.0,Arizona Cardinals,Pittsburgh Steelers,3.0,105.0,2017.0
Nolan Cooney,27.0,P,4,0.0,202.0,75,Syracuse,9/18/1996,1,0.0,Arizona Cardinals,,,,
Dennis Daley,27.0,OL,3,1.0,325.0,78,South Carolina,8/7/1996,4,1.0,Arizona Cardinals,Carolina Panthers,6.0,212.0,2019.0
Emari Demercado,24.0,RB,14,2.0,215.0,69,"Saddleback College,TCU",1/20/1999,0,3.0,Arizona Cardinals,,,,
Victor Dimukeje,24.0,OLB,16,6.0,262.0,74,Duke,11/18/1999,2,3.0,Arizona Cardinals,Arizona Cardinals,6.0,210.0,2021.0
Joshua Dobbs,28.0,QB,8,8.0,220.0,75,Tennessee,1/26/1995,5,6.0,Arizona Cardinals,Pittsburgh Steelers,4.0,135.0,2017.0
Greg Dortch,25.0,WR,16,4.0,180.0,67,Wake Forest,5/29/1998,4,3.0,Arizona Cardinals,,,,
Zach Ertz,33.0,TE,7,7.0,250.0,77,Stanford,11/10/1990,10,2.0,Arizona Cardinals,Philadelphia Eagles,2.0,35.0,2013.0
Leki Fotu,25.0,DT,11,9.0,317.0,77,Utah,8/23/1998,3,3.0,Arizona Cardinals,Arizona Cardinals,4.0,114.0,2020.0
Hjalte Froholdt,27.0,OL,17,17.0,310.0,77,Arkansas,8/20/1996,3,8.0,Arizona Cardinals,New England Patriots,4.0,118.0,2019.0
Dennis Gardeck,29.0,OLB,17,8.0,232.0,72,Sioux Falls,8/9/1994,5,4.0,Arizona Cardinals,,,,
Blake Gillikin,25.0,P,13,0.0,196.0,74,Penn St.,1/21/1998,2,2.0,Arizona Cardinals,,,,
Antonio Hamilton,30.0,CB,14,9.0,200.0,72,South Carolina St.,1/24/1993,7,3.0,Arizona Cardinals,,,,
Will Hernandez,28.0,OL,17,17.0,332.0,74,Texas-El Paso,9/2/1995,5,8.0,Arizona Cardinals,New York Giants,2.0,34.0,2018.0
Elijah Higgins,23.0,TE,11,2.0,245.0,75,Stanford,10/27/2000,0,2.0,Arizona Cardinals,Miami Dolphins,6.0,197.0,2023.0
Phil Hoskins,26.0,DT,5,1.0,315.0,77,"Highland (KS),Kentucky",1/2/1997,2,1.0,Arizona Cardinals,Carolina Panthers,7.0,232.0,2021.0
D.J. Humphries,30.0,OL,15,15.0,307.0,77,Florida,12/28/1993,7,7.0,Arizona Cardinals,Arizona Cardinals,1.0,24.0,2015.0
Keaontay Ingram,24.0,RB,8,1.0,220.0,72,"Texas,USC",10/26/1999,1,1.0,Arizona Cardinals,Arizona Cardinals,6.0,201.0,2022.0
Keith Ismael,25.0,OL,13,0.0,310.0,75,San Diego St.,7/25/1998,3,1.0,Arizona Cardinals,Washington Football Team,5.0,156.0,2020.0
Paris Johnson,22.0,OL,17,17.0,325.0,78,Ohio St.,7/3/2001,0,8.0,Arizona Cardinals,Arizona Cardinals,1.0,6.0,2023.0
Naquan Jones,25.0,DT,4,1.0,313.0,75,Michigan St.,2/5/1998,2,0.0,Arizona Cardinals,,,,
Tony Jones,26.0,RB,3,0.0,224.0,71,Notre Dame,11/24/1997,3,0.0,Arizona Cardinals,,,,
Qwuantrezz Knight,26.0,S,6,0.0,199.0,72,"Maryland,Kent St.,UCLA",10/10/1997,1,0.0,Arizona Cardinals,,,,
Jonathan Ledbetter,26.0,DL,12,12.0,282.0,76,Georgia,9/12/1997,4,4.0,Arizona Cardinals,,,,
Roy Lopez,26.0,DT,14,5.0,312.0,74,"New Mexico St.,Arizona",8/7/1997,2,2.0,Arizona Cardinals,Houston Texans,6.0,195.0,2021.0
Jesse Luketa,24.0,OLB,14,1.0,253.0,75,Penn St.,1/15/1999,1,1.0,Arizona Cardinals,Arizona Cardinals,7.0,256.0,2022.0
Tyreek Maddox-Williams,26.0,LB,3,0.0,228.0,72,Rutgers,10/28/1997,1,0.0,Arizona Cardinals,,,,
Christian Matthew,27.0,CB,4,0.0,195.0,74,"Georgia Southern,Samford,Valdosta St.",10/26/1996,1,0.0,Arizona Cardinals,Arizona Cardinals,7.0,244.0,2022.0
Trey McBride,24.0,TE,17,12.0,246.0,76,Colorado St.,11/22/1999,1,8.0,Arizona Cardinals,Arizona Cardinals,2.0,55.0,2022.0
Rondale Moore,23.0,WR,17,8.0,181.0,67,Purdue,6/9/2000,2,5.0,Arizona Cardinals,Arizona Cardinals,2.0,49.0,2021.0
Kyler Murray,26.0,QB,8,8.0,207.0,70,"Texas A&M,Oklahoma",8/7/1997,4,8.0,Arizona Cardinals,Arizona Cardinals,1.0,1.0,2019.0
Carter O'Donnell,25.0,OL,5,3.0,305.0,77,University of Alberta,12/23/1998,1,2.0,Arizona Cardinals,,,,
BJ Ojulari,21.0,OLB,17,0.0,248.0,74,LSU,4/5/2002,0,1.0,Arizona Cardinals,Arizona Cardinals,2.0,41.0,2023.0
Owen Pappoe,23.0,LB,16,1.0,230.0,72,Auburn,9/29/2000,0,1.0,Arizona Cardinals,Arizona Cardinals,5.0,168.0,2023.0
Zach Pascal,29.0,WR,14,1.0,219.0,74,Old Dominion,12/18/1994,5,0.0,Arizona Cardinals,,,,
Matt Prater,39.0,K,17,0.0,201.0,70,Central Florida,8/10/1984,16,4.0,Arizona Cardinals,,,,
Bobby Price,25.0,CB,6,0.0,205.0,76,Norfolk St.,4/25/1998,3,0.0,Arizona Cardinals,,,,
Tyreke Smith,23.0,LB,2,0.0,255.0,75,Ohio St.,2/14/2000,1,0.0,Arizona Cardinals,Seattle Seahawks,5.0,158.0,2022.0
Ben Stille,26.0,DL,5,0.0,296.0,76,Nebraska,11/12/1997,1,0.0,Arizona Cardinals,,,,
Dante Stills,24.0,DT,15,8.0,300.0,76,West Virginia,12/14/1999,0,3.0,Arizona Cardinals,Arizona Cardinals,6.0,213.0,2023.0
Kevin Strong,27.0,LDE,14,11.0,295.0,76,Texas-San Antonio,8/5/1996,4,4.0,Arizona Cardinals,,,,
Geoff Swaim,30.0,TE,14,8.0,260.0,76,Texas,9/16/1993,8,1.0,Arizona Cardinals,Dallas Cowboys,7.0,246.0,2015.0
Cameron Thomas,23.0,OLB,15,3.0,265.0,76,San Diego St.,1/7/2000,1,2.0,Arizona Cardinals,Arizona Cardinals,3.0,87.0,2022.0
Starling Thomas,23.0,CB,12,7.0,194.0,70,Ala-Birmingham,1/25/2000,0,2.0,Arizona Cardinals,,,,
Jalen Thompson,25.0,S,15,15.0,190.0,71,Washington St.,7/18/1998,4,5.0,Arizona Cardinals,Arizona Cardinals,5.0,1.0,
Clayton Tune,24.0,QB,7,1.0,220.0,75,Houston,3/23/1999,0,0.0,Arizona Cardinals,Arizona Cardinals,5.0,139.0,2023.0
Zeke Turner,27.0,LB,16,1.0,225.0,74,Washington,6/9/1996,5,1.0,Arizona Cardinals,,,,
Travis Vokolek,25.0,TE,2,0.0,260.0,78,"Rutgers,Nebraska",6/4/1998,0,0.0,Arizona Cardinals,,,,
K'Von Wallace,26.0,FS,7,5.0,205.0,71,Clemson,7/25/1997,3,2.0,Arizona Cardinals,Philadelphia Eagles,4.0,127.0,2020.0
Carlos Watkins,30.0,DT,2,1.0,305.0,75,Clemson,12/5/1993,6,0.0,Arizona Cardinals,Houston Texans,4.0,142.0,2017.0
Kyzir White,27.0,LB,11,11.0,234.0,74,West Virginia,3/24/1996,5,4.0,Arizona Cardinals,Los Angeles Chargers,4.0,119.0,2018.0
Blake Whiteheart,23.0,TE,2,0.0,250.0,76,Wake Forest,3/22/2000,0,0.0,Arizona Cardinals,,,,
Elijah Wilkinson,28.0,OL,10,9.0,310.0,78,Massachusetts,2/10/1995,6,4.0,Arizona Cardinals,,,,
Damien Williams,31.0,RB,3,0.0,221.0,71,Oklahoma,4/3/1992,9,0.0,Arizona Cardinals,,,,
Garrett Williams,22.0,CB,9,6.0,192.0,70,Syracuse,6/1/2001,0,2.0,Arizona Cardinals,Arizona Cardinals,3.0,72.0,2023.0
Divaad Wilson,23.0,CB,2,1.0,195.0,72,"Georgia,Central Florida",1/26/2000,0,0.0,Arizona Cardinals,,,,
Marco Wilson,24.0,RCB,15,11.0,191.0,71,Florida,3/3/1999,2,3.0,Arizona Cardinals,Arizona Cardinals,4.0,136.0,2021.0
Michael Wilson,23.0,WR,13,12.0,213.0,74,Stanford,2/23/2000,0,6.0,Arizona Cardinals,Arizona Cardinals,3.0,94.0,2023.0
Josh Woods,27.0,LB,11,7.0,235.0,73,Maryland,7/1/1996,4,3.0,Arizona Cardinals,,,,
