Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Tucker Addington,26.0,LS,3,0.0,230.0,74,Sam Houston St.,7/16/1997,1,0.0,Washington Commanders,,,,
Alex Akingbulu,26.0,T,2,0.0,300.0,77,"UCLA,Fresno St.",12/28/1997,1,0.0,Washington Commanders,,,,
Jonathan Allen,28.0,DT,16,16.0,300.0,75,Alabama,1/16/1995,6,6.0,Washington Commanders,Washington Redskins,1.0,17.0,2017.0
Abdullah Anderson,27.0,DL,7,0.0,295.0,76,Bucknell,1/24/1996,4,1.0,Washington Commanders,,,,
Alex Armah,29.0,RB,8,0.0,255.0,73,West Georgia,5/17/1994,6,0.0,Washington Commanders,Carolina Panthers,6.0,192.0,2017.0
Cody Barton,27.0,LB,13,13.0,237.0,74,Utah,11/13/1996,4,5.0,Washington Commanders,Seattle Seahawks,3.0,88.0,2019.0
John Bates,26.0,TE,17,4.0,259.0,78,Boise St.,11/6/1997,2,1.0,Washington Commanders,Washington Football Team,4.0,124.0,2021.0
Jacoby Brissett,31.0,QB,3,0.0,235.0,76,"Florida,North Carolina St.",12/11/1992,7,1.0,Washington Commanders,New England Patriots,3.0,91.0,2016.0
Dyami Brown,24.0,WR,17,1.0,195.0,72,North Carolina,11/1/1999,2,1.0,Washington Commanders,Washington Football Team,3.0,82.0,2021.0
Terrell Burgess,25.0,S,12,1.0,202.0,71,Utah,11/12/1998,3,1.0,Washington Commanders,Los Angeles Rams,3.0,104.0,2020.0
Percy Butler,23.0,S,15,13.0,191.0,72,Louisiana,5/29/2000,1,3.0,Washington Commanders,Washington Commanders,4.0,113.0,2022.0
Tariq Castro-Fields,24.0,CB,8,1.0,197.0,73,Penn St.,1/14/1999,1,1.0,Washington Commanders,San Francisco 49ers,6.0,221.0,2022.0
Sean Chandler,27.0,DB,2,1.0,200.0,70,Temple,4/27/1996,5,0.0,Washington Commanders,,,,
Saahdiq Charles,24.0,OL,11,10.0,321.0,76,LSU,7/26/1999,3,4.0,Washington Commanders,Washington Football Team,4.0,108.0,2020.0
Camaron Cheeseman,25.0,LS,14,0.0,237.0,76,Michigan,4/26/1998,2,1.0,Washington Commanders,Washington Football Team,6.0,225.0,2021.0
Samuel Cosmi,24.0,T,17,17.0,309.0,78,Texas,2/16/1999,2,8.0,Washington Commanders,Washington Football Team,2.0,51.0,2021.0
Jabril Cox,25.0,LB,10,0.0,233.0,75,"North Dakota St.,LSU",4/16/1998,2,1.0,Washington Commanders,Dallas Cowboys,4.0,115.0,2021.0
Jamison Crowder,30.0,WR,17,0.0,177.0,69,Duke,6/17/1993,8,1.0,Washington Commanders,Washington Redskins,4.0,105.0,2015.0
Kamren Curl,24.0,S,16,16.0,205.0,74,Arkansas,3/31/1999,3,4.0,Washington Commanders,Washington Football Team,7.0,216.0,2020.0
Jamin Davis,25.0,LB,13,13.0,234.0,76,Kentucky,12/12/1998,2,5.0,Washington Commanders,Washington Football Team,1.0,19.0,2021.0
Jahan Dotson,23.0,WR,17,16.0,184.0,71,Penn St.,3/22/2000,1,4.0,Washington Commanders,Washington Commanders,1.0,16.0,2022.0
Emmanuel Forbes,22.0,CB,14,6.0,180.0,72,Mississippi St.,1/13/2001,0,2.0,Washington Commanders,Washington Commanders,1.0,16.0,2023.0
Darrick Forrest,24.0,S,5,5.0,200.0,71,Cincinnati,5/22/1999,2,1.0,Washington Commanders,Washington Football Team,5.0,163.0,2021.0
Kendall Fuller,28.0,CB,15,15.0,198.0,71,Virginia Tech,2/13/1995,7,5.0,Washington Commanders,Washington Redskins,3.0,84.0,2016.0
Nick Gates,28.0,C,13,10.0,312.0,77,Nebraska,11/27/1995,4,4.0,Washington Commanders,,,,
Antonio Gibson,25.0,RB,16,2.0,228.0,72,"East Central CC (MS),Memphis",6/23/1998,3,5.0,Washington Commanders,Washington Football Team,3.0,66.0,2020.0
Julian Good-Jones,26.0,G,1,0.0,313.0,77,Iowa St.,3/2/1997,1,0.0,Washington Commanders,,,,
Derrick Gore,29.0,RB,6,0.0,212.0,70,"Alabama,La-Monroe",12/13/1994,2,0.0,Washington Commanders,,,,
De'Jon Harris,26.0,LB,8,0.0,245.0,72,Arkansas,11/1/1997,3,0.0,Washington Commanders,,,,
Jalen Harris,24.0,DE,5,0.0,257.0,76,Arizona,2/26/1999,0,0.0,Washington Commanders,,,,
K.J. Henry,24.0,DE,10,3.0,255.0,76,Clemson,1/27/1999,0,2.0,Washington Commanders,Washington Commanders,5.0,137.0,2023.0
Christian Holmes,26.0,CB,13,0.0,205.0,73,"Missouri,Oklahoma St.",9/14/1997,1,1.0,Washington Commanders,Washington Commanders,7.0,240.0,2022.0
Sam Howell,23.0,QB,17,17.0,225.0,73,North Carolina,9/16/2000,1,11.0,Washington Commanders,Washington Commanders,5.0,144.0,2022.0
Khaleke Hudson,26.0,LB,17,8.0,220.0,72,Michigan,12/6/1997,3,3.0,Washington Commanders,Washington Football Team,5.0,162.0,2020.0
Danny Johnson,28.0,CB,13,0.0,190.0,69,Southern,11/17/1995,5,1.0,Washington Commanders,,,,
Andre Jones,25.0,DE,14,2.0,258.0,77,Louisiana,10/25/1998,0,1.0,Washington Commanders,Washington Commanders,7.0,233.0,2023.0
Kyu Blu Kelly,22.0,CB,2,0.0,188.0,72,Stanford,5/22/2001,0,0.0,Washington Commanders,Baltimore Ravens,5.0,157.0,2023.0
Tyler Larsen,32.0,C,14,7.0,335.0,76,Utah St.,7/8/1991,7,3.0,Washington Commanders,,,,
Charles Leno Jr.,32.0,LT,13,13.0,302.0,75,Boise St.,10/9/1991,9,6.0,Washington Commanders,Chicago Bears,7.0,246.0,2014.0
Cornelius Lucas,32.0,T,17,4.0,327.0,80,Kansas St.,7/18/1991,9,3.0,Washington Commanders,,,,
