Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Jamal Adams,28.0,SS,9,9.0,213.0,73,LSU,10/17/1995,6,2.0,Seattle Seahawks,New York Jets,1.0,6.0,2017.0
Myles Adams,25.0,DT,11,1.0,299.0,74,Rice,3/9/1998,2,1.0,Seattle Seahawks,,,,
Nick Bellore,34.0,LB,16,0.0,250.0,73,Central Michigan,5/12/1989,12,3.0,Seattle Seahawks,,,,
Jake Bobo,25.0,WR,17,0.0,207.0,76,"Duke,UCLA",8/4/1998,0,2.0,Seattle Seahawks,,,,
Lance Boykin,23.0,CB,1,0.0,198.0,74,"Old Dominion,Coastal Carolina",8/31/2000,0,0.0,Seattle Seahawks,,,,
Anthony Bradford,22.0,G,14,10.0,335.0,76,LSU,4/28/2001,0,4.0,Seattle Seahawks,Seattle Seahawks,4.0,108.0,2023.0
Jordyn Brooks,26.0,RILB,16,16.0,240.0,72,Texas Tech,10/21/1997,3,6.0,Seattle Seahawks,Seattle Seahawks,1.0,27.0,2020.0
Ben Brown,25.0,G,1,0.0,313.0,77,Mississippi,5/19/1998,1,0.0,Seattle Seahawks,,,,
Evan Brown,27.0,C,16,16.0,320.0,75,SMU,9/16/1996,4,7.0,Seattle Seahawks,,,,
Tre Brown,26.0,CB,15,7.0,185.0,70,Oklahoma,9/24/1997,2,3.0,Seattle Seahawks,Seattle Seahawks,4.0,137.0,2021.0
Coby Bryant,24.0,CB,9,2.0,193.0,73,Cincinnati,3/29/1999,1,1.0,Seattle Seahawks,Seattle Seahawks,4.0,109.0,2022.0
Artie Burns,28.0,CB,14,1.0,187.0,72,Miami (FL),5/1/1995,7,1.0,Seattle Seahawks,Pittsburgh Steelers,1.0,25.0,2016.0
Devin Bush Jr.,25.0,LB,13,3.0,235.0,71,Michigan,7/18/1998,4,2.0,Seattle Seahawks,Pittsburgh Steelers,1.0,10.0,2019.0
Zach Charbonnet,22.0,RB,16,2.0,214.0,73,"Michigan,UCLA",1/8/2001,0,5.0,Seattle Seahawks,Seattle Seahawks,2.0,52.0,2023.0
Frank Clark,30.0,LB,6,0.0,272.0,75,Michigan,6/14/1993,8,0.0,Seattle Seahawks,Seattle Seahawks,2.0,63.0,2015.0
Charles Cross,23.0,T,14,14.0,317.0,77,Mississippi St.,11/25/2000,1,7.0,Seattle Seahawks,Seattle Seahawks,1.0,9.0,2022.0
Jake Curhan,25.0,T,10,4.0,325.0,78,California,7/9/1998,2,2.0,Seattle Seahawks,,,,
McClendon Curtis,24.0,G,1,0.0,330.0,78,Chattanooga,9/16/1999,0,0.0,Seattle Seahawks,,,,
DeeJay Dallas,25.0,RB,17,0.0,225.0,70,Miami (FL),9/16/1998,3,0.0,Seattle Seahawks,Seattle Seahawks,4.0,144.0,2020.0
Michael Dickson,27.0,P,17,0.0,208.0,74,Texas,1/4/1996,5,3.0,Seattle Seahawks,Seattle Seahawks,5.0,149.0,2018.0
Quandre Diggs,30.0,FS,17,17.0,197.0,69,Texas,1/22/1993,8,4.0,Seattle Seahawks,Detroit Lions,6.0,200.0,2015.0
Will Dissly,27.0,TE,16,14.0,265.0,76,Washington,7/8/1996,5,2.0,Seattle Seahawks,Seattle Seahawks,4.0,120.0,2018.0
Mario Edwards,29.0,DE,15,1.0,280.0,75,Florida St.,1/25/1994,8,1.0,Seattle Seahawks,Oakland Raiders,2.0,35.0,2015.0
D'Wayne Eskridge,26.0,WR,4,0.0,190.0,69,Western Michigan,3/23/1997,2,0.0,Seattle Seahawks,Seattle Seahawks,2.0,56.0,2021.0
Noah Fant,26.0,TE,17,17.0,249.0,76,Iowa,11/20/1997,4,4.0,Seattle Seahawks,Denver Broncos,1.0,20.0,2019.0
Austin Faoliu,24.0,NT,2,0.0,305.0,75,Oregon,1/9/1999,2,0.0,Seattle Seahawks,,,,
Stone Forsythe,26.0,T,17,8.0,307.0,80,Florida,12/29/1997,2,5.0,Seattle Seahawks,Seattle Seahawks,6.0,208.0,2021.0
Derick Hall,22.0,OLB,17,0.0,254.0,75,Auburn,3/19/2001,0,1.0,Seattle Seahawks,Seattle Seahawks,2.0,37.0,2023.0
Phil Haynes,28.0,G,8,8.0,322.0,76,Wake Forest,10/19/1995,4,3.0,Seattle Seahawks,Seattle Seahawks,4.0,124.0,2019.0
Michael Jackson,26.0,CB,17,4.0,210.0,73,Miami (FL),1/10/1997,4,2.0,Seattle Seahawks,Dallas Cowboys,5.0,158.0,2019.0
Dre'Mont Jones,26.0,DE,17,16.0,281.0,75,Ohio St.,1/5/1997,4,6.0,Seattle Seahawks,Denver Broncos,3.0,71.0,2019.0
Kelvin Joseph,24.0,CB,1,0.0,195.0,73,"LSU,Kentucky",11/11/1999,2,0.0,Seattle Seahawks,Dallas Cowboys,2.0,44.0,2021.0
Kyu Blu Kelly,22.0,CB,5,0.0,188.0,72,Stanford,5/22/2001,0,0.0,Seattle Seahawks,Baltimore Ravens,5.0,157.0,2023.0
Damien Lewis,26.0,G,16,16.0,327.0,74,LSU,3/21/1997,3,7.0,Seattle Seahawks,Seattle Seahawks,3.0,69.0,2020.0
Drew Lock,27.0,QB,4,2.0,228.0,76,Missouri,11/10/1996,4,2.0,Seattle Seahawks,Denver Broncos,2.0,42.0,2019.0
Tyler Lockett,31.0,WR,17,17.0,182.0,70,Kansas St.,9/28/1992,8,8.0,Seattle Seahawks,Seattle Seahawks,3.0,69.0,2015.0
Julian Love,25.0,S,17,12.0,195.0,71,Notre Dame,3/19/1998,4,6.0,Seattle Seahawks,New York Giants,4.0,108.0,2019.0
Abraham Lucas,25.0,T,6,6.0,322.0,78,Washington St.,10/25/1998,1,3.0,Seattle Seahawks,Seattle Seahawks,3.0,72.0,2022.0
Boye Mafe,25.0,LB,16,16.0,261.0,76,Minnesota,11/30/1998,1,6.0,Seattle Seahawks,Seattle Seahawks,2.0,40.0,2022.0
Kenny McIntosh,23.0,RB,3,0.0,204.0,72,Georgia,3/3/2000,0,0.0,Seattle Seahawks,Seattle Seahawks,7.0,237.0,2023.0
D.K. Metcalf,26.0,WR,16,16.0,229.0,76,Mississippi,12/14/1997,4,10.0,Seattle Seahawks,Seattle Seahawks,2.0,64.0,2019.0
Mike Morris,22.0,DE,1,0.0,295.0,78,Michigan,4/22/2001,0,0.0,Seattle Seahawks,Seattle Seahawks,5.0,151.0,2023.0
Jason Myers,32.0,K,17,0.0,190.0,70,Marist,5/12/1991,8,3.0,Seattle Seahawks,,,,
Uchenna Nwosu,27.0,LB,6,6.0,265.0,74,USC,12/28/1996,5,2.0,Seattle Seahawks,Los Angeles Chargers,2.0,48.0,2018.0
Patrick O'Connell,25.0,LB,1,0.0,227.0,73,"Univ. of Mary,Montana",12/31/1998,0,0.0,Seattle Seahawks,,,,
Raiqwon O'Neal,23.0,T,3,0.0,305.0,76,"Rutgers,UCLA",1/12/2000,0,0.0,Seattle Seahawks,,,,
Ty Okada,24.0,SS,5,0.0,193.0,71,Montana St.,6/4/1999,0,0.0,Seattle Seahawks,,,,
Olusegun Oluwatimi,24.0,C,16,1.0,309.0,75,"Air Force,Virginia,Michigan",8/5/1999,0,1.0,Seattle Seahawks,Seattle Seahawks,5.0,154.0,2023.0
Colby Parkinson,24.0,TE,17,1.0,265.0,79,Stanford,1/8/1999,3,2.0,Seattle Seahawks,Seattle Seahawks,4.0,133.0,2020.0
Jason Peters,41.0,T,8,2.0,328.0,76,Arkansas,1/22/1982,19,1.0,Seattle Seahawks,,,,
Jarran Reed,31.0,DE,16,16.0,315.0,75,"East Mississippi CC,Alabama",12/16/1992,7,6.0,Seattle Seahawks,Seattle Seahawks,2.0,49.0,2016.0
