No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
73,Nick Allegretti,26,G,17,3,320,6-4,Illinois,4/21/1996,3,3,Kansas City Chiefs / 7th / 216th pick / 2019
32,Ugo Amadi,25,DB,1,0,201,5-9,Oregon,5/16/1997,3,0,Seattle Seahawks / 4th / 132nd pick / 2019
19,Matt Ammendola,26,K,2,0,195,5-9,Oklahoma St.,12/11/1996,1,0,
39,Zayne Anderson,25,LB,3,0,206,6-2,BYU,1/3/1997,1,0,
81,Blake Bell,31,TE,3,1,252,6-6,Oklahoma,8/7/1991,7,0,San Francisco 49ers / 4th / 117th pick / 2015
32,Nick Bolton,22,LLB,17,17,237,5-11,Missouri,3/10/2000,1,7,Kansas City Chiefs / 2nd / 58th pick / 2021
2,Dicaprio Bootle,25,DB,4,0,180,5-10,Nebraska,9/17/1997,1,0,
57,Orlando Brown Jr.,26,LT,17,17,345,6-8,Oklahoma,5/2/1996,4,13,Baltimore Ravens / 3rd / 83rd pick / 2018
45,Michael Burton,30,RB,17,0,247,6-0,Rutgers,2/1/1992,7,0,Detroit Lions / 5th / 168th pick / 2015
26,Deon Bush,29,DB,16,0,200,6-0,Miami (FL),8/14/1993,6,1,Chicago Bears / 4th / 124th pick / 2016
7,Harrison Butker,27,K,13,0,205,6-4,Georgia Tech,7/14/1995,5,1,Carolina Panthers / 7th / 233rd pick / 2017
54,Leo Chenal,22,RLB,17,8,250,6-3,Wisconsin,10/26/2000,Rook,4,Kansas City Chiefs / 3rd / 103rd pick / 2022
74,Geron Christian,26,T,10,0,315,6-5,Louisville,9/10/1996,4,1,Washington Redskins / 3rd / 74th pick / 2018
48,Cole Christiansen,25,LB,1,0,230,6-1,Army,7/30/1997,2,0,
55,Frank Clark,29,RDE,15,15,272,6-3,Michigan,6/14/1993,7,6,Seattle Seahawks / 2nd / 63rd pick / 2015
43,Jack Cochrane,23,LB,15,0,236,6-3,South Dakota,2/9/1999,Rook,1,
6,Bryan Cook,23,S,16,1,206,6-1,"Howard,Cincinnati",9/7/1999,Rook,1,Kansas City Chiefs / 2nd / 62nd pick / 2022
51,Michael Danna,25,DE,13,0,257,6-2,"Central Michigan,Michigan",12/1/1997,2,1,Kansas City Chiefs / 5th / 177th pick / 2020
8,Carlos Dunlap,33,DE,17,2,285,6-6,Florida,2/28/1989,12,2,Cincinnati Bengals / 2nd / 54th pick / 2010
25,Clyde Edwards-Helaire,23,RB,10,6,207,5-7,LSU,4/11/1999,2,3,Kansas City Chiefs / 1st / 32nd pick / 2020
27,Rashad Fenton,25,CB,5,5,193,5-11,South Carolina,2/17/1997,3,1,Kansas City Chiefs / 6th / 201st pick / 2019
88,Jody Fortson,27,TE,13,1,235,6-4,Valdosta St.,12/7/1995,1,1,
50,Willie Gay Jr.,24,MLB,13,13,243,6-1,Mississippi St.,2/15/1998,2,6,Kansas City Chiefs / 2nd / 63rd pick / 2020
83,Noah Gray,23,TE,17,8,240,6-3,Duke,4/30/1999,1,3,Kansas City Chiefs / 5th / 162nd pick / 2021
17,Mecole Hardman,24,WR,8,5,187,5-10,Georgia,3/12/1998,3,3,Kansas City Chiefs / 2nd / 56th pick / 2019
47,Darius Harris,26,LB,17,4,238,6-2,Middle Tenn. St.,1/17/1996,2,3,
4,Chad Henne,37,QB,3,0,215,6-3,Michigan,7/2/1985,14,0,Miami Dolphins / 2nd / 57th pick / 2008
70,Malik Herring,25,DE,7,0,275,6-3,Georgia,11/9/1997,1,1,
52,Creed Humphrey,23,C,17,17,302,6-4,Oklahoma,6/28/1999,1,13,Kansas City Chiefs / 2nd / 63rd pick / 2021
13,Nazeeh Johnson,24,S,11,0,199,5-10,Marshall,7/17/1998,Rook,1,Kansas City Chiefs / 7th / 259th pick / 2022
95,Chris Jones,28,RDT,17,17,310,6-6,Mississippi St.,7/3/1994,6,16,Kansas City Chiefs / 2nd / 37th pick / 2016
2,Ronald Jones II,25,RB,6,0,208,5-11,USC,8/3/1997,4,1,Tampa Bay Buccaneers / 2nd / 38th pick / 2018
56,George Karlaftis III,21,LDE,17,17,263,6-4,Purdue,4/3/2001,Rook,7,Kansas City Chiefs / 1st / 30th pick / 2022
87,Travis Kelce,33,TE,17,17,250,6-5,Cincinnati,10/5/1989,9,12,Kansas City Chiefs / 3rd / 63rd pick / 2013
85,Marcus Kemp,27,WR,3,0,208,6-4,Hawaii,8/14/1995,5,0,
75,Darian Kinnard,23,T,1,0,322,6-5,Kentucky,12/29/1999,Rook,0,Kansas City Chiefs / 5th / 145th pick / 2022
26,Chris Lammons,26,CB,16,0,190,5-10,South Carolina,1/31/1996,3,1,
44,Elijah Lee,26,LB,5,0,230,6-3,Kansas St.,2/8/1996,5,1,Minnesota Vikings / 7th / 232nd pick / 2017
15,Patrick Mahomes,27,QB,17,17,225,6-2,Texas Tech,9/17/1995,5,19,Kansas City Chiefs / 1st / 10th pick / 2017
21,Trent McDuffie,22,RCB,11,11,193,5-11,Washington,9/13/2000,Rook,3,Kansas City Chiefs / 1st / 21st pick / 2022
1,Jerick McKinnon,30,RB,17,0,209,5-9,Georgia Southern,5/3/1992,8,7,Minnesota Vikings / 3rd / 96th pick / 2014
24,Skyy Moore,22,WR,16,3,195,5-10,Western Michigan,9/10/2000,Rook,2,Kansas City Chiefs / 2nd / 54th pick / 2022
67,Lucas Niang,24,T,7,0,315,6-6,TCU,8/19/1998,1,1,Kansas City Chiefs / 3rd / 96th pick / 2020
91,Derrick Nnadi,26,LDT,17,17,317,6-1,Florida St.,5/9/1996,4,6,Kansas City Chiefs / 3rd / 75th pick / 2018
10,Isiah Pacheco,23,RB,17,11,216,5-10,Rutgers,3/2/1999,Rook,7,Kansas City Chiefs / 7th / 251st pick / 2022
14,Cornell Powell,25,WR,3,0,204,6-0,Clemson,10/30/1997,1,0,Kansas City Chiefs / 5th / 181st pick / 2021
20,Justin Reid,25,FS,17,17,207,6-1,Stanford,2/15/1997,4,5,Houston Texans / 3rd / 68th pick / 2018
99,Khalen Saunders,26,DT,16,0,324,6-0,Western Illinois,8/9/1996,3,1,Kansas City Chiefs / 3rd / 84th pick / 2019
71,Danny Shelton,29,NT,1,0,345,6-2,Washington,8/20/1993,7,0,Cleveland Browns / 1st / 12th pick / 2015
65,Trey Smith,23,RG,16,16,321,6-6,Tennessee,6/16/1999,1,8,Kansas City Chiefs / 6th / 226th pick / 2021
82,Ihmir Smith-Marsette,23,WR,2,0,185,6-1,Iowa,8/29/1999,1,0,Minnesota Vikings / 5th / 157th pick / 2021
9,JuJu Smith-Schuster,26,WR,16,14,215,6-1,USC,11/22/1996,5,9,Pittsburgh Steelers / 2nd / 62nd pick / 2017
38,L'Jarius Sneed,25,LCB,17,17,192,6-1,Louisiana Tech,1/21/1997,2,6,Kansas City Chiefs / 4th / 138th pick / 2020
90,Taylor Stallworth,27,DT,6,0,305,6-2,South Carolina,8/18/1995,4,0,
22,Juan Thornhill,27,SS,16,16,205,6-0,Virginia,10/19/1995,3,5,Kansas City Chiefs / 2nd / 63rd pick / 2019
62,Joe Thuney,30,LG,15,15,304,6-5,North Carolina St.,11/18/1992,6,11,New England Patriots / 3rd / 78th pick / 2016
19,Kadarius Toney,23,WR,7,3,193,6-0,Florida,1/27/1999,1,2,New York Giants / 1st / 20th pick / 2021
5,Tommy Townsend,26,P,17,0,191,6-1,Florida,11/12/1996,2,3,
11,Marquez Valdes-Scantling,28,WR,17,11,206,6-4,"North Carolina St.,South Florida",10/10/1994,4,6,Green Bay Packers / 5th / 174th pick / 2018
70,Prince Tega Wanogho,25,T,17,0,308,6-5,Auburn,11/22/1997,2,1,Philadelphia Eagles / 6th / 210th pick / 2020
35,Jaylen Watson,24,DB,16,6,197,6-2,"Washington St.,Ventura College",9/17/1998,Rook,3,Kansas City Chiefs / 7th / 243rd pick / 2022
84,Justin Watson,26,WR,17,5,215,6-2,Pennsylvania,4/4/1996,4,3,Tampa Bay Buccaneers / 5th / 144th pick / 2018
98,Tershawn Wharton,24,DT,5,0,280,6-1,Missouri S&T,6/25/1998,2,0,
66,Brandon Williams,33,DT,5,0,336,6-1,Missouri Southern,2/21/1989,9,0,Baltimore Ravens / 3rd / 94th pick / 2013
23,Joshua Williams,23,DB,17,4,193,6-3,Fayetteville St.,10/17/1999,Rook,2,Kansas City Chiefs / 4th / 135th pick / 2022
41,James Winchester,33,LS,17,0,209,6-3,Oklahoma,8/6/1989,7,1,
19,Matthew Wright,26,K,2,0,174,5-11,Central Florida,3/22/1996,2,0,
77,Andrew Wylie,28,RT,17,17,309,6-6,Eastern Michigan,8/19/1994,4,8,
,Team Total,26,,17,,241.8,6-1.8,,,3.2,,
