No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
57,Montravius Adams,27,NT,17,9,304,6-4,Auburn,7/24/1995,5,4,Green Bay Packers / 3rd / 93rd pick / 2017
27,Marcus Allen,26,DB,15,0,215,6-2,Penn St.,8/7/1996,4,1,Pittsburgh Steelers / 5th / 148th pick / 2018
94,Tyson Alualu,35,NT,17,2,304,6-3,California,5/12/1987,12,2,Jacksonville Jaguars / 1st / 10th pick / 2010
52,Ryan Anderson,28,LB,5,0,255,6-2,Alabama,8/12/1994,5,0,Washington Redskins / 2nd / 49th pick / 2017
9,Chris Boswell,31,K,12,0,185,6-2,Rice,3/16/1991,7,1,
13,Miles Boykin,26,WR,16,1,220,6-4,Notre Dame,10/12/1996,3,0,Baltimore Ravens / 3rd / 93rd pick / 2019
55,Devin Bush Jr.,24,LILB,17,14,235,5-11,Michigan,7/18/1998,3,6,Pittsburgh Steelers / 1st / 10th pick / 2019
11,Chase Claypool,24,WR,8,8,238,6-4,Notre Dame,7/7/1998,2,3,Pittsburgh Steelers / 2nd / 49th pick / 2020
61,Mason Cole,26,C,17,17,298,6-5,Michigan,3/28/1996,4,7,Arizona Cardinals / 3rd / 97th pick / 2018
78,James Daniels,25,RG,17,17,327,6-4,Iowa,9/13/1997,4,7,Chicago Bears / 2nd / 39th pick / 2018
73,Carlos Davis,26,CB,1,0,320,6-2,Nebraska,8/22/1996,2,0,Pittsburgh Steelers / 7th / 232nd pick / 2020
73,Jesse Davis,31,T,14,0,309,6-6,Idaho,9/15/1991,5,1,
69,Kevin Dotson,26,LG,17,17,330,6-4,Louisiana,9/18/1996,2,7,Pittsburgh Steelers / 4th / 135th pick / 2020
34,Terrell Edmunds,25,SS,15,15,217,6-1,Virginia Tech,1/20/1997,4,5,Pittsburgh Steelers / 1st / 28th pick / 2018
39,Minkah Fitzpatrick,26,FS,15,15,207,6-1,Alabama,11/17/1996,4,11,Miami Dolphins / 1st / 11th pick / 2018
88,Pat Freiermuth,24,TE,16,8,258,6-5,Penn St.,10/25/1998,1,6,Pittsburgh Steelers / 2nd / 55th pick / 2021
81,Zach Gentry,26,TE,17,13,265,6-8,Michigan,9/10/1996,3,1,Pittsburgh Steelers / 5th / 141st pick / 2019
22,Najee Harris,24,RB,17,17,242,6-1,Alabama,3/9/1998,1,6,Pittsburgh Steelers / 1st / 24th pick / 2021
6,Pressley Harvin III,24,P,17,0,255,6-0,Georgia Tech,9/17/1998,1,2,Pittsburgh Steelers / 7th / 254th pick / 2021
60,J.C. Hassenauer,27,C,17,0,295,6-2,Alabama,9/15/1995,2,1,
97,Cameron Heyward,33,DT,17,17,295,6-5,Ohio St.,5/6/1989,11,11,Pittsburgh Steelers / 1st / 31st pick / 2011
83,Connor Heyward,23,TE,17,0,230,6-0,Michigan St.,1/22/1999,Rook,1,Pittsburgh Steelers / 6th / 208th pick / 2022
56,Alex Highsmith,25,ROLB,17,17,242,6-4,Charlotte,8/7/1997,2,8,Pittsburgh Steelers / 3rd / 102nd pick / 2020
51,Myles Jack,27,RILB,15,13,244,6-1,UCLA,9/3/1995,6,6,Jacksonville Jaguars / 2nd / 36th pick / 2016
16,Josh Jackson,26,CB,4,1,196,6-0,Iowa,4/3/1996,4,1,Green Bay Packers / 2nd / 45th pick / 2018
18,Diontae Johnson,26,WR,17,17,183,5-10,Toledo,7/5/1996,3,7,Pittsburgh Steelers / 3rd / 66th pick / 2019
40,Jamir Jones,24,LB,17,0,255,6-3,Notre Dame,6/14/1998,1,1,
23,Damontae Kazee,29,S,9,4,174,5-11,San Diego St.,6/5/1993,5,2,Atlanta Falcons / 5th / 149th pick / 2017
28,Miles Killebrew,29,S,17,0,222,6-2,Southern Utah,5/10/1993,6,1,Detroit Lions / 4th / 111th pick / 2016
46,Christian Kuntz,28,LS,17,0,228,6-1,Duquesne,4/13/1994,1,1,
98,DeMarvin Leal,22,DE,11,2,290,6-4,Texas A&M,7/1/2000,Rook,2,Pittsburgh Steelers / 3rd / 84th pick / 2022
92,Isaiahh Loudermilk,25,DT,11,3,293,6-7,Wisconsin,10/10/1997,1,2,Pittsburgh Steelers / 5th / 156th pick / 2021
35,Arthur Maulet,29,CB,17,6,190,5-9,Memphis,7/13/1993,5,3,
26,Anthony McFarland Jr.,24,RB,1,0,193,5-8,Maryland,3/4/1998,2,0,Pittsburgh Steelers / 4th / 124th pick / 2020
65,Dan Moore,24,LT,17,17,315,6-5,Texas A&M,9/28/1998,1,8,Pittsburgh Steelers / 4th / 128th pick / 2021
21,Tre Norwood,23,DB,15,3,194,6-0,Oklahoma,4/19/1999,1,1,Pittsburgh Steelers / 7th / 245th pick / 2021
99,Larry Ogunjobi,28,LDE,16,16,305,6-3,Charlotte,6/3/1994,5,7,Cleveland Browns / 3rd / 65th pick / 2017
76,Chukwuma Okorafor,25,RT,17,17,320,6-6,Western Michigan,8/8/1997,4,7,Pittsburgh Steelers / 3rd / 92nd pick / 2018
89,Gunner Olszewski,26,WR,16,2,190,6-0,Bemidji St.,11/26/1996,3,1,
14,George Pickens,21,WR,17,12,200,6-3,Georgia,3/4/2001,Rook,7,Pittsburgh Steelers / 2nd / 52nd pick / 2022
8,Kenny Pickett,24,QB,13,12,220,6-3,Pittsburgh,6/6/1998,Rook,7,Pittsburgh Steelers / 1st / 20th pick / 2022
42,James Pierre,26,CB,17,2,185,6-2,Florida Atlantic,9/16/1996,2,2,
50,Malik Reed,26,LB,14,2,245,6-2,Nevada,8/5/1996,3,2,
37,Elijah Riley,24,S,4,0,205,6-0,Army,6/12/1998,2,0,
93,Mark Robinson,23,LB,4,2,235,5-11,"Presbyterian,SE Missouri St.,Mississippi",8/14/1999,Rook,1,Pittsburgh Steelers / 7th / 225th pick / 2022
