No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
39,Jamal Agnew,27,WR,15,0,190,5-10,San Diego,4/3/1995,5,2,Detroit Lions / 5th / 165th pick / 2017
85,Dan Arnold,27,TE,17,0,240,6-6,Wisconsin–Platteville,3/15/1995,4,1,
78,Ben Bartch,24,LG,5,5,315,6-6,Saint John's (MN),7/22/1998,2,2,Jacksonville Jaguars / 4th / 116th pick / 2020
3,C.J. Beathard,29,QB,4,0,215,6-2,Iowa,11/16/1993,5,0,San Francisco 49ers / 3rd / 104th pick / 2017
30,Montaric Brown,23,CB,8,1,190,6-0,Arkansas,8/24/1999,Rook,1,Jacksonville Jaguars / 7th / 222nd pick / 2022
29,Tevaughn Campbell,29,DB,5,0,200,6-0,Regina,6/14/1993,2,0,
32,Tyson Campbell,22,RCB,17,17,195,6-1,Georgia,3/17/2000,1,7,Jacksonville Jaguars / 2nd / 33rd pick / 2021
45,K'Lavon Chaisson,23,LB,9,0,254,6-3,LSU,7/25/1999,2,1,Jacksonville Jaguars / 1st / 20th pick / 2020
38,Andre Cisco,22,FS,15,15,210,6-0,Syracuse,3/23/2000,1,6,Jacksonville Jaguars / 3rd / 65th pick / 2021
27,Chris Claybrooks,25,CB,17,0,180,5-9,Memphis,7/17/1997,2,1,Jacksonville Jaguars / 7th / 223rd pick / 2020
24,Snoop Conner,23,RB,8,0,222,5-10,Mississippi,12/16/1999,Rook,0,Jacksonville Jaguars / 5th / 154th pick / 2022
9,Logan Cooke,27,P,17,0,230,6-5,Mississippi St.,7/28/1995,4,3,Jacksonville Jaguars / 7th / 247th pick / 2018
64,Coy Cronk,24,T,3,0,318,6-4,"Indiana,Iowa",1/18/1998,1,0,
47,De'Shaan Dixon,24,OLB,3,0,247,6-4,Norfolk St.,12/16/1998,Rook,0,
17,Evan Engram,28,TE,17,14,240,6-3,Mississippi,9/2/1994,5,7,New York Giants / 1st / 23rd pick / 2017
1,Travis Etienne,23,RB,17,12,215,5-10,Clemson,1/26/1999,1,11,Jacksonville Jaguars / 1st / 25th pick / 2021
89,Luke Farrell,25,TE,17,0,250,6-5,Ohio St.,10/14/1997,1,0,Jacksonville Jaguars / 5th / 145th pick / 2021
94,Folorunso Fatukasi,27,RDE,14,13,318,6-4,Connecticut,3/4/1995,4,5,New York Jets / 6th / 180th pick / 2018
79,Luke Fortner,24,C,17,17,307,6-4,Kentucky,5/15/1998,Rook,8,Jacksonville Jaguars / 3rd / 65th pick / 2022
27,Tyree Gillespie,24,S,3,0,202,6-0,Missouri,9/5/1998,1,0,Las Vegas Raiders / 4th / 143rd pick / 2021
96,Adam Gotsis,30,DE,15,1,290,6-4,Georgia Tech,9/23/1992,6,2,Denver Broncos / 2nd / 63rd pick / 2016
26,Shaquill Griffin,27,LCB,5,5,198,6-0,Central Florida,7/20/1995,5,2,Seattle Seahawks / 3rd / 90th pick / 2017
52,DaVon Hamilton,25,NT,17,14,335,6-4,Ohio St.,2/1/1997,2,6,Jacksonville Jaguars / 3rd / 73rd pick / 2020
73,Blake Hance,26,T,9,0,310,6-5,Northwestern,1/11/1996,1,1,
22,Jamycal Hasty,26,RB,17,0,205,5-8,Baylor,9/12/1996,2,2,
37,Tre Herndon,26,CB,15,1,185,5-11,Vanderbilt,3/5/1996,4,1,
41,Josh Hines-Allen,25,LOLB,17,17,255,6-5,Kentucky,7/13/1997,3,8,Jacksonville Jaguars / 1st / 7th pick / 2019
2,Rayshawn Jenkins,28,SS,17,17,220,6-1,Miami (FL),1/25/1994,5,7,Los Angeles Chargers / 4th / 113th pick / 2017
57,Caleb Johnson,24,LB,17,0,220,6-2,Houston Christian,7/28/1998,1,1,
11,Marvin Jones,32,WR,16,10,199,6-2,California,3/12/1990,10,5,Cincinnati Bengals / 5th / 166th pick / 2012
15,Tim Jones,24,WR,17,1,200,6-1,Southern Miss,5/16/1998,1,0,
7,Zay Jones,27,WR,16,15,200,6-2,East Carolina,3/30/1995,5,8,Buffalo Bills / 2nd / 37th pick / 2017
