No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
77,Jack Anderson,24,G,12,2,314,6-4,Texas Tech,10/12/1998,1,1,Buffalo Bills / 7th / 236th pick / 2021
90,Ryder Anderson,24,DT,7,2,280,6-6,"Mississippi,Indiana",10/15/1998,Rook,1,
26,Saquon Barkley,25,RB,16,16,233,6-0,Penn St.,2/9/1997,4,11,New York Giants / 1st / 2nd pick / 2018
45,Daniel Bellinger,22,TE,12,11,255,6-6,San Diego St.,9/22/2000,Rook,3,New York Giants / 4th / 112th pick / 2022
24,Dane Belton,22,S,15,5,190,6-1,Iowa,12/7/2000,Rook,3,New York Giants / 4th / 114th pick / 2022
68,Ben Bredeson,24,LG,11,8,315,6-5,Michigan,2/20/1998,2,3,Baltimore Ravens / 4th / 143rd pick / 2020
31,Matt Breida,27,RB,17,1,195,5-10,Georgia Southern,2/28/1995,5,3,
23,Gary Brightwell,23,RB,17,0,220,6-1,Arizona,2/28/1999,1,1,New York Giants / 6th / 196th pick / 2021
47,Cam Brown,24,LB,17,0,230,6-5,Penn St.,4/1/1998,2,1,New York Giants / 6th / 183rd pick / 2020
34,Terrell Burgess,24,S,1,0,202,5-11,Utah,11/12/1998,2,0,Los Angeles Rams / 3rd / 104th pick / 2020
91,Vernon Butler,28,DT,1,0,330,6-4,Louisiana Tech,6/14/1994,6,0,Carolina Panthers / 1st / 30th pick / 2016
83,Lawrence Cager,25,WR,6,3,220,6-5,Georgia,8/20/1997,2,1,
59,Austin Calitro,28,LB,5,2,240,6-0,Villanova,1/10/1994,4,1,
21,Landon Collins,28,S,6,1,218,6-0,Alabama,1/10/1994,7,1,New York Giants / 2nd / 33rd pick / 2015
52,Carter Coughlin,25,LB,17,0,240,6-3,Minnesota,7/20/1997,2,1,New York Giants / 7th / 218th pick / 2020
48,Tae Crowder,25,RILB,13,8,235,6-3,Georgia,3/12/1997,2,4,New York Giants / 7th / 255th pick / 2020
70,Korey Cunningham,27,T,1,0,305,6-6,Cincinnati,5/17/1995,4,0,Arizona Cardinals / 7th / 254th pick / 2018
98,D.J. Davidson,23,DT,5,0,320,6-5,Arizona St.,12/16/1999,Rook,0,New York Giants / 5th / 147th pick / 2022
57,Jarrad Davis,28,LB,1,1,238,6-1,Florida,11/16/1994,5,0,Detroit Lions / 1st / 21st pick / 2017
67,Wyatt Davis,23,G,1,0,315,6-4,Ohio St.,2/17/1999,1,0,Minnesota Vikings / 3rd / 86th pick / 2021
71,Justin Ellis,32,DT,17,4,350,6-2,Louisiana Tech,12/27/1990,8,3,Oakland Raiders / 4th / 107th pick / 2014
75,Joshua Ezeudu,23,G,10,2,310,6-4,North Carolina,9/19/1999,Rook,1,New York Giants / 3rd / 67th pick / 2022
76,Jon Feliciano,30,C,15,15,325,6-4,Miami (FL),2/10/1992,7,6,Oakland Raiders / 4th / 128th pick / 2015
28,Cordale Flott,21,CB,11,6,175,6-2,LSU,8/24/2001,Rook,2,New York Giants / 3rd / 81st pick / 2022
49,Tomon Fox,24,LB,16,1,245,6-2,North Carolina,3/16/1998,Rook,2,
9,Graham Gano,35,K,17,0,202,6-2,Florida St.,4/9/1987,13,5,
65,Nick Gates,27,LG,10,8,312,6-5,Nebraska,11/27/1995,3,3,
38,Zyon Gilbert,23,CB,3,1,193,6-0,Florida Atlantic,2/4/1999,Rook,0,
17,Jamie Gillan,25,P,17,0,207,6-1,Ark-Pine Bluff,7/4/1997,3,2,
64,Mark Glowinski,30,RG,16,16,310,6-4,"Lackawanna,West Virginia",5/3/1992,7,6,Seattle Seahawks / 4th / 134th pick / 2015
19,Kenny Golladay,29,WR,12,4,213,6-4,Northern Illinois,11/3/1993,5,1,Detroit Lions / 3rd / 96th pick / 2017
62,Devery Hamilton,24,T,9,0,310,6-6,"Stanford,Duke",4/19/1998,1,1,
96,Jack Heflin,24,DT,1,0,304,6-3,"Northern Illinois,Iowa",3/8/1998,1,0,
18,Isaiah Hodgins,24,WR,8,5,200,6-3,Oregon St.,10/21/1998,1,3,Buffalo Bills / 6th / 207th pick / 2020
30,Darnay Holmes,24,CB,15,2,195,5-10,UCLA,6/23/1998,2,1,New York Giants / 4th / 110th pick / 2020
88,Tanner Hudson,28,TE,11,0,239,6-5,Southern Arkansas,11/12/1994,3,1,
22,Adoree' Jackson,27,LCB,10,10,185,5-11,USC,9/18/1995,5,4,Tennessee Titans / 1st / 18th pick / 2017
80,Richie James,27,WR,17,4,185,5-9,Middle Tenn. St.,9/5/1995,4,6,San Francisco 49ers / 7th / 240th pick / 2018
36,Tony Jefferson,30,DB,9,1,212,5-11,Oklahoma,1/27/1992,9,1,
84,Marcus Johnson,28,WR,14,7,207,6-1,Texas,8/5/1994,5,1,
8,Daniel Jones,25,QB,16,16,230,6-5,Duke,5/27/1997,3,15,New York Giants / 1st / 6th pick / 2019
58,Casey Kreiter,32,LS,17,0,250,6-1,Iowa,8/13/1990,6,1,
97,Dexter Lawrence,25,NT,16,16,340,6-4,Clemson,11/12/1997,3,13,New York Giants / 1st / 17th pick / 2019
35,Justin Layne,24,CB,7,0,192,6-2,Michigan St.,1/12/1998,3,0,Pittsburgh Steelers / 3rd / 83rd pick / 2019
66,Shane Lemieux,25,G,1,1,310,6-4,Oregon,5/12/1997,2,0,New York Giants / 5th / 150th pick / 2020
20,Julian Love,24,SS,16,16,195,5-11,Notre Dame,3/19/1998,3,6,New York Giants / 4th / 108th pick / 2019
36,Nick McCloud,24,LCB,14,8,193,6-1,"North Carolina St.,Notre Dame",7/9/1998,1,3,
41,Micah McFadden,22,RILB,17,7,232,6-2,Indiana,1/3/2000,Rook,4,New York Giants / 5th / 146th pick / 2022
29,Xavier McKinney,24,FS,9,9,201,6-0,Alabama,8/8/1998,2,3,New York Giants / 2nd / 36th pick / 2020
96,Henry Mondeaux,27,DT,11,4,280,6-4,Oregon,9/19/1995,2,2,
37,Fabian Moreau,28,RCB,14,11,204,6-0,UCLA,4/9/1994,5,4,Washington Redskins / 3rd / 81st pick / 2017
85,Chris Myarick,27,FB,16,8,261,6-5,Temple,10/6/1995,2,1,
73,Evan Neal,22,RT,13,13,340,6-7,Alabama,9/19/2000,Rook,6,New York Giants / 1st / 7th pick / 2022
51,Azeez Ojulari,22,LDE,7,5,240,6-3,Georgia,6/16/2000,1,3,New York Giants / 2nd / 50th pick / 2021
74,Matt Peart,25,T,9,0,318,6-7,Connecticut,6/11/1997,2,1,New York Giants / 3rd / 99th pick / 2020
79,Tyre Phillips,25,T,12,5,330,6-5,"East Mississippi CC,Mississippi St.",1/29/1997,2,3,Baltimore Ravens / 3rd / 106th pick / 2020
27,Jason Pinnock,23,FS,14,5,200,6-0,Pittsburgh,6/30/1999,1,2,New York Jets / 5th / 175th pick / 2021
33,Aaron Robinson,24,CB,2,2,195,6-1,"Alabama,Central Florida",11/10/1998,1,1,New York Giants / 3rd / 71st pick / 2021
17,Wan'Dale Robinson,21,WR,6,3,185,5-8,"Nebraska,Kentucky",1/5/2001,Rook,2,New York Giants / 2nd / 43rd pick / 2022
95,Quincy Roche,24,LB,3,0,245,6-3,"Temple,Miami (FL)",2/10/1998,1,0,Pittsburgh Steelers / 6th / 216th pick / 2021
3,Sterling Shepard,29,WR,3,2,194,5-10,Oklahoma,2/10/1993,6,1,New York Giants / 2nd / 40th pick / 2016
13,David Sills,26,WR,9,5,211,6-3,West Virginia,5/29/1996,1,1,
86,Darius Slayton,25,WR,16,11,198,6-1,Auburn,1/12/1997,3,7,New York Giants / 5th / 171st pick / 2019
94,Elerson Smith,24,LB,5,0,245,6-7,Northern Iowa,7/17/1998,1,0,New York Giants / 4th / 116th pick / 2021
45,Jaylon Smith,27,LILB,13,11,240,6-2,Notre Dame,6/14/1995,5,5,Dallas Cowboys / 2nd / 34th pick / 2016
2,Tyrod Taylor,33,QB,3,0,217,6-1,Virginia Tech,8/3/1989,11,1,Baltimore Ravens / 6th / 180th pick / 2011
5,Kayvon Thibodeaux,22,ROLB,14,14,258,6-5,Oregon,12/15/2000,Rook,7,New York Giants / 1st / 5th pick / 2022
78,Andrew Thomas,23,LT,16,16,315,6-5,Georgia,1/22/1999,2,12,New York Giants / 1st / 4th pick / 2020
39,Trenton Thompson,25,S,1,0,196,6-1,San Diego St.,12/18/1997,1,0,
89,Kadarius Toney,23,WR,2,1,193,6-0,Florida,1/27/1999,1,0,New York Giants / 1st / 20th pick / 2021
46,Nick Vannett,29,TE,6,3,257,6-5,Ohio St.,3/6/1993,6,0,Seattle Seahawks / 3rd / 94th pick / 2016
55,Jihad Ward,28,LDE,17,11,285,6-5,Illinois,5/11/1994,6,5,Oakland Raiders / 2nd / 44th pick / 2016
12,Davis Webb,27,QB,1,1,225,6-5,California,1/22/1995,1,1,New York Giants / 3rd / 87th pick / 2017
21,Antonio Williams,25,RB,2,0,210,5-11,North Carolina,10/22/1997,2,0,
99,Leonard Williams,28,RDE,12,12,300,6-5,USC,6/20/1994,7,6,New York Jets / 1st / 6th pick / 2015
93,Nick Williams,32,DE,8,7,310,6-4,Samford,2/21/1990,8,3,Pittsburgh Steelers / 7th / 223rd pick / 2013
25,Rodarius Williams,26,CB,3,1,193,6-0,Oklahoma St.,9/12/1996,1,1,New York Giants / 6th / 201st pick / 2021
53,Oshane Ximines,26,LB,15,4,254,6-4,Old Dominion,12/7/1996,3,3,New York Giants / 3rd / 95th pick / 2019
,Team Total,25.7,,17,,246.4,6-2.5,,,2.9,,
