No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
11,Brandon Aiyuk,24,WR,17,17,200,6-0,Arizona St.,3/17/1998,2,11,San Francisco 49ers / 1st / 25th pick / 2020
51,Azeez Al-Shaair,25,LLB,12,9,228,6-2,Florida Atlantic,8/4/1997,3,5,
91,Arik Armstead,29,RDT,9,9,290,6-7,Oregon,11/15/1993,7,4,San Francisco 49ers / 1st / 17th pick / 2015
65,Aaron Banks,25,LG,16,16,325,6-5,Notre Dame,9/3/1997,1,7,San Francisco 49ers / 2nd / 48th pick / 2021
97,Nick Bosa,25,RDE,16,16,266,6-4,Ohio St.,10/23/1997,3,18,San Francisco 49ers / 1st / 2nd pick / 2019
64,Jake Brendel,30,C,17,17,299,6-4,UCLA,9/10/1992,6,8,
60,Daniel Brunskill,28,G,14,2,300,6-5,San Diego St.,1/27/1994,3,2,
74,Spencer Burford,22,RG,16,16,300,6-4,Texas-San Antonio,7/19/2000,Rook,7,San Francisco 49ers / 4th / 134th pick / 2022
48,Oren Burks,27,LB,17,3,233,6-3,Vanderbilt,3/21/1995,4,2,Green Bay Packers / 3rd / 88th pick / 2018
28,Tevin Coleman,29,RB,5,0,210,6-1,Indiana,4/16/1993,7,1,Atlanta Falcons / 3rd / 73rd pick / 2015
32,Tyrion Davis-Price,22,RB,6,0,219,6-1,LSU,10/23/2000,Rook,1,San Francisco 49ers / 3rd / 93rd pick / 2022
82,Ross Dwelley,27,TE,12,0,235,6-5,San Diego,1/26/1995,4,1,
50,Michael Dwumfour,24,DT,2,0,296,6-1,"Michigan,Rutgers",1/1/1998,1,0,
56,Samson Ebukam,27,LDE,15,15,245,6-3,Eastern Washington,5/9/1995,5,7,Los Angeles Rams / 4th / 125th pick / 2017
45,Demetrius Flannigan-Fowles,26,LB,17,0,223,6-2,Arizona,9/4/1996,2,1,
10,Jimmy Garoppolo,31,QB,11,10,225,6-2,Eastern Illinois,11/2/1991,8,10,New England Patriots / 2nd / 62nd pick / 2014
31,Tashaun Gipson,32,FS,17,17,212,5-11,Wyoming,8/7/1990,10,7,
90,Kevin Givens,25,LDT,13,11,285,6-1,Penn St.,3/1/1997,3,5,
9,Robbie Gould,40,K,17,0,190,6-0,Penn St.,12/6/1982,17,3,
6,Danny Gray,23,WR,13,0,200,6-0,"Blinn College (TX),SMU",4/1/1999,Rook,0,San Francisco 49ers / 3rd / 105th pick / 2022
