No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
59,Dakota Allen,27,LB,2,0,232,6-1,"Texas Tech,East Mississippi CC",11/2/1995,3,0,Los Angeles Rams / 7th / 251st pick / 2019
76,Calvin Anderson,26,RT,14,7,305,6-5,"Rice,Texas",3/25/1996,2,3,
36,Tyler Badie,22,RB,1,0,197,5-8,Missouri,2/7/2000,Rook,0,Baltimore Ravens / 6th / 196th pick / 2022
75,Quinn Bailey,27,T,8,1,323,6-6,Arizona St.,10/18/1995,3,1,
34,Essang Bassey,24,CB,14,0,190,5-10,Wake Forest,8/12/1998,2,1,
83,Andrew Beck,26,TE,13,4,255,6-3,Texas,5/15/1996,3,0,
46,Jacob Bobenmoyer,25,LS,13,0,235,6-2,Northern Colorado,5/28/1997,2,1,
72,Garett Bolles,30,LT,5,5,300,6-5,"Snow College (UT),Utah",5/27/1992,5,2,Denver Broncos / 1st / 20th pick / 2017
42,Nik Bonitto,23,OLB,15,1,240,6-3,Oklahoma,9/26/1999,Rook,2,Denver Broncos / 2nd / 64th pick / 2022
26,Mike Boone,27,RB,9,0,206,5-10,Cincinnati,6/30/1995,4,1,
56,Baron Browning,23,ROLB,14,8,240,6-3,Ohio St.,2/19/1999,1,6,Denver Broncos / 3rd / 105th pick / 2021
55,Bradley Chubb,26,LOLB,8,8,268,6-4,North Carolina St.,6/24/1996,4,4,Denver Broncos / 1st / 5th pick / 2018
16,Tyrie Cleveland,25,WR,6,0,205,6-2,Florida,9/20/1997,2,0,Denver Broncos / 7th / 252nd pick / 2020
69,Tom Compton,33,T,1,0,315,6-6,South Dakota,5/10/1989,9,0,Washington Redskins / 6th / 193rd pick / 2012
53,Jonathon Cooper,24,LOLB,14,9,257,6-4,Ohio St.,1/8/1998,1,5,Denver Broncos / 7th / 239th pick / 2021
79,Lloyd Cushenberry III,25,C,8,8,315,6-4,LSU,11/22/1997,2,3,Denver Broncos / 3rd / 83rd pick / 2020
21,Ronald Darby,28,RCB,5,5,193,5-11,Florida St.,1/2/1994,7,2,Buffalo Bills / 2nd / 50th pick / 2015
67,Christian DiLauro,28,T,3,0,300,6-6,Illinois,11/11/1994,1,0,
80,Greg Dulcich,22,TE,10,6,245,6-4,UCLA,3/26/2000,Rook,3,Denver Broncos / 3rd / 80th pick / 2022
19,Chase Edmonds,26,RB,5,1,201,5-9,Fordham,4/13/1996,4,1,Arizona Cardinals / 4th / 134th pick / 2018
73,Cameron Fleming,30,LT/RT,15,15,320,6-5,Stanford,9/3/1992,8,6,New England Patriots / 4th / 140th pick / 2014
48,Mitchell Fraboni,26,LS,4,0,223,6-2,Arizona St.,10/28/1996,1,0,
71,Elijah Garcia,24,DT,2,0,302,6-5,Rice,3/11/1998,Rook,0,
61,Graham Glasgow,30,C/RG,17,13,315,6-6,Michigan,7/19/1992,6,4,Detroit Lions / 3rd / 95th pick / 2016
25,Melvin Gordon,29,RB,10,6,215,6-1,Wisconsin,4/13/1993,7,3,San Diego Chargers / 1st / 15th pick / 2015
5,Randy Gregory,30,DE,6,3,242,6-5,"Arizona Western,Nebraska",11/23/1992,7,2,Dallas Cowboys / 2nd / 60th pick / 2015
50,Jonas Griffith,25,RILB,9,8,250,6-4,Indiana St.,1/27/1997,1,4,
1,KJ Hamler,23,WR,7,0,178,5-9,Penn St.,7/8/1999,2,1,Denver Broncos / 2nd / 46th pick / 2020
41,Anthony Harris,31,S,3,0,202,6-1,Virginia,10/9/1991,7,0,
92,Jonathan Harris,26,DT,8,4,295,6-5,Lindenwood,8/4/1996,3,2,
91,Matt Henningsen,23,DE,17,0,291,6-3,Wisconsin,5/1/1999,Rook,1,Denver Broncos / 6th / 206th pick / 2022
29,Faion Hicks,25,CB,2,0,192,5-10,Wisconsin,9/17/1997,Rook,0,Denver Broncos / 7th / 232nd pick / 2022
9,Kendall Hinton,25,WR,12,5,195,6-0,Wake Forest,2/19/1997,2,2,
22,Kareem Jackson,34,SS,17,17,196,5-10,Alabama,4/10/1988,12,6,Houston Texans / 1st / 20th pick / 2010
25,Lamar Jackson,24,CB,3,0,208,6-2,Nebraska,4/13/1998,2,0,
10,Jerry Jeudy,23,WR,15,14,195,6-1,Alabama,4/24/1999,2,7,Denver Broncos / 1st / 15th pick / 2020
47,Josey Jewell,28,LILB,13,13,236,6-1,Iowa,12/25/1994,4,8,Denver Broncos / 4th / 106th pick / 2018
