No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
81,Mo Alie-Cox,29,TE,17,11,267,6-5,Virginia Commonwealth,9/19/1993,4,1,
39,Darrell Baker,24,CB,3,0,190,6-1,Georgia Southern,3/27/1998,Rook,0,
52,Ben Banogu,26,LB,16,0,252,6-3,TCU,1/19/1996,3,1,Indianapolis Colts / 2nd / 49th pick / 2019
32,Julian Blackmon,24,FS,14,11,202,6-0,Utah,8/24/1998,2,4,Indianapolis Colts / 3rd / 85th pick / 2020
3,Rodrigo Blankenship,25,K,1,0,184,6-1,Georgia,1/29/1997,2,0,
38,Tony Brown,27,DB,16,0,200,6-0,Alabama,7/13/1995,4,1,
99,DeForest Buckner,28,DT,17,16,295,6-7,Oregon,3/17/1994,6,8,San Francisco 49ers / 1st / 7th pick / 2016
1,Parris Campbell,25,WR,17,16,208,6-0,Ohio St.,7/16/1997,3,5,Indianapolis Colts / 2nd / 59th pick / 2019
92,Kameron Cline,24,DE,3,0,283,6-4,South Dakota,2/19/1998,2,0,
15,Keke Coutee,25,WR,8,0,180,5-11,Texas Tech,1/14/1997,4,0,Houston Texans / 4th / 103rd pick / 2018
68,Byron Cowart,26,DT,17,0,300,6-3,Maryland,5/20/1996,3,1,New England Patriots / 5th / 159th pick / 2019
20,Nick Cross,21,S,16,2,212,6-0,Maryland,9/10/2001,Rook,2,Indianapolis Colts / 3rd / 96th pick / 2022
43,Trevor Denbow,24,S,2,0,208,5-10,"Navarro,SMU",8/26/1998,Rook,0,
57,JoJo Domann,25,LB,16,0,230,6-1,Nebraska,7/28/1997,Rook,1,
16,Ashton Dulin,25,WR,12,2,215,6-2,Malone,5/15/1997,3,1,
4,Sam Ehlinger,24,QB,4,3,225,6-2,Texas,9/30/1998,1,2,Indianapolis Colts / 6th / 218th pick / 2021
31,Brandon Facyson,28,CB,16,4,197,6-2,Virginia Tech,9/8/1994,4,2,
84,Ethan Fernea,24,WR,1,0,195,6-0,UCLA,3/2/1998,Rook,0,
30,Dallis Flowers,25,CB,13,1,196,6-1,"Grand View,Pittsburg St.",6/4/1997,Rook,1,
9,Nick Foles,33,QB,3,2,262,6-6,Arizona,1/20/1989,10,1,Philadelphia Eagles / 3rd / 88th pick / 2012
44,Zaire Franklin,26,RLB/MLB,17,17,235,6-0,Syracuse,7/2/1996,4,8,Indianapolis Colts / 7th / 235th pick / 2018
75,Will Fries,24,RG,16,9,305,6-6,Penn St.,4/4/1998,1,3,Indianapolis Colts / 7th / 248th pick / 2021
37,Jake Funk,24,RB,1,0,205,5-10,Maryland,1/11/1998,1,0,Los Angeles Rams / 7th / 233rd pick / 2021
5,Stephon Gilmore,32,RCB,16,16,190,6-0,South Carolina,9/19/1990,10,5,Buffalo Bills / 1st / 10th pick / 2012
83,Kylen Granson,24,TE,13,4,242,6-3,"Rice,SMU",3/27/1998,1,2,Indianapolis Colts / 4th / 127th pick / 2021
6,Matt Haack,28,P,17,0,205,6-0,Arizona St.,7/25/1994,5,2,
21,Nyheim Hines,26,RB,7,4,196,5-9,North Carolina St.,11/12/1996,4,1,Indianapolis Colts / 4th / 104th pick / 2018
35,Deon Jackson,23,RB,16,2,218,6-0,Duke,2/18/1999,1,3,
93,Eric Johnson,24,DT,14,0,299,6-4,Missouri State,7/16/1998,Rook,1,Indianapolis Colts / 5th / 159th pick / 2022
48,Nikola Kalinic,25,TE,7,2,248,6-4,York,1/21/1997,1,0,
55,Khalid Kareem,24,DE,4,0,268,6-4,Notre Dame,4/28/1998,2,0,Cincinnati Bengals / 5th / 147th pick / 2020
73,Dennis Kelly,32,T,16,3,321,6-8,Purdue,1/16/1990,10,2,Philadelphia Eagles / 5th / 153rd pick / 2012
78,Ryan Kelly,29,C,17,17,307,6-4,Alabama,5/30/1993,6,5,Indianapolis Colts / 1st / 18th pick / 2016
53,Shaquille Leonard,27,LB,3,1,230,6-2,South Carolina St.,7/27/1995,4,1,Indianapolis Colts / 2nd / 36th pick / 2018
94,Tyquan Lewis,27,DE,7,4,267,6-3,Ohio St.,1/30/1995,4,2,Indianapolis Colts / 2nd / 64th pick / 2018
30,Phillip Lindsay,28,RB,3,0,190,5-8,Colorado,7/24/1994,4,0,
59,Cameron McGrone,22,LB,1,0,236,6-1,Michigan,6/22/2000,1,0,New England Patriots / 5th / 177th pick / 2021
7,Chase McLaughlin,26,K,16,0,190,6-0,Illinois,4/9/1996,3,3,
26,Rodney McLeod,32,SS,17,15,185,5-10,Virginia,6/23/1990,10,5,
23,Kenny Moore,27,LCB,12,12,190,5-9,Valdosta St.,8/23/1995,5,4,
