Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1.0,Baltimore Ravens,17.0,6.0,18.0,1.0,,,1.0,,26.0,2.0,7.0,,18.0,19.0,32.0,35.0,3.0,280.0,16.5
2.0,Kansas City Chiefs,17.0,10.0,19.0,,,1.0,2.0,,32.0,3.0,4.0,,28.0,28.0,22.0,26.0,1.0,294.0,17.3
3.0,San Francisco 49ers,17.0,10.0,20.0,,,,1.0,,31.0,1.0,6.0,,23.0,25.0,29.0,33.0,,298.0,17.5
4.0,Buffalo Bills,17.0,14.0,18.0,1.0,1.0,,,,34.0,2.0,6.0,,25.0,26.0,26.0,28.0,,311.0,18.3
5.0,Dallas Cowboys,17.0,14.0,21.0,,,1.0,,,36.0,1.0,5.0,,31.0,31.0,22.0,26.0,,315.0,18.5
6.0,Pittsburgh Steelers,17.0,9.0,23.0,,,,,,32.0,6.0,6.0,,24.0,26.0,32.0,37.0,,324.0,19.1
7.0,Tampa Bay Buccaneers,17.0,11.0,23.0,,,,,,34.0,3.0,8.0,,26.0,26.0,29.0,36.0,1.0,325.0,19.1
8.0,New Orleans Saints,17.0,10.0,22.0,,,,2.0,,34.0,2.0,5.0,,29.0,29.0,30.0,35.0,,327.0,19.2
9.0,Las Vegas Raiders,17.0,15.0,21.0,,,,1.0,,37.0,,1.0,,34.0,36.0,25.0,30.0,,331.0,19.5
10.0,Green Bay Packers,17.0,15.0,21.0,1.0,,,,,37.0,4.0,6.0,,27.0,31.0,31.0,38.0,,350.0,20.6
11.0,Houston Texans,17.0,19.0,17.0,,,,1.0,,37.0,6.0,8.0,,27.0,29.0,30.0,36.0,1.0,353.0,20.8
12.0,New York Jets,17.0,14.0,19.0,1.0,,,2.0,,36.0,2.0,2.0,,31.0,34.0,34.0,39.0,1.0,355.0,20.9
13.0,Minnesota Vikings,17.0,14.0,23.0,,,,1.0,,38.0,2.0,3.0,,32.0,35.0,32.0,36.0,1.0,362.0,21.3
14.0,Cleveland Browns,17.0,15.0,23.0,,1.0,1.0,4.0,,44.0,1.0,3.0,,41.0,41.0,17.0,24.0,2.0,362.0,21.3
15.0,New England Patriots,17.0,14.0,19.0,,,1.0,4.0,,38.0,6.0,6.0,,31.0,32.0,31.0,38.0,1.0,366.0,21.5
16.0,Tennessee Titans,17.0,10.0,20.0,,,1.0,1.0,1.0,33.0,1.0,2.0,,29.0,30.0,46.0,47.0,,367.0,21.6
17.0,Jacksonville Jaguars,17.0,15.0,27.0,,1.0,1.0,,,44.0,1.0,2.0,,42.0,42.0,21.0,26.0,,371.0,21.8
18.0,Atlanta Falcons,17.0,11.0,24.0,,,,1.0,,36.0,1.0,2.0,,34.0,34.0,39.0,41.0,2.0,373.0,21.9
19.0,Los Angeles Rams,17.0,14.0,24.0,2.0,,,1.0,,41.0,5.0,7.0,,29.0,33.0,30.0,38.0,1.0,377.0,22.2
20.0,Chicago Bears,17.0,8.0,31.0,1.0,,2.0,2.0,,44.0,2.0,5.0,,37.0,39.0,24.0,33.0,1.0,379.0,22.3
21.0,Cincinnati Bengals,17.0,17.0,23.0,,,,1.0,,41.0,3.0,3.0,,36.0,38.0,32.0,35.0,,384.0,22.6
22.0,Miami Dolphins,17.0,15.0,27.0,1.0,1.0,1.0,3.0,,48.0,2.0,2.0,,45.0,46.0,18.0,21.0,,391.0,23.0
23.0,Detroit Lions,17.0,15.0,28.0,,,1.0,2.0,,46.0,1.0,4.0,,39.0,41.0,26.0,30.0,,395.0,23.2
24.0,Los Angeles Chargers,17.0,18.0,26.0,,,2.0,1.0,,47.0,,1.0,,44.0,46.0,24.0,27.0,,398.0,23.4
25.0,Seattle Seahawks,17.0,24.0,21.0,,,,,,45.0,1.0,1.0,,43.0,44.0,29.0,35.0,,402.0,23.6
26.0,New York Giants,17.0,24.0,21.0,,,,2.0,1.0,48.0,1.0,2.0,,42.0,46.0,25.0,32.0,,407.0,23.9
27.0,Denver Broncos,17.0,15.0,29.0,,,2.0,,,46.0,2.0,4.0,,41.0,42.0,30.0,35.0,1.0,413.0,24.3
28.0,Indianapolis Colts,17.0,22.0,21.0,,,1.0,,,44.0,,1.0,,39.0,42.0,36.0,41.0,1.0,415.0,24.4
29.0,Carolina Panthers,17.0,25.0,19.0,,,2.0,3.0,,49.0,1.0,2.0,,45.0,47.0,25.0,26.0,,416.0,24.5
30.0,Philadelphia Eagles,17.0,13.0,35.0,,,1.0,2.0,,51.0,4.0,6.0,,45.0,45.0,23.0,26.0,,428.0,25.2
31.0,Arizona Cardinals,17.0,19.0,32.0,,,,3.0,,54.0,1.0,2.0,,51.0,52.0,26.0,31.0,,455.0,26.8
32.0,Washington Commanders,17.0,15.0,39.0,,,1.0,4.0,,59.0,3.0,5.0,,53.0,54.0,35.0,39.0,,518.0,30.5
,Avg Team,,14.7,23.6,0.3,0.1,0.6,1.4,0.1,40.7,2.2,4.0,0.0,35.0,36.5,28.5,33.1,0.5,370.1,21.8
,League Total,,470.0,754.0,8.0,4.0,19.0,45.0,2.0,1302.0,70.0,127.0,1.0,1121.0,1169.0,911.0,1060.0,17.0,11842.0,21.8
,Avg Tm/G,,0.86,1.39,0.01,0.01,0.03,0.08,,2.39,0.13,0.23,0.0,2.06,2.15,1.67,1.95,0.03,21.8,
