No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
59.0,Dakota Allen,27.0,LB,2,0.0,232.0,6-1,"Texas Tech,East Mississippi CC",11/2/1995,3,0.0,Los Angeles Rams / 7th / 251st pick / 2019
76.0,Calvin Anderson,26.0,RT,14,7.0,300.0,6-5,"Rice,Texas",3/25/1996,2,3.0,
36.0,Tyler Badie,22.0,RB,1,0.0,197.0,5-8,Missouri,2/7/2000,Rook,0.0,Baltimore Ravens / 6th / 196th pick / 2022
75.0,Quinn Bailey,27.0,T,8,1.0,323.0,6-6,Arizona St.,10/18/1995,3,1.0,
34.0,Essang Bassey,24.0,CB,14,0.0,190.0,5-10,Wake Forest,8/12/1998,2,1.0,
83.0,Andrew Beck,26.0,TE,13,4.0,255.0,6-3,Texas,5/15/1996,3,0.0,
46.0,Jacob Bobenmoyer,25.0,LS,13,0.0,235.0,6-0,Northern Colorado,5/28/1997,2,1.0,
72.0,Garett Bolles,30.0,LT,5,5.0,300.0,6-5,"Snow College (UT),Utah",5/27/1992,5,2.0,Denver Broncos / 1st / 20th pick / 2017
42.0,Nik Bonitto,23.0,OLB,15,1.0,240.0,6-3,Oklahoma,9/26/1999,Rook,2.0,Denver Broncos / 2nd / 64th pick / 2022
26.0,Mike Boone,27.0,RB,9,0.0,206.0,5-10,Cincinnati,6/30/1995,4,1.0,
56.0,Baron Browning,23.0,ROLB,14,8.0,255.0,6-3,Ohio St.,2/19/1999,1,6.0,Denver Broncos / 3rd / 105th pick / 2021
55.0,Bradley Chubb,26.0,LOLB,8,8.0,268.0,6-4,North Carolina St.,6/24/1996,4,4.0,Denver Broncos / 1st / 5th pick / 2018
16.0,Tyrie Cleveland,25.0,WR,6,0.0,205.0,6-2,Florida,9/20/1997,2,0.0,Denver Broncos / 7th / 252nd pick / 2020
69.0,Tom Compton,33.0,T,1,0.0,315.0,6-6,South Dakota,5/10/1989,9,0.0,Washington Redskins / 6th / 193rd pick / 2012
53.0,Jonathon Cooper,24.0,LOLB,14,9.0,257.0,6-4,Ohio St.,1/8/1998,1,5.0,Denver Broncos / 7th / 239th pick / 2021
