No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
89.0,Mark Andrews,27.0,TE,15,15.0,250.0,6-5,Oklahoma,9/6/1995,4,8.0,Baltimore Ravens / 3rd / 86th pick / 2018
5.0,Jalyn Armour-Davis,23.0,CB,4,1.0,200.0,6-1,Alabama,9/3/1999,Rook,1.0,Baltimore Ravens / 4th / 119th pick / 2022
47.0,Jeremiah Attaochu,29.0,LB,1,0.0,262.0,6-3,Georgia Tech,1/17/1993,8,0.0,San Diego Chargers / 2nd / 50th pick / 2014
12.0,Rashod Bateman,23.0,WR,6,5.0,193.0,6-1,Minnesota,11/29/1999,1,3.0,Baltimore Ravens / 1st / 27th pick / 2021
54.0,Tyus Bowser,27.0,LB,9,4.0,250.0,6-3,Houston,5/23/1995,5,2.0,Baltimore Ravens / 2nd / 47th pick / 2017
86.0,Nick Boyle,29.0,TE,12,0.0,270.0,6-4,Delaware,2/17/1993,7,0.0,Baltimore Ravens / 5th / 171st pick / 2015
12.0,Anthony Brown,24.0,QB,2,1.0,223.0,6-1,"Boston Col.,Oregon",7/27/1998,Rook,1.0,
56.0,Josh Bynes,33.0,MLB,7,7.0,240.0,6-1,Auburn,8/24/1989,11,3.0,
93.0,Calais Campbell,36.0,DE,14,14.0,315.0,6-8,Miami (FL),9/1/1986,14,7.0,Arizona Cardinals / 2nd / 50th pick / 2008
36.0,Chuck Clark,27.0,SS,17,17.0,210.0,6-0,Virginia Tech,4/19/1995,5,7.0,Baltimore Ravens / 6th / 186th pick / 2017
66.0,Ben Cleveland,24.0,G,9,1.0,355.0,6-6,Georgia,8/25/1998,1,1.0,Baltimore Ravens / 3rd / 94th pick / 2021
63.0,Trystan Colon,24.0,C,6,1.0,317.0,6-3,Missouri,3/23/1998,2,1.0,
49.0,Brandon Copeland,31.0,LB,3,0.0,263.0,6-3,Pennsylvania,7/2/1991,7,0.0,
28.0,Mike Davis,29.0,RB,8,0.0,220.0,5-9,South Carolina,2/19/1993,7,0.0,San Francisco 49ers / 4th / 126th pick / 2015
27.0,J.K. Dobbins,24.0,RB,8,8.0,212.0,5-10,Ohio St.,12/17/1998,2,4.0,Baltimore Ravens / 2nd / 55th pick / 2020
17.0,Kenyan Drake,28.0,RB,12,5.0,216.0,6-1,Alabama,1/26/1994,6,4.0,Miami Dolphins / 3rd / 73rd pick / 2016
13.0,Devin Duvernay,25.0,WR,14,13.0,202.0,5-11,Texas,9/12/1997,2,6.0,Baltimore Ravens / 3rd / 92nd pick / 2020
35.0,Gus Edwards,27.0,RB,9,4.0,238.0,6-1,"Miami (FL),Rutgers",4/13/1995,4,3.0,
77.0,Daniel Faalele,23.0,T,16,1.0,370.0,6-6,Minnesota,11/9/1999,Rook,2.0,Baltimore Ravens / 4th / 110th pick / 2022
18.0,Kyle Fuller,30.0,CB,1,1.0,190.0,5-11,Virginia Tech,2/16/1992,8,0.0,Chicago Bears / 1st / 14th pick / 2014
14.0,Kyle Hamilton,21.0,S,16,4.0,218.0,6-4,Notre Dame,3/16/2001,Rook,2.0,Baltimore Ravens / 1st / 14th pick / 2022
40.0,Malik Harrison,24.0,ROLB,17,8.0,247.0,6-3,Ohio St.,3/5/1998,2,4.0,Baltimore Ravens / 3rd / 98th pick / 2020
43.0,Justice Hill,25.0,RB,15,0.0,205.0,5-10,Oklahoma St.,11/14/1997,3,2.0,Baltimore Ravens / 4th / 113th pick / 2019
50.0,Justin Houston,33.0,LB,14,1.0,270.0,6-3,Georgia,1/21/1989,11,2.0,Kansas City Chiefs / 3rd / 70th pick / 2011
44.0,Marlon Humphrey,26.0,RCB,17,17.0,210.0,6-0,Alabama,7/8/1996,5,12.0,Baltimore Ravens / 1st / 16th pick / 2017
2.0,Tyler Huntley,24.0,QB,6,4.0,205.0,6-1,Utah,2/3/1998,2,3.0,
83.0,Andy Isabella,26.0,WR,2,0.0,188.0,5-9,Massachusetts,11/18/1996,3,0.0,Arizona Cardinals / 2nd / 62nd pick / 2019
15.0,DeSean Jackson,36.0,WR,7,1.0,175.0,5-10,California,12/1/1986,14,2.0,Philadelphia Eagles / 2nd / 49th pick / 2008
8.0,Lamar Jackson,25.0,QB,12,12.0,205.0,6-2,Louisville,1/7/1997,4,12.0,Baltimore Ravens / 1st / 32nd pick / 2018
71.0,Ja'Wuan James,30.0,T,1,1.0,312.0,6-6,Tennessee,6/3/1992,8,0.0,Miami Dolphins / 1st / 19th pick / 2014
98.0,Travis Jones,23.0,DT,15,3.0,341.0,6-4,Connecticut,10/15/1999,Rook,2.0,Baltimore Ravens / 3rd / 76th pick / 2022
47.0,Devon Kennard,31.0,LB,2,1.0,256.0,6-3,USC,6/24/1991,8,1.0,New York Giants / 5th / 174th pick / 2014
59.0,A.J. Klein,31.0,LB,2,1.0,240.0,6-1,Iowa St.,7/30/1991,9,1.0,Carolina Panthers / 5th / 148th pick / 2013
88.0,Charlie Kolar,23.0,TE,2,0.0,265.0,6-6,Iowa St.,2/10/1999,Rook,0.0,Baltimore Ravens / 4th / 128th pick / 2022
80.0,Isaiah Likely,22.0,TE,16,2.0,245.0,6-4,Coastal Carolina,4/18/2000,Rook,4.0,Baltimore Ravens / 4th / 139th pick / 2022
64.0,Tyler Linderbaum,22.0,C,17,17.0,305.0,6-2,Iowa,4/7/2000,Rook,7.0,Baltimore Ravens / 1st / 25th pick / 2022
94.0,Isaiah Mack,26.0,NT,2,0.0,305.0,6-1,Chattanooga,3/19/1996,3,0.0,
92.0,Nnamdi Madubuike,25.0,DT,17,16.0,305.0,6-3,Texas A&M,11/17/1997,2,7.0,Baltimore Ravens / 3rd / 71st pick / 2020
60.0,Steven Means,32.0,LB,2,0.0,263.0,6-3,Buffalo,9/16/1990,9,0.0,Tampa Bay Buccaneers / 5th / 147th pick / 2013
65.0,Patrick Mekari,25.0,LT,16,4.0,305.0,6-4,California,8/13/1997,3,2.0,
46.0,Nick Moore,30.0,LS,17,0.0,260.0,6-2,Georgia,12/9/1992,2,0.0,
78.0,Morgan Moses,31.0,RT,17,17.0,320.0,6-6,Virginia,3/3/1991,8,8.0,Washington Redskins / 3rd / 66th pick / 2014
91.0,Rayshad Nichols,23.0,DT,1,0.0,305.0,6-2,S.F. Austin,7/9/1999,Rook,0.0,
90.0,David Ojabo,22.0,LB,2,0.0,252.0,6-4,Michigan,5/17/2000,Rook,0.0,Baltimore Ravens / 2nd / 45th pick / 2022
84.0,Josh Oliver,25.0,TE,17,9.0,259.0,6-5,San Jose St.,3/21/1997,3,1.0,Jacksonville Jaguars / 3rd / 69th pick / 2019
99.0,Odafe Oweh,24.0,LOLB,17,6.0,265.0,6-5,Penn St.,12/15/1998,1,4.0,Baltimore Ravens / 1st / 31st pick / 2021
24.0,Marcus Peters,29.0,LCB,13,13.0,197.0,6-0,Washington,1/9/1993,7,6.0,Kansas City Chiefs / 1st / 18th pick / 2015
53.0,Del'Shawn Phillips,26.0,LB,16,0.0,230.0,6-2,Illinois,10/9/1996,2,1.0,
58.0,Michael Pierce,30.0,NT,3,3.0,355.0,6-0,Samford,11/6/1992,6,1.0,
4.0,Jason Pierre-Paul,33.0,LOLB,14,13.0,275.0,6-5,"College of the Canyons (CA),South Florida",1/1/1989,12,6.0,New York Giants / 1st / 15th pick / 2010
72.0,Ben Powers,26.0,LG,17,17.0,310.0,6-4,Oklahoma,10/29/1996,3,7.0,Baltimore Ravens / 4th / 123rd pick / 2019
11.0,James Proche,26.0,WR,15,0.0,193.0,5-11,SMU,9/21/1996,2,1.0,Baltimore Ravens / 6th / 201st pick / 2020
6.0,Patrick Queen,23.0,RLB,17,17.0,232.0,6-0,LSU,8/13/1999,2,9.0,Baltimore Ravens / 1st / 28th pick / 2020
42.0,Patrick Ricard,28.0,FB,17,16.0,300.0,6-3,Maine,5/27/1994,5,1.0,
10.0,Demarcus Robinson,28.0,WR,17,5.0,202.0,6-1,Florida,9/21/1994,6,5.0,Kansas City Chiefs / 4th / 126th pick / 2016
46.0,Josh Ross,23.0,LB,2,0.0,229.0,6-0,Michigan,10/31/1999,Rook,0.0,
25.0,Kevon Seymour,29.0,DB,14,0.0,185.0,6-0,USC,11/30/1993,6,1.0,Buffalo Bills / 6th / 218th pick / 2016
18.0,Roquan Smith,25.0,MLB,9,9.0,235.0,6-1,Georgia,4/8/1997,4,13.0,Chicago Bears / 1st / 8th pick / 2018
49.0,Julian Stanford,32.0,LB,1,0.0,230.0,6-1,Wagner,9/2/1990,10,0.0,
79.0,Ronnie Stanley,28.0,LT,11,11.0,310.0,6-6,Notre Dame,3/18/1994,6,5.0,Baltimore Ravens / 1st / 6th pick / 2016
21.0,Brandon Stephens,25.0,DB,15,4.0,215.0,6-1,"UCLA,SMU",12/29/1997,1,2.0,Baltimore Ravens / 3rd / 104th pick / 2021
26.0,Geno Stone,23.0,FS,17,7.0,210.0,5-11,Iowa,4/19/1999,2,4.0,Baltimore Ravens / 7th / 219th pick / 2020
11.0,Jordan Stout,24.0,P,17,0.0,209.0,6-3,"Virginia Tech,Penn St.",8/4/1998,Rook,2.0,Baltimore Ravens / 4th / 130th pick / 2022
9.0,Justin Tucker,33.0,K,17,0.0,191.0,6-1,Texas,11/21/1989,10,4.0,
68.0,Brent Urban,31.0,DE,16,0.0,309.0,6-7,Virginia,5/5/1991,7,1.0,Baltimore Ravens / 4th / 134th pick / 2014
81.0,Binjimen Victor,25.0,WR,2,0.0,199.0,6-4,Ohio St.,1/15/1997,1,0.0,
16.0,Tylan Wallace,23.0,WR,9,0.0,200.0,5-11,Oklahoma St.,5/13/1999,1,0.0,Baltimore Ravens / 4th / 131st pick / 2021
29.0,Ar'Darius Washington,23.0,S,3,0.0,180.0,5-8,TCU,11/2/1999,1,0.0,
96.0,Broderick Washington Jr.,26.0,NT,17,9.0,315.0,6-2,Texas Tech,12/4/1996,2,5.0,Baltimore Ravens / 5th / 170th pick / 2020
82.0,Sammy Watkins,29.0,WR,3,2.0,211.0,6-1,Clemson,6/14/1993,8,1.0,Buffalo Bills / 1st / 4th pick / 2014
87.0,Raleigh Webb,25.0,WR,2,0.0,204.0,6-2,The Citadel,12/28/1997,Rook,0.0,
57.0,Kristian Welch,24.0,LB,17,0.0,240.0,6-3,Iowa,5/24/1998,2,1.0,
22.0,Damarion Williams,24.0,CB,14,0.0,183.0,5-10,"Highland (KS),Houston",7/15/1998,Rook,1.0,Baltimore Ravens / 4th / 141st pick / 2022
32.0,Marcus Williams,26.0,FS,10,10.0,204.0,6-1,Utah,9/8/1996,5,5.0,New Orleans Saints / 2nd / 42nd pick / 2017
41.0,Daryl Worley,27.0,CB,8,1.0,210.0,6-1,West Virginia,2/22/1995,6,1.0,Carolina Panthers / 3rd / 77th pick / 2016
70.0,Kevin Zeitler,32.0,RG,15,15.0,332.0,6-4,Wisconsin,3/8/1990,10,6.0,Cincinnati Bengals / 1st / 27th pick / 2012
,Team Total,26.8,,17,,247.6,6-2.0,,,4.2,,
