No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
46.0,Tucker Addington,25.0,LS,3,0.0,230.0,6-2,Sam Houston St.,7/16/1997,1,0.0,
15.0,Nelson Agholor,29.0,WR,16,7.0,200.0,6-0,USC,5/24/1993,7,3.0,Philadelphia Eagles / 1st / 20th pick / 2015
60.0,David Andrews,30.0,C,14,14.0,300.0,6-2,Georgia,7/10/1992,7,6.0,
7.0,Jake Bailey,25.0,P,9,0.0,212.0,6-2,Stanford,6/18/1997,3,1.0,New England Patriots / 5th / 163rd pick / 2019
90.0,Christian Barmore,23.0,DT,10,3.0,315.0,6-5,Alabama,7/28/1999,1,2.0,New England Patriots / 2nd / 38th pick / 2021
8.0,Ja'Whaun Bentley,26.0,LILB,17,17.0,250.0,6-2,Purdue,8/24/1996,4,9.0,New England Patriots / 5th / 143rd pick / 2018
24.0,Joshuah Bledsoe,24.0,S,3,0.0,207.0,5-11,Missouri,12/30/1998,1,0.0,New England Patriots / 6th / 188th pick / 2021
84.0,Kendrick Bourne,27.0,WR,16,2.0,205.0,6-1,Eastern Washington,8/4/1995,5,4.0,
80.0,Lynn Bowden Jr.,25.0,WR,1,0.0,204.0,6-1,Kentucky,10/14/1997,2,0.0,Las Vegas Raiders / 3rd / 80th pick / 2020
77.0,Trent Brown,29.0,LT,17,16.0,380.0,6-8,"Georgia Military,Florida",4/13/1993,7,7.0,San Francisco 49ers / 7th / 244th pick / 2015
27.0,Myles Bryant,24.0,CB,17,6.0,192.0,5-9,Washington,1/2/1998,2,3.0,
72.0,Yodny Cajuste,26.0,T,10,3.0,310.0,6-5,West Virginia,2/21/1996,1,2.0,New England Patriots / 3rd / 101st pick / 2019
61.0,Marcus Cannon,34.0,T,5,4.0,335.0,6-6,TCU,5/6/1988,11,2.0,New England Patriots / 5th / 138th pick / 2011
49.0,Joe Cardona,30.0,LS,14,0.0,241.0,6-2,Navy,4/16/1992,7,1.0,New England Patriots / 5th / 166th pick / 2015
58.0,Jamie Collins,33.0,LB,3,1.0,255.0,6-3,Southern Miss,10/20/1989,9,1.0,New England Patriots / 2nd / 52nd pick / 2013
98.0,Carl Davis,30.0,DT,16,2.0,320.0,6-5,Iowa,3/2/1992,7,3.0,Baltimore Ravens / 3rd / 90th pick / 2015
22.0,Cody Davis,33.0,DB,6,0.0,205.0,6-2,Texas Tech,6/6/1989,9,0.0,
23.0,Kyle Dugger,26.0,SS,15,15.0,216.0,6-1,Lenoir-Rhyne,3/22/1996,2,6.0,New England Patriots / 2nd / 37th pick / 2020
95.0,Daniel Ekuale,28.0,DT,15,0.0,300.0,6-3,Washington St.,1/13/1994,3,1.0,
65.0,James Ferentz,33.0,C,12,3.0,290.0,6-2,Iowa,6/5/1989,7,2.0,
6.0,Nick Folk,38.0,K,17,0.0,222.0,6-1,Arizona,11/5/1984,15,3.0,Dallas Cowboys / 6th / 178th pick / 2007
92.0,Davon Godchaux,28.0,NT,17,17.0,330.0,6-3,LSU,11/11/1994,5,9.0,Miami Dolphins / 5th / 178th pick / 2017
