No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
77.0,Hakeem Adeniji,25,T,15,1.0,302.0,6-4,Kansas,12/8/1997,2,2.0,Cincinnati Bengals / 6th / 180th pick / 2020
48.0,Cal Adomitis,24,LS,15,0.0,238.0,6-2,Pittsburgh,7/9/1998,Rook,1.0,
8.0,Brandon Allen,30,QB,1,0.0,209.0,6-2,Arkansas,9/5/1992,3,0.0,Jacksonville Jaguars / 6th / 201st pick / 2016
20.0,Eli Apple,27,LCB,15,15.0,203.0,6-1,Ohio St.,8/9/1995,6,6.0,New York Giants / 1st / 10th pick / 2016
86.0,Devin Asiasi,25,TE,12,0.0,260.0,6-3,"Michigan,UCLA",8/14/1997,2,0.0,New England Patriots / 3rd / 91st pick / 2020
22.0,Chidobe Awuzie,27,RCB,8,8.0,202.0,5-11,Colorado,5/24/1995,5,3.0,Dallas Cowboys / 2nd / 60th pick / 2017
49.0,Joe Bachie,24,LB,10,0.0,235.0,6-2,Michigan St.,2/26/1998,2,1.0,
51.0,Markus Bailey,25,LB,16,1.0,235.0,6-1,Purdue,3/7/1997,2,2.0,Cincinnati Bengals / 7th / 215th pick / 2020
30.0,Jessie Bates III,25,FS,16,16.0,210.0,6-1,Wake Forest,2/26/1997,4,8.0,Cincinnati Bengals / 2nd / 54th pick / 2018
24.0,Vonn Bell,28,SS,16,16.0,205.0,5-11,Ohio St.,12/12/1994,6,8.0,New Orleans Saints / 2nd / 61st pick / 2016
83.0,Tyler Boyd,28,WR,16,14.0,203.0,6-2,Pittsburgh,11/15/1994,6,8.0,Cincinnati Bengals / 2nd / 55th pick / 2016
9.0,Joe Burrow,26,QB,16,16.0,215.0,6-4,"Ohio St.,LSU",12/10/1996,2,17.0,Cincinnati Bengals / 1st / 1st pick / 2020
65.0,Alex Cappa,27,RG,16,16.0,312.0,6-6,Humboldt St.,1/27/1995,4,9.0,Tampa Bay Buccaneers / 3rd / 94th pick / 2018
79.0,Jackson Carman,22,G,3,0.0,325.0,6-5,Clemson,1/22/2000,1,0.0,Cincinnati Bengals / 2nd / 46th pick / 2021
95.0,Zachary Carter,23,LDT,16,9.0,301.0,6-4,Florida,4/7/1999,Rook,5.0,Cincinnati Bengals / 3rd / 95th pick / 2022
1.0,Ja'Marr Chase,22,WR,12,12.0,205.0,6-0,LSU,3/1/2000,1,11.0,Cincinnati Bengals / 1st / 5th pick / 2021
4.0,Drue Chrisman,25,P,7,0.0,222.0,6-3,Ohio St.,7/7/1997,1,1.0,
71.0,La'el Collins,29,RT,15,15.0,315.0,6-4,LSU,7/26/1993,7,10.0,
72.0,Domenique Davis,26,DT,2,0.0,326.0,6-2,"Shaw,North Carolina–Pembroke",2/28/1996,1,0.0,
35.0,Jalen Davis,26,DB,13,0.0,186.0,5-10,Utah St.,2/2/1996,4,1.0,
59.0,Akeem Davis-Gaither,25,LB,16,1.0,238.0,6-2,Appalachian St.,9/21/1997,2,2.0,Cincinnati Bengals / 4th / 107th pick / 2020
25.0,Chris Evans,25,RB,12,0.0,215.0,5-11,Michigan,10/5/1997,1,0.0,Cincinnati Bengals / 6th / 202nd pick / 2021
33.0,Tre Flowers,27,CB,15,0.0,203.0,6-3,Oklahoma St.,6/2/1995,4,2.0,Seattle Seahawks / 5th / 146th pick / 2018
42.0,Allan George,23,CB,4,0.0,191.0,5-11,Vanderbilt,7/16/1999,Rook,0.0,
93.0,Jeff Gunter,23,DE,10,0.0,263.0,6-4,"North Carolina St.,Coastal Carolina",6/1/1999,Rook,1.0,Cincinnati Bengals / 7th / 252nd pick / 2022
46.0,Clark Harris,38,LS,1,0.0,250.0,6-5,Rutgers,7/10/1984,14,0.0,Green Bay Packers / 7th / 243rd pick / 2007
91.0,Trey Hendrickson,28,RDE,15,15.0,265.0,6-4,Florida Atlantic,12/5/1994,5,12.0,New Orleans Saints / 3rd / 103rd pick / 2017
85.0,Tee Higgins,23,WR,16,14.0,220.0,6-4,Clemson,1/18/1999,2,10.0,Cincinnati Bengals / 2nd / 33rd pick / 2020
92.0,B.J. Hill,27,RDT,16,16.0,311.0,6-3,North Carolina St.,4/20/1995,4,9.0,New York Giants / 3rd / 69th pick / 2018
23.0,Daxton Hill,22,S,15,2.0,195.0,6-0,Michigan,9/29/2000,Rook,2.0,Cincinnati Bengals / 1st / 31st pick / 2022
63.0,Trey Hill,22,C,11,0.0,319.0,6-4,Georgia,1/23/2000,1,1.0,Cincinnati Bengals / 6th / 190th pick / 2021
21.0,Mike Hilton,28,CB,14,4.0,184.0,5-9,Mississippi,3/9/1994,5,3.0,
94.0,Sam Hubbard,27,LDE,15,15.0,265.0,6-5,Ohio St.,6/23/1995,4,8.0,Cincinnati Bengals / 3rd / 77th pick / 2018
10.0,Kevin Huber,37,P,9,0.0,210.0,6-1,Cincinnati,7/16/1985,13,1.0,Cincinnati Bengals / 5th / 142nd pick / 2009
88.0,Hayden Hurst,29,TE,13,13.0,245.0,6-4,South Carolina,8/24/1993,4,4.0,Baltimore Ravens / 1st / 25th pick / 2018
16.0,Trenton Irwin,27,WR,9,2.0,204.0,6-2,Stanford,12/10/1995,3,2.0,
44.0,Clay Johnston,26,LB,16,0.0,225.0,6-1,Baylor,8/8/1996,2,1.0,Los Angeles Rams / 7th / 234th pick / 2020
47.0,Keandre Jones,25,LB,1,0.0,220.0,6-3,"Ohio St.,Maryland",9/24/1997,2,0.0,
64.0,Ted Karras,29,C,16,16.0,310.0,6-4,Illinois,3/15/1993,6,9.0,New England Patriots / 6th / 221st pick / 2016
18.0,Kwamie Lassiter II,24,WR,1,0.0,185.0,5-11,Kansas,1/21/1998,Rook,0.0,
2.0,Evan McPherson,23,K,16,0.0,185.0,5-11,Florida,7/21/1999,1,3.0,Cincinnati Bengals / 5th / 149th pick / 2021
28.0,Joe Mixon,26,RB,14,14.0,220.0,6-1,Oklahoma,7/24/1996,5,9.0,Cincinnati Bengals / 2nd / 48th pick / 2017
17.0,Stanley Morgan Jr.,26,WR,14,0.0,205.0,6-0,Nebraska,9/7/1996,3,0.0,
58.0,Joseph Ossai,22,DE,16,0.0,263.0,6-4,Texas,4/13/2000,1,3.0,Cincinnati Bengals / 3rd / 69th pick / 2021
34.0,Samaje Perine,27,RB,16,2.0,240.0,5-11,Oklahoma,9/16/1995,5,6.0,Washington Redskins / 4th / 114th pick / 2017
57.0,Germaine Pratt,26,MLB,15,15.0,250.0,6-3,North Carolina St.,5/21/1996,3,9.0,Cincinnati Bengals / 3rd / 72nd pick / 2019
98.0,D.J. Reader,28,LDT,10,10.0,330.0,6-3,Clemson,7/1/1994,6,6.0,Houston Texans / 5th / 166th pick / 2016
96.0,Cameron Sample,23,DE,16,1.0,272.0,6-3,Tulane,9/20/1999,1,2.0,Cincinnati Bengals / 4th / 111th pick / 2021
89.0,Drew Sample,26,TE,2,2.0,260.0,6-5,Washington,4/16/1996,3,0.0,Cincinnati Bengals / 2nd / 52nd pick / 2019
74.0,Max Scharping,26,G,14,0.0,327.0,6-6,Northern Illinois,8/10/1996,3,1.0,Houston Texans / 2nd / 55th pick / 2019
99.0,Tyler Shelvin,24,DT,2,0.0,346.0,6-3,LSU,7/22/1998,1,0.0,Cincinnati Bengals / 4th / 122nd pick / 2021
70.0,D'Ante Smith,24,T,1,0.0,309.0,6-5,East Carolina,6/8/1998,1,0.0,Cincinnati Bengals / 4th / 139th pick / 2021
11.0,Trent Taylor,28,WR,16,1.0,180.0,5-8,Louisiana Tech,4/30/1994,5,1.0,San Francisco 49ers / 5th / 177th pick / 2017
29.0,Cam Taylor-Britt,23,RCB,10,9.0,200.0,5-11,Nebraska,10/15/1999,Rook,4.0,Cincinnati Bengals / 2nd / 60th pick / 2022
31.0,Michael Thomas,32,S,16,0.0,192.0,5-11,Stanford,3/17/1990,9,1.0,
80.0,Mike Thomas,28,WR,10,2.0,189.0,6-1,Southern Miss,8/16/1994,6,0.0,Los Angeles Rams / 6th / 206th pick / 2016
97.0,Jay Tufele,23,DT,7,2.0,305.0,6-3,USC,7/25/1999,1,1.0,Jacksonville Jaguars / 4th / 106th pick / 2021
68.0,Josh Tupou,28,LLB,11,6.0,340.0,6-3,Colorado,5/2/1994,5,4.0,
67.0,Cordell Volson,24,LG,16,16.0,315.0,6-6,North Dakota St.,7/20/1998,Rook,9.0,Cincinnati Bengals / 4th / 136th pick / 2022
84.0,Mitchell Wilcox,26,TE,16,4.0,250.0,6-4,South Florida,11/7/1996,1,1.0,
73.0,Jonah Williams,25,LT,16,16.0,312.0,6-5,Alabama,11/17/1997,2,11.0,Cincinnati Bengals / 1st / 11th pick / 2019
32.0,Trayveon Williams,25,RB,8,0.0,206.0,5-8,Texas A&M,10/18/1997,3,1.0,Cincinnati Bengals / 6th / 182nd pick / 2019
55.0,Logan Wilson,26,RLB/MLB,15,15.0,245.0,6-2,Wyoming,7/8/1996,2,8.0,Cincinnati Bengals / 3rd / 65th pick / 2020
,Team Total,26,,16,,247.1,6-2.1,,,3.1,,
