Quarter,Time,Down,ToGo,Location,PIT,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,,3.0,2022,33
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,33
1.0,15:00,1.0,10.0,CLE 25,0.0,0.0,Nick Chubb right guard for 1 yard (tackle by Malik Reed),0.61,0.2,3.0,2022,33
1.0,14:25,2.0,9.0,CLE 26,0.0,0.0,Nick Chubb right guard for 13 yards (tackle by Minkah Fitzpatrick),0.2,1.53,3.0,2022,33
1.0,13:48,1.0,10.0,CLE 39,0.0,0.0,Jacoby Brissett pass incomplete short middle intended for Miller Forristall,1.53,0.99,3.0,2022,33
1.0,13:41,2.0,10.0,CLE 39,0.0,0.0,Jacoby Brissett pass complete short right to Amari Cooper for no gain (tackle by Cameron Sutton),0.99,0.3,3.0,2022,33
1.0,13:15,3.0,10.0,CLE 39,0.0,0.0,Jacoby Brissett pass incomplete deep left intended for Donovan Peoples-Jones (defended by Levi Wallace),0.3,-0.78,3.0,2022,33
1.0,13:08,4.0,10.0,CLE 39,0.0,0.0,"Corey Bojorquez punts 61 yards, touchback.",-0.78,-0.28,3.0,2022,33
1.0,13:00,1.0,10.0,PIT 20,0.0,0.0,Mitchell Trubisky pass complete short right to Diontae Johnson for 13 yards (tackle by Denzel Ward),0.28,1.14,3.0,2022,33
1.0,12:21,1.0,10.0,PIT 33,0.0,0.0,Najee Harris right tackle for 2 yards (tackle by Grant Delpit and Anthony Walker),1.14,0.86,3.0,2022,33
1.0,11:45,2.0,8.0,PIT 35,0.0,0.0,Najee Harris right guard for 3 yards (tackle by Jordan Elliott),0.86,0.56,3.0,2022,33
1.0,11:16,3.0,5.0,PIT 38,0.0,0.0,Mitchell Trubisky pass incomplete deep right intended for Diontae Johnson (defended by Denzel Ward),0.56,-0.85,3.0,2022,33
1.0,11:11,4.0,5.0,PIT 38,0.0,0.0,"Pressley Harvin punts 39 yards, fair catch by Chester Rogers at CLE-23",-0.85,-0.48,3.0,2022,33
1.0,11:04,1.0,10.0,CLE 23,0.0,0.0,Nick Chubb left tackle for 2 yards (tackle by Alex Highsmith),0.48,0.2,3.0,2022,33
1.0,10:32,2.0,8.0,CLE 25,0.0,0.0,Jacoby Brissett pass complete short right to Kareem Hunt for 1 yard (tackle by Myles Jack),0.2,-0.36,3.0,2022,33
1.0,9:48,3.0,7.0,CLE 26,0.0,0.0,"Penalty on Alex Highsmith: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.36,0.3,3.0,2022,33
1.0,9:27,3.0,2.0,CLE 31,0.0,0.0,Jacoby Brissett sacked by and Larry Ogunjobi for -8 yards and Alex Highsmith for -8 yards,0.3,-1.83,3.0,2022,33
1.0,8:45,4.0,10.0,CLE 23,0.0,0.0,Corey Bojorquez punts 25 yards out of bounds,-1.83,-2.39,3.0,2022,33
1.0,8:37,1.0,10.0,CLE 48,0.0,0.0,Najee Harris left guard for 10 yards (tackle by Grant Delpit and Anthony Walker),2.39,3.05,3.0,2022,33
1.0,7:58,1.0,10.0,CLE 38,0.0,0.0,Najee Harris right guard for 4 yards (tackle by Myles Garrett and Anthony Walker),3.05,3.05,3.0,2022,33
