No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
57.0,Montravius Adams,29.0,DT,11,0.0,304.0,6-4,Auburn,7/24/1995,7,1.0,Green Bay Packers / 3rd / 93rd pick / 2017
4.0,Kyle Allen,28.0,QB,1,0.0,210.0,6-3,"Texas A&M,Houston",3/8/1996,6,0.0,
,Calvin Anderson,28.0,OT,4,0.0,300.0,6-5,"Rice,Texas",3/25/1996,4,0.0,
74.0,Spencer Anderson,24.0,OL,17,4.0,305.0,6-5,Maryland,6/7/2000,1,2.0,Pittsburgh Steelers / 7th / 251st pick / 2023
19.0,Calvin Austin III,25.0,WR,17,8.0,162.0,5-9,Memphis,3/24/1999,1,6.0,Pittsburgh Steelers / 4th / 138th pick / 2022
95.0,Keeanu Benton,23.0,NT,17,14.0,309.0,6-4,Wisconsin,7/17/2001,1,7.0,Pittsburgh Steelers / 2nd / 49th pick / 2023
30.0,Beanie Bishop,25.0,CB,17,6.0,182.0,5-9,"Western Kentucky,Minnesota,West Virginia",12/17/1999,Rook,4.0,
9.0,Chris Boswell,33.0,K,17,0.0,185.0,6-2,Rice,3/16/1991,9,6.0,
78.0,James Daniels,27.0,OL,4,4.0,320.0,6-4,Iowa,9/13/1997,6,2.0,Chicago Bears / 2nd / 39th pick / 2018
38.0,Terrell Edmunds,27.0,S,5,0.0,217.0,6-1,Virginia Tech,1/20/1997,6,0.0,Pittsburgh Steelers / 1st / 28th pick / 2018
25.0,DeShon Elliott,27.0,FS,15,14.0,210.0,6-0,Texas,4/21/1997,5,6.0,Baltimore Ravens / 6th / 190th pick / 2018
34.0,Jalen Elliott,26.0,S,2,0.0,205.0,6-1,Notre Dame,7/7/1998,3,0.0,
76.0,Troy Fautanu,24.0,OT,1,1.0,317.0,6-4,Washington,10/11/2000,Rook,0.0,Pittsburgh Steelers / 1st / 20th pick / 2024
2.0,Justin Fields,25.0,QB,10,6.0,227.0,6-3,"Georgia,Ohio St.",3/5/1999,3,6.0,Chicago Bears / 1st / 11th pick / 2021
39.0,Minkah Fitzpatrick,28.0,SS,17,17.0,207.0,6-1,Alabama,11/17/1996,6,8.0,Miami Dolphins / 1st / 11th pick / 2018
54.0,Zach Frazier,23.0,C,15,15.0,310.0,6-3,West Virginia,8/29/2001,Rook,6.0,Pittsburgh Steelers / 2nd / 51st pick / 2024
88.0,Pat Freiermuth,26.0,TE,17,11.0,258.0,6-5,Penn St.,10/25/1998,3,6.0,Pittsburgh Steelers / 2nd / 55th pick / 2021
37.0,Thomas Graham,25.0,DB,1,0.0,196.0,5-10,Oregon,6/26/1999,3,0.0,Chicago Bears / 6th / 228th pick / 2021
22.0,Najee Harris,26.0,RB,17,17.0,242.0,6-1,Alabama,3/9/1998,3,8.0,Pittsburgh Steelers / 1st / 24th pick / 2021
51.0,Nick Herbig,23.0,LB,13,5.0,240.0,6-2,Wisconsin,11/21/2001,1,4.0,Pittsburgh Steelers / 4th / 132nd pick / 2023
97.0,Cameron Heyward,35.0,LDE,17,17.0,295.0,6-5,Ohio St.,5/6/1989,13,16.0,Pittsburgh Steelers / 1st / 31st pick / 2011
83.0,Connor Heyward,25.0,TE,17,5.0,230.0,6-0,Michigan St.,1/22/1999,2,0.0,Pittsburgh Steelers / 6th / 208th pick / 2022
56.0,Alex Highsmith,27.0,ROLB,11,11.0,242.0,6-4,Charlotte,8/7/1997,4,5.0,Pittsburgh Steelers / 3rd / 102nd pick / 2020
26.0,Donte Jackson,29.0,LCB,15,15.0,180.0,5-10,LSU,11/8/1995,6,6.0,Carolina Panthers / 2nd / 55th pick / 2018
11.0,Van Jefferson,28.0,WR,17,12.0,200.0,6-1,"Mississippi,Florida",7/26/1996,4,3.0,Los Angeles Rams / 2nd / 57th pick / 2020
89.0,Brandon Johnson,26.0,WR,3,0.0,195.0,6-2,"Tennessee,Central Florida",7/26/1998,2,0.0,
5.0,Cameron Johnston,32.0,P,1,0.0,194.0,5-11,Ohio St.,2/24/1992,6,0.0,
77.0,Broderick Jones,23.0,RT,17,16.0,311.0,6-5,Georgia,5/16/2001,1,8.0,Pittsburgh Steelers / 1st / 14th pick / 2023
23.0,Damontae Kazee,31.0,S,15,1.0,174.0,5-11,San Diego St.,6/5/1993,7,1.0,Atlanta Falcons / 5th / 149th pick / 2017
28.0,Miles Killebrew,31.0,S,17,0.0,222.0,6-2,Southern Utah,5/10/1993,8,3.0,Detroit Lions / 4th / 111th pick / 2016
46.0,Christian Kuntz,30.0,LS,17,0.0,228.0,6-1,Duquesne,4/13/1994,3,1.0,
98.0,DeMarvin Leal,24.0,DE,5,0.0,290.0,6-4,Texas A&M,7/1/2000,2,0.0,Pittsburgh Steelers / 3rd / 84th pick / 2022
53.0,Eku Leota,25.0,LB,1,0.0,257.0,6-4,"Northwestern,Auburn",5/11/1999,1,0.0,
92.0,Isaiahh Loudermilk,27.0,DT,16,0.0,293.0,6-7,Wisconsin,10/10/1997,3,1.0,Pittsburgh Steelers / 5th / 156th pick / 2021
94.0,Dean Lowry,30.0,DT,12,1.0,296.0,6-6,Northwestern,6/9/1994,8,1.0,Green Bay Packers / 4th / 137th pick / 2016
44.0,Tyler Matakevich,32.0,LB,11,0.0,235.0,6-1,Temple,12/22/1992,8,1.0,Pittsburgh Steelers / 7th / 246th pick / 2016
62.0,Ryan McCollum,26.0,C,17,2.0,300.0,6-5,Texas A&M,3/4/1998,3,2.0,
66.0,Mason McCormick,24.0,RG,17,14.0,315.0,6-5,South Dakota St.,5/25/2000,Rook,6.0,Pittsburgh Steelers / 4th / 119th pick / 2024
13.0,Scott Miller,27.0,WR,13,1.0,174.0,5-9,Bowling Green,7/31/1997,5,1.0,Tampa Bay Buccaneers / 6th / 208th pick / 2019
49.0,Jeremiah Moon,26.0,LB,13,1.0,247.0,6-5,Florida,8/18/1998,1,1.0,
65.0,Dan Moore,26.0,LT,17,17.0,315.0,6-5,Texas A&M,9/28/1998,3,8.0,Pittsburgh Steelers / 4th / 128th pick / 2021
48.0,Adetokunbo Ogundeji,26.0,OLB,3,0.0,268.0,6-4,Notre Dame,10/9/1998,3,0.0,Atlanta Falcons / 5th / 182nd pick / 2021
99.0,Larry Ogunjobi,30.0,RDE,15,12.0,305.0,6-2,Charlotte,6/3/1994,7,5.0,Cleveland Browns / 3rd / 65th pick / 2017
84.0,Cordarrelle Patterson,33.0,RB,13,1.0,220.0,6-2,Tennessee,3/17/1991,11,2.0,Minnesota Vikings / 1st / 29th pick / 2013
14.0,George Pickens,23.0,WR,14,12.0,200.0,6-3,Georgia,3/4/2001,2,8.0,Pittsburgh Steelers / 2nd / 52nd pick / 2022
42.0,James Pierre,28.0,CB,15,2.0,185.0,6-2,Florida Atlantic,9/16/1996,4,2.0,
24.0,Joey Porter Jr.,24.0,RCB,16,16.0,193.0,6-2,Penn St.,7/26/2000,1,6.0,Pittsburgh Steelers / 2nd / 32nd pick / 2023
81.0,MyCole Pruitt,32.0,TE,12,5.0,258.0,6-2,Southern Illinois,3/24/1992,9,0.0,Minnesota Vikings / 5th / 143rd pick / 2015
6.0,Patrick Queen,25.0,LILB,17,17.0,232.0,6-0,LSU,8/13/1999,4,10.0,Baltimore Ravens / 1st / 28th pick / 2020
50.0,Elandon Roberts,30.0,RILB,17,14.0,235.0,5-11,Houston,4/22/1994,8,6.0,New England Patriots / 6th / 214th pick / 2016
93.0,Mark Robinson,25.0,LB,17,0.0,235.0,5-11,"Presbyterian,SE Missouri St.,Mississippi",8/14/1999,2,1.0,Pittsburgh Steelers / 7th / 225th pick / 2022
21.0,Darius Rush,24.0,CB,2,0.0,198.0,6-2,South Carolina,2/22/2000,1,0.0,Indianapolis Colts / 5th / 138th pick / 2023
64.0,Max Scharping,28.0,G,2,0.0,327.0,6-6,Northern Illinois,8/10/1996,5,0.0,Houston Texans / 2nd / 55th pick / 2019
73.0,Isaac Seumalo,31.0,LG,13,13.0,303.0,6-4,Oregon St.,10/29/1993,8,7.0,Philadelphia Eagles / 3rd / 79th pick / 2016
,Aaron Shampklin,25.0,RB,3,0.0,195.0,5-10,Harvard,10/18/1999,1,0.0,
15.0,Ben Skowronek,27.0,WR,10,1.0,224.0,6-3,"Northwestern,Notre Dame",6/27/1997,3,1.0,Los Angeles Rams / 7th / 249th pick / 2021
,Preston Smith,32.0,LB,8,0.0,265.0,6-5,Mississippi St.,11/17/1992,9,1.0,Washington Redskins / 2nd / 38th pick / 2015
20.0,Cameron Sutton,29.0,CB,9,2.0,188.0,5-11,Tennessee,2/27/1995,7,1.0,Pittsburgh Steelers / 3rd / 94th pick / 2017
27.0,Cory Trice,24.0,CB,6,1.0,206.0,6-3,Purdue,5/30/2000,1,1.0,Pittsburgh Steelers / 7th / 241st pick / 2023
8.0,Corliss Waitman,29.0,P,16,0.0,210.0,6-2,South Alabama,7/21/1995,3,3.0,
35.0,Jonathan Ward,27.0,RB,4,0.0,202.0,6-0,Central Michigan,9/30/1997,4,0.0,
30.0,Jaylen Warren,26.0,RB,15,0.0,215.0,5-8,"Snow College (UT),Utah St.,Oklahoma St.",11/1/1998,2,6.0,
80.0,Darnell Washington,23.0,TE,17,9.0,264.0,6-7,Georgia,8/17/2001,1,2.0,Pittsburgh Steelers / 3rd / 93rd pick / 2023
90.0,T.J. Watt,30.0,LOLB,17,17.0,252.0,6-4,Wisconsin,10/11/1994,7,14.0,Pittsburgh Steelers / 1st / 30th pick / 2017
