No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
,Shaquil Barrett,32.0,OLB,1,0.0,250.0,6-2,"Nebraska-Omaha,Colorado St.",11/17/1992,9,0.0,
62.0,Graham Barton,22.0,C,16,16.0,314.0,6-5,Duke,6/1/2002,Rook,8.0,Tampa Bay Buccaneers / 1st / 26th pick / 2024
43.0,Chris Braswell,23.0,OLB,17,0.0,255.0,6-3,Alabama,10/25/2001,Rook,1.0,Tampa Bay Buccaneers / 2nd / 57th pick / 2024
68.0,Ben Bredeson,26.0,LG,17,17.0,315.0,6-5,Michigan,2/20/1998,4,8.0,Baltimore Ravens / 4th / 143rd pick / 2020
95.0,C.J. Brewer,27.0,DL,12,0.0,290.0,6-2,Coastal Carolina,11/22/1997,2,1.0,
52.0,K.J. Britt,25.0,RILB,14,11.0,240.0,6-0,Auburn,6/4/1999,3,5.0,Tampa Bay Buccaneers / 5th / 176th pick / 2021
97.0,Earnest Brown IV,25.0,DE,3,0.0,270.0,6-5,Northwestern,1/8/1999,2,0.0,Los Angeles Rams / 5th / 174th pick / 2021
5.0,Jack Browning,23.0,P,5,0.0,190.0,5-11,"Grossmont College (CA),San Diego St.",11/14/2001,Rook,0.0,
85.0,Marquez Callaway,26.0,WR,2,0.0,204.0,6-2,Tennessee,3/27/1998,4,0.0,
5.0,Jake Camarda,25.0,P,4,0.0,193.0,6-1,Georgia,4/20/1999,2,1.0,Tampa Bay Buccaneers / 4th / 133rd pick / 2022
82.0,Devin Culp,24.0,TE,5,0.0,237.0,6-4,Washington,2/2/2000,Rook,1.0,Tampa Bay Buccaneers / 7th / 246th pick / 2024
54.0,Lavonte David,34.0,LILB,17,17.0,233.0,6-1,"Fort Scott (KS),Nebraska",1/23/1990,12,8.0,Tampa Bay Buccaneers / 2nd / 58th pick / 2012
35.0,Jamel Dean,28.0,LCB,12,12.0,206.0,6-1,Auburn,10/15/1996,5,4.0,Tampa Bay Buccaneers / 3rd / 94th pick / 2019
86.0,Evan Deckers,25.0,LS,11,0.0,252.0,6-3,"Massachusetts,Duke",2/23/1999,1,1.0,
8.0,SirVocea Dennis,24.0,LB,4,0.0,230.0,6-0,Pittsburgh,3/9/2000,1,0.0,Tampa Bay Buccaneers / 5th / 153rd pick / 2023
0.0,YaYa Diaby,25.0,OLB,17,17.0,270.0,6-4,"Georgia Military,Louisville",5/30/1999,1,8.0,Tampa Bay Buccaneers / 3rd / 82nd pick / 2023
87.0,Payne Durham,24.0,TE,16,6.0,255.0,6-5,Purdue,6/15/2000,1,1.0,Tampa Bay Buccaneers / 5th / 171st pick / 2023
,Mike Edwards,28.0,S,5,2.0,205.0,5-10,"Kentucky,Hawaii",5/18/1996,5,1.0,Tampa Bay Buccaneers / 3rd / 99th pick / 2019
13.0,Mike Evans,31.0,WR,14,14.0,231.0,6-5,Texas A&M,8/21/1993,10,10.0,Tampa Bay Buccaneers / 1st / 7th pick / 2014
28.0,Dallis Flowers,27.0,CB,2,0.0,196.0,6-1,"Grand View,Pittsburg St.",6/4/1997,2,0.0,
24.0,Tyrek Funderburk,24.0,CB,13,2.0,185.0,6-0,"Richmond,Appalachian St.",11/28/2000,Rook,1.0,
96.0,Greg Gaines,28.0,DL,15,3.0,312.0,6-1,Washington,5/6/1996,5,2.0,Los Angeles Rams / 4th / 134th pick / 2019
92.0,William Gholston,33.0,DL,17,3.0,281.0,6-6,Michigan St.,7/31/1991,11,2.0,Tampa Bay Buccaneers / 4th / 126th pick / 2013
16.0,Trenton Gill,25.0,P,8,0.0,219.0,6-4,North Carolina St.,3/5/1999,2,1.0,Chicago Bears / 7th / 255th pick / 2022
14.0,Chris Godwin,28.0,WR,7,7.0,209.0,6-1,Penn St.,2/27/1996,7,6.0,Tampa Bay Buccaneers / 3rd / 84th pick / 2017
67.0,Luke Goedeke,26.0,RT,13,13.0,312.0,6-5,"Wisconsin–Stevens Point,Central Michigan",11/21/1998,2,7.0,Tampa Bay Buccaneers / 2nd / 57th pick / 2022
91.0,Mike Greene,25.0,DL,3,0.0,293.0,6-3,James Madison,5/3/1999,1,0.0,
48.0,Antonio Grier,24.0,LB,7,0.0,230.0,6-1,"South Florida,Arkansas",1/18/2000,Rook,1.0,
70.0,Robert Hainsey,26.0,C,17,1.0,306.0,6-4,Notre Dame,8/12/1998,3,2.0,Tampa Bay Buccaneers / 3rd / 95th pick / 2021
34.0,Bryce Hall,27.0,CB,1,0.0,202.0,6-1,Virginia,11/5/1997,4,0.0,New York Jets / 5th / 158th pick / 2020
90.0,Logan Hall,24.0,RDE,16,10.0,283.0,6-6,Houston,4/22/2000,2,5.0,Tampa Bay Buccaneers / 2nd / 33rd pick / 2022
32.0,Josh Hayes,25.0,DB,15,3.0,190.0,6-0,"North Dakota St.,Virginia,Kansas St.",4/24/1999,1,2.0,Tampa Bay Buccaneers / 6th / 181st pick / 2023
25.0,Troy Hill,33.0,CB,2,0.0,182.0,5-10,Oregon,8/29/1991,9,0.0,
7.0,Bucky Irving,22.0,RB,17,3.0,195.0,5-10,"Minnesota,Oregon",8/19/2002,Rook,12.0,Tampa Bay Buccaneers / 4th / 125th pick / 2024
,Keenan Isaac,24.0,CB,5,0.0,190.0,6-3,Alabama St.,2/17/2000,1,0.0,
29.0,Christian Izien,24.0,SS,14,10.0,200.0,5-10,Rutgers,6/8/2000,1,4.0,
18.0,Rakim Jarrett,23.0,WR,10,2.0,192.0,6-0,Maryland,1/24/2001,1,1.0,
19.0,Kameron Johnson,22.0,WR,5,0.0,170.0,5-10,Barton,3/17/2002,Rook,0.0,
45.0,Deion Jones,30.0,MLB,2,0.0,222.0,6-1,LSU,11/4/1994,8,0.0,Atlanta Falcons / 2nd / 52nd pick / 2016
53.0,Vi Jones,26.0,LB,7,0.0,230.0,6-2,"USC,North Carolina St.",5/5/1998,2,1.0,
94.0,Calijah Kancey,23.0,LDE,12,12.0,280.0,6-0,Pittsburgh,3/1/2001,1,6.0,Tampa Bay Buccaneers / 1st / 19th pick / 2023
41.0,Ko Kieft,26.0,TE,17,1.0,265.0,6-5,Minnesota,1/20/1998,2,0.0,Tampa Bay Buccaneers / 6th / 218th pick / 2022
79.0,Elijah Klein,24.0,OG,16,0.0,319.0,6-4,Texas-El Paso,4/8/2000,Rook,1.0,Tampa Bay Buccaneers / 6th / 220th pick / 2024
69.0,Cody Mauch,25.0,RG,17,17.0,303.0,6-6,North Dakota St.,1/15/1999,1,8.0,Tampa Bay Buccaneers / 2nd / 48th pick / 2023
6.0,Baker Mayfield,29.0,QB,17,17.0,215.0,6-1,Oklahoma,4/14/1995,6,17.0,Cleveland Browns / 1st / 1st pick / 2018
27.0,Zyon McCollum,25.0,RCB,17,17.0,199.0,6-2,Sam Houston St.,5/3/1999,2,7.0,Tampa Bay Buccaneers / 5th / 157th pick / 2022
4.0,Chase McLaughlin,28.0,K,17,0.0,190.0,6-0,Illinois,4/9/1996,5,5.0,
15.0,Jalen McMillan,23.0,WR,13,12.0,192.0,6-1,Washington,12/7/2001,Rook,5.0,Tampa Bay Buccaneers / 3rd / 92nd pick / 2024
,Kaevon Merriweather,25.0,S,14,5.0,212.0,6-0,Iowa,12/20/1999,1,3.0,
81.0,Ryan Miller,24.0,WR,11,3.0,221.0,6-2,Furman,2/20/2000,1,1.0,
36.0,Ryan Neal,29.0,S,2,0.0,200.0,6-3,Southern Illinois,12/24/1995,6,0.0,
,Anthony Nelson,27.0,OLB,17,6.0,271.0,6-7,Iowa,3/4/1997,5,4.0,Tampa Bay Buccaneers / 4th / 107th pick / 2019
64.0,Royce Newman,27.0,OG,1,0.0,310.0,6-5,Mississippi,8/17/1997,3,0.0,Green Bay Packers / 4th / 142nd pick / 2021
88.0,Cade Otton,25.0,TE,14,14.0,247.0,6-5,Washington,4/15/1999,2,6.0,Tampa Bay Buccaneers / 4th / 106th pick / 2022
10.0,Trey Palmer,23.0,WR,15,3.0,190.0,6-1,"LSU,Nebraska",4/2/2001,1,2.0,Tampa Bay Buccaneers / 6th / 191st pick / 2023
33.0,Jose Ramirez,25.0,OLB,4,0.0,252.0,6-2,"Arizona,Riverside CC,Eastern Michigan",5/9/1999,1,0.0,Tampa Bay Buccaneers / 6th / 196th pick / 2023
51.0,J.J. Russell,26.0,LB,16,3.0,225.0,6-1,Memphis,10/12/1998,2,3.0,
17.0,Sterling Shepard,31.0,WR,14,5.0,194.0,5-10,Oklahoma,2/10/1993,8,4.0,New York Giants / 2nd / 40th pick / 2016
77.0,Justin Skule,28.0,T,17,5.0,315.0,6-6,Vanderbilt,11/23/1996,5,4.0,San Francisco 49ers / 6th / 183rd pick / 2019
