No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
25.0,Jamal Adams,29.0,DB,2,2.0,213.0,6-1,LSU,10/17/1995,7,1.0,New York Jets / 1st / 6th pick / 2017
,Myles Adams,26.0,DL,4,0.0,299.0,6-2,Rice,3/9/1998,3,0.0,
50.0,Mitchell Agude,25.0,LB,4,0.0,262.0,6-4,"Riverside CC,UCLA,Miami (FL)",3/10/1999,1,0.0,
,Kwon Alexander,30.0,LB,2,2.0,227.0,6-1,LSU,8/3/1994,9,1.0,Tampa Bay Buccaneers / 4th / 124th pick / 2015
1.0,Maurice Alexander,27.0,WR,3,0.0,173.0,5-10,Florida International,1/10/1997,2,0.0,
34.0,Alex Anzalone,30.0,LLB,10,10.0,234.0,6-3,Florida,9/22/1994,7,5.0,New Orleans Saints / 3rd / 76th pick / 2017
0.0,Terrion Arnold,21.0,RCB,16,15.0,195.0,6-0,Alabama,3/22/2003,Rook,5.0,Detroit Lions / 1st / 24th pick / 2024
74.0,Kayode Awosika,26.0,G,11,2.0,322.0,6-3,Buffalo,10/27/1998,3,2.0,
55.0,Derrick Barnes,25.0,LB,3,3.0,240.0,6-0,Purdue,5/29/1999,3,1.0,Detroit Lions / 4th / 113th pick / 2021
39.0,Jake Bates,25.0,K,17,0.0,202.0,5-10,"Texas St.,Arkansas",3/3/1999,1,4.0,
48.0,Abraham Beauplan,24.0,LB,3,0.0,235.0,6-2,"Navarro,Marshall",2/3/2000,1,0.0,
32.0,Brian Branch,23.0,SS,16,16.0,203.0,6-0,Alabama,10/22/2001,1,8.0,Detroit Lions / 2nd / 45th pick / 2023
12.0,Teddy Bridgewater,32.0,QB,0,0.0,210.0,6-2,Louisville,11/10/1992,10,0.0,Minnesota Vikings / 1st / 32nd pick / 2014
46.0,Jack Campbell,24.0,MLB,17,17.0,246.0,6-5,Iowa,8/22/2000,1,8.0,Detroit Lions / 1st / 18th pick / 2023
92.0,Marcus Davenport,28.0,DL,2,1.0,285.0,6-6,Texas-San Antonio,9/4/1996,6,1.0,New Orleans Saints / 1st / 14th pick / 2018
23.0,Carlton Davis,28.0,LCB,13,13.0,206.0,6-1,Auburn,12/31/1996,6,5.0,Tampa Bay Buccaneers / 2nd / 63rd pick / 2018
68.0,Taylor Decker,31.0,LT,14,14.0,324.0,6-7,Ohio St.,8/23/1993,8,10.0,Detroit Lions / 1st / 16th pick / 2016
30.0,Khalil Dorsey,26.0,CB,14,1.0,188.0,5-8,Northern Arizona,3/31/1998,4,1.0,
3.0,Jack Fox,28.0,P,17,0.0,218.0,6-2,Rice,9/1/1996,4,3.0,
26.0,Jahmyr Gibbs,22.0,RB,17,4.0,202.0,5-9,"Georgia Tech,Alabama",3/20/2002,1,17.0,Detroit Lions / 1st / 12th pick / 2023
60.0,Graham Glasgow,32.0,LG,16,16.0,315.0,6-6,Michigan,7/19/1992,8,8.0,Detroit Lions / 3rd / 95th pick / 2016
