No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
49.0,Matthew Adams,29.0,LB,13,0.0,230.0,6-0,Houston,12/12/1995,6,1.0,Indianapolis Colts / 7th / 221st pick / 2018
3.0,Deonte Banks,23.0,RCB,14,14.0,200.0,6-2,Maryland,3/3/2001,1,5.0,New York Giants / 1st / 24th pick / 2023
55.0,Boogie Basham,27.0,OLB,4,0.0,274.0,6-3,Wake Forest,12/16/1997,3,0.0,Buffalo Bills / 2nd / 61st pick / 2021
82.0,Daniel Bellinger,24.0,TE,17,8.0,255.0,6-6,San Diego St.,9/22/2000,2,1.0,New York Giants / 4th / 112th pick / 2022
24.0,Dane Belton,24.0,S,17,6.0,190.0,6-1,Iowa,12/7/2000,2,3.0,New York Giants / 4th / 114th pick / 2022
36.0,Curtis Bolton,29.0,LB,1,0.0,228.0,6-0,Oklahoma,12/18/1995,3,0.0,
12.0,Tim Boyle,30.0,QB,1,0.0,233.0,6-4,"Connecticut,Eastern Kentucky",10/3/1994,5,0.0,
0.0,Brian Burns,26.0,LOLB,17,17.0,250.0,6-5,Florida St.,4/23/1998,5,8.0,Carolina Panthers / 1st / 16th pick / 2019
94.0,Elijah Chatman,24.0,DT,17,3.0,278.0,6-0,SMU,12/5/2000,Rook,3.0,
52.0,Carter Coughlin,27.0,LB,1,0.0,240.0,6-3,Minnesota,7/20/1997,4,0.0,New York Giants / 7th / 218th pick / 2020
98.0,D.J. Davidson,25.0,DL,12,2.0,320.0,6-5,Arizona St.,12/16/1999,2,2.0,New York Giants / 5th / 147th pick / 2022
15.0,Tommy DeVito,26.0,QB,3,2.0,210.0,6-2,"Syracuse,Illinois",8/7/1998,1,1.0,
,Greg Dulcich,24.0,TE,5,0.0,245.0,6-4,UCLA,3/26/2000,2,0.0,Denver Broncos / 3rd / 80th pick / 2022
,Cory Durden,25.0,NT,4,0.0,305.0,6-4,"Florida St.,North Carolina St.",1/26/1999,1,0.0,
72.0,Jermaine Eluemunor,30.0,RT,15,15.0,338.0,6-4,"Lackawanna,Texas A&M",12/13/1994,7,5.0,Baltimore Ravens / 5th / 159th pick / 2017
75.0,Joshua Ezeudu,25.0,OL,17,3.0,310.0,6-4,North Carolina,9/19/1999,2,2.0,New York Giants / 3rd / 67th pick / 2022
28.0,Cordale Flott,23.0,LCB,14,10.0,175.0,6-2,LSU,8/24/2001,2,4.0,New York Giants / 3rd / 81st pick / 2022
88.0,Bryce Ford-Wheaton,24.0,WR,14,0.0,220.0,6-3,West Virginia,3/9/2000,1,0.0,
,Tomon Fox,26.0,OLB,11,0.0,245.0,6-2,North Carolina,3/16/1998,2,1.0,
9.0,Graham Gano,37.0,K,10,0.0,202.0,6-2,Florida St.,4/9/1987,15,1.0,
90.0,Elijah Garcia,26.0,DL,5,3.0,302.0,6-5,Rice,3/11/1998,2,2.0,
6.0,Jamie Gillan,27.0,P,13,0.0,207.0,6-1,Ark-Pine Bluff,7/4/1997,5,2.0,
20.0,Eric Gray,25.0,RB,17,0.0,211.0,5-10,"Tennessee,Oklahoma",11/4/1999,1,1.0,New York Giants / 5th / 172nd pick / 2023
35.0,Art Green,24.0,CB,9,0.0,200.0,6-2,"Hutchinson (KS),Houston",4/29/2000,1,1.0,
,Matt Haack,30.0,P,4,0.0,205.0,6-0,Arizona St.,7/25/1994,7,1.0,
37.0,Tre Hawkins,24.0,CB,3,1.0,195.0,6-3,"Trinity Valley CC (TX),Old Dominion",8/1/2000,1,1.0,New York Giants / 6th / 209th pick / 2023
18.0,Isaiah Hodgins,26.0,WR,3,0.0,200.0,6-3,Oregon St.,10/21/1998,3,0.0,Buffalo Bills / 6th / 207th pick / 2020
70.0,Chris Hubbard,33.0,OT,8,3.0,295.0,6-4,Ala-Birmingham,4/23/1991,10,1.0,
13.0,Jalin Hyatt,23.0,WR,16,3.0,185.0,6-0,Tennessee,9/25/2001,1,0.0,New York Giants / 3rd / 73rd pick / 2023
21.0,Adoree' Jackson,29.0,CB,14,5.0,185.0,5-11,USC,9/18/1995,7,3.0,Tennessee Titans / 1st / 18th pick / 2017
23.0,Anthony Johnson,25.0,S,9,0.0,205.0,6-0,Iowa St.,12/2/1999,1,1.0,Green Bay Packers / 7th / 242nd pick / 2023
54.0,Dyontae Johnson,24.0,LB,2,0.0,230.0,6-2,Toledo,9/28/2000,1,0.0,
,Jakob Johnson,30.0,FB,3,1.0,255.0,6-3,Tennessee,12/15/1994,5,0.0,
,Patrick Johnson,26.0,OLB,12,0.0,248.0,6-2,Tulane,1/10/1998,3,1.0,Philadelphia Eagles / 7th / 234th pick / 2021
84.0,Theo Johnson,23.0,TE,12,11.0,264.0,6-6,Penn St.,2/26/2001,Rook,2.0,New York Giants / 4th / 107th pick / 2024
8.0,Daniel Jones,27.0,QB,10,10.0,230.0,6-5,Duke,5/27/1997,5,5.0,New York Giants / 1st / 6th pick / 2019
,Greg Joseph,30.0,K,6,0.0,206.0,6-0,Florida Atlantic,8/4/1994,6,1.0,
59.0,Casey Kreiter,34.0,LS,17,0.0,250.0,6-1,Iowa,8/13/1990,8,1.0,
63.0,Jake Kubas,24.0,OG,5,3.0,308.0,6-4,North Dakota St.,8/13/2000,Rook,1.0,
97.0,Dexter Lawrence,27.0,LDT,12,12.0,340.0,6-4,Clemson,11/12/1997,5,9.0,New York Giants / 1st / 17th pick / 2019
43.0,Raheem Layne,25.0,S,2,0.0,192.0,5-11,Indiana,7/2/1999,2,0.0,
2.0,Drew Lock,28.0,QB,8,5.0,228.0,6-4,Missouri,11/10/1996,5,1.0,Denver Broncos / 2nd / 42nd pick / 2019
85.0,Chris Manhertz,32.0,TE,17,11.0,235.0,6-6,Canisius,4/10/1992,8,0.0,
99.0,Jude McAtamney,24.0,K,1,0.0,205.0,6-2,"Chowan,Rutgers",5/9/2000,Rook,0.0,
44.0,Nick McCloud,26.0,CB,7,5.0,191.0,6-1,"North Carolina St.,Notre Dame",7/9/1998,3,2.0,
41.0,Micah McFadden,24.0,RILB,14,14.0,232.0,6-2,Indiana,1/3/2000,2,7.0,New York Giants / 5th / 146th pick / 2022
