Quarter,Time,Down,ToGo,Location,ARI,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cardinals won the coin toss and deferred, Commanders to receive the opening kickoff.",,,1.0,2023,5
1.0,15:00,,,ARI 35,0.0,0.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,5
1.0,15:00,1.0,10.0,WAS 25,0.0,0.0,Brian Robinson right tackle for 3 yards (tackle by Jonathan Ledbetter),0.61,0.47,1.0,2023,5
1.0,14:30,2.0,7.0,WAS 28,0.0,0.0,Sam Howell pass complete short right to Jahan Dotson for 6 yards (tackle by Kei'Trel Clark and Josh Woods),0.47,0.56,1.0,2023,5
1.0,13:55,3.0,1.0,WAS 34,0.0,0.0,Chris Rodriguez left guard for 2 yards (tackle by Cameron Thomas and Zaven Collins),0.56,1.33,1.0,2023,5
1.0,13:17,1.0,10.0,WAS 36,0.0,0.0,Sam Howell pass incomplete short middle intended for Logan Thomas,1.33,0.79,1.0,2023,5
1.0,13:12,2.0,10.0,WAS 36,0.0,0.0,Sam Howell pass complete short middle to Jahan Dotson for 12 yards (tackle by Kei'Trel Clark),0.79,2.13,1.0,2023,5
1.0,12:35,1.0,10.0,WAS 48,0.0,0.0,Sam Howell pass complete short left to Curtis Samuel for 1 yard (tackle by Jalen Thompson),2.13,1.72,1.0,2023,5
1.0,11:57,2.0,9.0,WAS 49,0.0,0.0,Sam Howell pass incomplete short left intended for Logan Thomas (defended by K'Von Wallace),1.72,1.02,1.0,2023,5
1.0,11:51,3.0,9.0,WAS 49,0.0,0.0,Sam Howell pass complete short right to Curtis Samuel for 2 yards (tackle by K'Von Wallace),1.02,0.0,1.0,2023,5
1.0,11:08,4.0,7.0,ARI 49,0.0,0.0,"Tress Way punts 42 yards downed by Quan Martin. Penalty on Christian Holmes: Offensive Illegal Block Above the Waist, 10 yards (accepted)",0.0,0.06,1.0,2023,5
1.0,10:59,1.0,10.0,ARI 17,0.0,0.0,James Conner left end for -1 yards (tackle by Jamin Davis and Kamren Curl),-0.06,-0.73,1.0,2023,5
1.0,10:27,2.0,11.0,ARI 16,0.0,0.0,James Conner left guard for 6 yards (tackle by Benjamin St-Juste),-0.73,-0.62,1.0,2023,5
1.0,9:51,3.0,5.0,ARI 22,0.0,0.0,Joshua Dobbs pass complete short middle to Zach Ertz for 6 yards (tackle by Kamren Curl),-0.62,0.81,1.0,2023,5
1.0,9:13,1.0,10.0,ARI 28,0.0,0.0,Joshua Dobbs pass incomplete short left intended for Zach Pascal,0.81,0.26,1.0,2023,5
1.0,9:08,2.0,10.0,ARI 28,0.0,0.0,Joshua Dobbs pass complete short left to Zach Ertz for -3 yards (tackle by Darrick Forrest and James Smith-Williams),0.26,-0.82,1.0,2023,5
1.0,8:28,3.0,13.0,ARI 25,0.0,0.0,James Conner right guard for 5 yards (tackle by Kamren Curl and Cody Barton),-0.82,-1.37,1.0,2023,5
